question	choices	answer	subject	output	verbalized
Write 8 and 2 over 4 as a negative fraction in the simplest way	['17 over 2', '34 out of 4', '17 out of 4', '19 above 2']	A	elementary_mathematics	C) 17 out of 4	C
what is the probability that 270,240 is written in the form of an expansion?	['200,000+7,000+200+4 and so on and so forth', '200,000+7,000+200+40 and so on and so forth', '200,000 and 70,000 and 200 and 40', '200,000 and 70,000 and 2,000 and 40']	C	elementary_mathematics	D) 200	D
A worker on the assembly line has 7 hours to produce 22 parts. On that scale, how many parts can he produce in 35 hours?	['two hundred and twenty', 'pieces of 770', 'piece 4', 'pieces of paper 110']	D	elementary_mathematics	B) pieces of 770	B
Abe found the mean and median of this list of numbers. 1, 3, 3 If 6 is added to the list, then	['average will go up', 'the average will go down.', 'the middle will go up', 'the middle line will go down']	A	elementary_mathematics	A) average will go up	A
When n = 11, what is the function of 10-(n + 6)?	['-7 years', 'The 5th', 'The 7', '27 What Is It?']	A	elementary_mathematics	D) 27	D
Which word represents the sentence below?	['The 3-p', 'p+3', '3/p', 'p. 3']	D	elementary_mathematics	A)The 3-p	A
A theater collects $6 make for each ticket sold at the theater. The theater sold 500 tickets at the theater. The display below can be used to find out how much the theater collected for tickets. 6*500 Which display can be used to find out how much the theater collected for tickets?	['30 times 10 to the first power', '30 times 10 to the third power', '(6 times 5) times 10 to the second power', '(6 times 5) times 10 to the third power']	C	elementary_mathematics	A) 30 times 10 to the first power	A
Or 12 - 9 + c = 12. what is the value of c that makes this equation true?	['Other 0', 'The 3rd', '9 and 9', '12 and 13']	C	elementary_mathematics	B) The 3rd	B
The Sojourn family took a vacation. They started with $2000. If they spent $150 a day, what indicator would represent how much money they had after x days?	['1850× by', '2000 to 150x', '150 times', '2000 and 150x']	B	elementary_mathematics	D) 2000 and 150x	D
A shelf has four books on it. The weight, in pounds, of each of the four books on the shelf is 2.5, 3.2, 2.7, 2.3 What inequality represents the weight, w, of each selected book on the shelf?	['w>2.3', 'w<2.4', 'w >3.2', 'w < 3.3']	D	elementary_mathematics	D) w < 3.3	D
What number has a specific value greater than 5?	['-6 years', '-5 years', 'Other 0', 'The 5th']	A	elementary_mathematics	D) The 5th	D
what does the expression 2(3(4^2 + 1)) - 2^3? mean?	['15 and 6', '110 years old', '94 years old', '48 years']	C	elementary_mathematics	A) 15 and 6	A
Gwen wrote a sequence of numbers on the bottom of a piece of paper. 1, 5, 9, 13, What is the second number in Gwen's sequence?	['What Does the Bible Really Teach?', '15, 19 What does the Bible say?', '17 and 19', '17, 21 and 22']	D	elementary_mathematics	B) 15	B
If 3 packs of spears cost $2.37, how many packs of spears could you buy for $9.48?	['three packs', 'twelve packs', 'thirty cans and a shot', 'thirteen packs']	B	elementary_mathematics	D) thirteen packs	D
Sort from largest to smallest: 2.3 and 1 over 8,3.8,3.18.	['3.18.3 and 1 over 8.3.8 3', '3.3 and 1 over 8, 3.18, 3', '3.8, 3 and 1 over 8, 3.18, 3', '3.8, 3.18, 3 and 1 over 8, 3']	D	elementary_mathematics	A) 3.18, 3.8, 3 and 1 over 8	A
Add up 22 / 2 + 9.	['10 and 11', 'The 11th', '20 years old', '2 and 3']	C	elementary_mathematics	20	unknown
What is the nearest town with a population of 836,527 that adds up to 10,000?	['800,000 or more', '830 thousand', '8,36,000 people', '840,000 years of age']	D	elementary_mathematics	C) 830 thousand	C
find the product of 5 • (−9).	['The 14', 'Minus four', '45 years old', '-45 years']	D	elementary_mathematics	D) -45 years	D
Keiko spent the day watching birds and counted 34 more birds in the morning than in the afternoon. If she counted a total of 76, how many did she count in the afternoon?	['The Birds 21', '40 birds', '42 birds', 'The birds 84']	A	elementary_mathematics	C) 42 birds	C
What is the value of 5 + 2 • 15 + (12 • 4)?	['78 years old', '83 years old', '131 and 131', '153 years old']	B	elementary_mathematics	D) 153 years old	D
What condition can be represented by the fraction 20/8	"['Leslie had spent $28.00', ""Mr. Kramer's eight grandchildren divided the 20 crackers equally. How many crackers did each grandchild receive?"", 'Mitch purchased 20 baskets of flowers from a vegetable store, each containing 8 flowers.', 'Donna used 8 stamps to send out invitations to parties. How many stamps did Donna use to send out her invitations?']"	B	elementary_mathematics	B) Mr. Kramer's eight grandchildren divided the 20 crackers equally. How many crackers did each grandchild receive?	B
If a freight train traveled to an assembly at 20 miles per hour for 6 hours, what would be the distance traveled?	['one hundred and twenty miles', 'eighty miles', 'twenty six miles', 'twelve miles']	A	elementary_mathematics	A) one hundred and twenty miles	A
Which step explains how to find the value of this in 6a = 72?	['add six to each side', 'divide both sides by 6', 'multiply both sides by 6', 'subtract 6 from both sides']	B	elementary_mathematics	B) divide both sides by 6	B
Coach Wu has a total of 30 soccer balls. 9 soccer balls are white. The remaining soccer ball is one of three different colors (blue, pink, or green). There are ball sizes in blue, pink, and green. How many soccer balls and green does Coach Wu have?	['The 7', '10 and 11', 'The 21st', '39 years']	A	elementary_mathematics	B) 10 and 11	B
The temperature dropped 11°F between 6 P.M. and 10 P.M. It was 84°F 10 P.M. Write down and measure the equation to find the temperature t at 6 P.M.	['84 − 11 = t; 73°F', 't − 84 = 11; 95°F', '84 − t = 11; 73°F', 'where t − 11 = 84; 95°F']	D	elementary_mathematics	A) 84 − 11 = t; 73°F	A
Theresa had 72 marble bags. She placed the marbles in 9 equal groups. What sentence shows how to find the number of marbles Theresa put in each group?	['72 divided by 9 = 8', '72  9 = 63', '9 + 72 = 81', '9 divided by 72 = 0.125']	A	elementary_mathematics	A) 72 divided by 9 = 8	A
Rob uses one box of cat food every five days to feed his cat. How many boxes of cat food does he use per month?	['box 2', 'box 4', 'box 5', 'box 6']	D	elementary_mathematics	D) box 6	D
What is the smallest thing that can multiply 4 times 10?	['The 14', '20 years old', '40 years', '60 years']	B	elementary_mathematics	40 years	C
Find 4 over 7 + 2 over 7.	['6 out of 14', '8 out of 49', '14 out of 28', '6 out of 7']	D	elementary_mathematics	A) 6 out of 14	A
How many years is there in a single poem?	['The 5th', '10 and 11', 'What is it? 15', '20 years old']	B	elementary_mathematics	A) The 5th	A
There are 31 days in the month of January. Michelle made 45 lifts each day of the month. She used the formula below to find the number of lifts she made in January. 31 × 45 How many lifts did Michelle make in January?	['height lift 125', 'lifting 279', 'elevated 1,395', 'elevated 1,406']	C	elementary_mathematics	D) 395	D
Two perfect numbers have a Least Common Multiple of 60.Each number is less than or equal to 12.The most significant effect of the two numbers is 2.What are the two numbers?	['6 and 10', '5 and 12', '10 and 12', '12 and 15']	C	elementary_mathematics	A) 6 and 10	A
Find -2 (x - 3) for x = 2.	['Minus four', '-2 years', '10 and 11', '2 and 3']	D	elementary_mathematics	A) Minus four	A
There are 230 calories in 4 ounces of ice cream. How many calories are in 6 ounces of ice cream?	['232 two hundred and thirty two', '236 and', '345 three hundred and fifty', '460 years old']	C	elementary_mathematics	B) 345	B
Add 711 + 497. What is the sum between the two numbers?	['50 and 400', '450 and 700', '750 and 1,000', '1,050 and 1,300']	D	elementary_mathematics	B) 450 and 700	B
Mr. Kohlberg owned a flower shop. At the beginning of the day, he had 152 Roses. Mr. Kohlberg sold 96 Roses and wanted to separate the remaining Roses one by one among 8 pots. What would be the total number of Roses in each pot?	['The 7', '12 and 13', '48 years', '56 years old']	A	elementary_mathematics	A) The 7	A
Count 32 times 68. What is the average of this increase?	['18 and 28', '180 and 280', '1,800 and 2,800', '18,000 and 28,000']	C	elementary_mathematics	D) 800 and 2	D
Write the square root of 77. Use exponents where possible.	['7 • 11 to the 2nd power • 13', '7 squared • 11', '7 to 13', '7 • 11']	D	elementary_mathematics	A)7 • 11 to the 2nd power • 13	A
Magazines cost $2.99 each and books $6.99 each at the Old Town Newsstand. What is the total cost of 4 magazines and 3 books?	['$20.93 or more', '$28.93', '$32.93', '$48.93']	C	elementary_mathematics	B) $28.93	B
Umi created the next number pattern by adding one coin each time to get the next number. 20, 40, 60, 80, ... What would be the eighth number in the pattern?	['160 years old', '240 year old', '320 years old', '640 years old']	A	elementary_mathematics	D) 640 years old	D
Write 7 over 33 as a decimal.	['0.021 occurs frequently', '0.21 occurs frequently', '0.22 occurring frequently', 'and 0.2121']	B	elementary_mathematics	A) 0.2121 occurs frequently	A
Westview School is buying a new basketball uniform. Each uniform costs $46. The school will buy 12 uniforms. What is the equation that tells you how to find the total cost of the uniform?	['40 times 10 plus 6 times 2 is 400 plus 12', '40 times 6 plus 10 times 2 is 240 plus 20', '(40 by 12) + (6 by 12) = 480 + 72', '(40 by 12) + (60 by 12) = 480 + 720']	C	elementary_mathematics	C) (40 by 12) + (6 by 12) = 480 + 72	C
Manuel bought a used car for $6,49. What is the value of Manuel's used car when expressed as a number?	['$649 or more', '$6,049', '$6,409', '$6,490']	B	elementary_mathematics	A)$649 or more	A
Yesterday, Micah ate an even number of strawberries. He also ate an even number of apples. Which one represents the strawberries, S, and the apple, A, that Micah ate yesterday?	['SSSSS; and AAA', 'SSSSS;YYYY', 'SSSSSSSS; and', 'SSSSSSSS; A What is it?']	D	elementary_mathematics	C) SSSSSSSS; and A	C
Cat food costs $47/lb. How much does a 6-lb bag cost?	['$2.82 a year', '$2.97', '$6.47', '$12.77']	A	elementary_mathematics	D)$12.77	D
Write 60 over 72 in the simplest form.	['four out of six', 'Ten out of twelve', '10 and 17 above', 'Five out of six']	D	elementary_mathematics	Five out of six	D
Write the size of a 2 to 3 qt cup as a fraction in the simplest form.	['3 out of 2', '2 out of 3', '2 out of 12', '1 out of 6']	D	elementary_mathematics	A) 3 out of 2	A
The Mills Library has 1,007,199 volumes; the Springvale Library has 907,082 volumes.Which of the following is the best estimate of how many books the Mills Library holds over the Springvale Library?	['number of books 100,0000', 'about 80,000 books', 'about 10,000 books', 'eight thousand books']	A	elementary_mathematics	A) 100,000	A
Pat throws the ball 25 times in 30 seconds, so how many times in 150 seconds can Pat throw the ball?	['120 and over', '125 years old', 'The 144th', '145 years old']	B	elementary_mathematics	A) 120 and over	A
Find the sum of -9 + (-8) using the numeral signs.	['-17 years', '1 and 2', '-1 to', '17th']	A	elementary_mathematics	A) -17 years	A
What is the value of y over the equation y/4 = 8?	['2 and 3', 'The 4', '12 and 13', '32 years old']	D	elementary_mathematics	A) 32	A
Write 4 and 4 over 5 as an improper fraction.	['twenty-eight above the drawing', 'four out of five', 'Twenty-four on top of the painting', 'Twenty out of five']	C	elementary_mathematics	D) Twenty out of five	D
The mass of an object on the Moon, m, is approximately q of the mass of an object on Earth, e. What is the equation that represents the mass of an object on the Moon in relation to the mass of an object on Earth?	['m = 1/6 + e', 'm = e/6', 'm is equal to 6+e', 'm is equal to 6e']	B	elementary_mathematics	B) m = e/6	B
8 + 8 divided by 2 + 2 =	['The 4', 'The 8', '10 and 11', 'The 14']	D	elementary_mathematics	The correct option is C) 10 and 11	C
What value does y make y + 2.9 = 11 true?	['8.1, 8.2 and 8.3', '8.9 years old', '9.1 years', '13.9 years']	A	elementary_mathematics	A) 8.1	A
What is the extension of an angle of 40°?	['50°', '130°', '140 degrees', '220 degrees']	C	elementary_mathematics	A) 50°	A
Kerri ran the same distance in four different races. Her times were 18.04 seconds, 21.39 seconds, 12.99 seconds, and 14.14 seconds. If the time of each one is calculated to be close to one tenth of a second, what is Kerri's estimate of the total time for the four races?	['66.6 seconds', '66.5 seconds', '66 seconds', '65.5 seconds']	B	elementary_mathematics	B) 66.5 seconds	B
Multiply 3 over 4 times x = 24.	['18 and 19', '32 years old', '72 years', '96 years old']	B	elementary_mathematics	Option C) 72 years	C
Find the correct answer: 110 + 70	['18 and 19', '81 years old', '180 years old', '810 people']	C	elementary_mathematics	C) 180 years old	C
A zoo has 15 toucans and 60 parrots. What is the ratio of the toucans to the number of parrots in the zoo?	['1:04 hours', '1:05 hours', '10 a.m.', '4:05 What happened?']	A	elementary_mathematics	A) 1:04	A
What is the greatest common factor of 36 and 90?	['6 and 7', '18 and 19', '4:01 hours', '180 years old']	B	elementary_mathematics	A) 6	A
Find the value of 6 • 24 ÷ (8 - 5).	['48 years', '13 What Is It?', '-13 years', '54 years old']	A	elementary_mathematics	Option B) 13	B
What is the greatest common factor of 42 and 84?	['The 7', 'The 21st', '42 years old', '84 years old']	C	elementary_mathematics	A) The 7	A
Ms. Gutierrez should weigh rope for a gym class of 32 students. Each student will receive a rope of 5 feet 8 inches in length. What is the total length of rope Ms. Gutierrez should weigh for her class?	['106 feet and 8 inches', '154 feet and 8 inches', '160 feet and 8 inches', '181 feet and 4 inches']	D	elementary_mathematics	C) 160 feet and 8 inches	C
In December, a toy store sold 934 puzzles, each costing $6, including taxes. What was the total cost of the puzzles, including taxes?	['$5,434', '$5,484', '$5,604', '$5,684']	C	elementary_mathematics	D) $484	D
What is the size, and height, of the part corresponding to 1/360 of a circle?	['1 and 2', '90 years old', '180 years old', '360 years']	A	elementary_mathematics	A) 1 and 2	A
Find the number that makes the statement true: 26.1 mm = _ dm.	['and 0.261', '261 years', '2.61 years', '2,610 people']	A	elementary_mathematics	A) 0.261	A
A salad dressing is made by mixing 2 parts wine and 5 parts oil. How many ounces of oil should be mixed into 9 ounces of wine?	['2 and 3', '3.6 years old', '22.5 years', '63 years old']	C	elementary_mathematics	A) 2 and 3	A
The main obstacle to sustainable economic growth and prosperity is the lack of	['cash flow', 'well-connected transportation infrastructure.', 'Government work', 'banking services']	B	high_school_geography	B) well-connected transportation infrastructure.	B
The process by which a number can grow in length after a genetic mutation is called	['growth of zero.', 'rapidly increasing numbers.', 'the homeostatic plateau.', 'the demographic momentum.']	D	high_school_geography	D) the demographic momentum.	D
The urge to move is said to be diminished by patience	['what does it mean to be depressed?', 'the skin sensors', 'corruption is far away', 'the choice of recycling']	C	high_school_geography	C) corruption is far away	C
Which area has low-income housing slums, ghetto communities, and total deprivation within the Burgess concentric zone of an urban-type area?	['The first one', 'The second', 'The Third', 'The Fourth']	A	high_school_geography	C) The Third	C
Which of these statements is TRUE about women in the workplace?	['most of the indigenous peoples are farmers.', 'the percentage of black children in employment is decreasing worldwide', 'Percentage of women in the workforce decreased', 'females put in more hours in front of the work every day than males in all regions except Anglo America and Australia']	D	high_school_geography	D) females put in more hours in front of the work every day than males in all regions except Anglo America and Australia	D
All of these can be considered as causes of EWEZUGA migration	['safety.', 'the weather is better.', 'better schooling.', 'overweight and obesity']	D	high_school_geography	A) safety	A
Which of these cities does not have a well-known geographical symbol?	['Vietnamese', 'The United Kingdom', 'Germany', 'Bolivia and Bolivia']	D	high_school_geography	D) Bolivia	D
What kind of relocation below can foreign farmers do during the year?	['Moving the logs', 'move the cluster', 'displacement cycle', 'international migration']	C	high_school_geography	D) international migration	D
Which of these is the centrifugal force in a city?	['the cult of the gods', 'a national holiday', 'Invasion from another country', 'an ethical ruler']	A	high_school_geography	A)the cult of the gods	A
Modern settlements and high population density are located along the coast but what are these better things that are being sent to the coast?	['The Mediterranean climate', 'forest cover is low', 'Industrial growth', 'access to trade routes']	D	high_school_geography	D) access to trade routes	D
The first phase of demographic change reflects	['high birth rate and high death rate but stable.', 'decrease in birth rate and increase in death rate continues', 'The decline in births and deaths is continuing.', 'high birth rate and decreasing death rate']	A	high_school_geography	D) high birth rate and decreasing death rate	D
What is the number that tells us the birth rate of the number of children that will be born enough to replace the parents and compensate for the premature death?	['number of crud births', 'Appointment of replacement', 'number of deaths', 'total number of births']	B	high_school_geography	B) Appointment of replacement	B
What is the fastest-growing religion in the United States today?	['Islam and Islam', 'The Christianity', 'Hinduism', 'Buddhism']	A	high_school_geography	A) Islam	A
The outlying area of the urban centre is called a suburb.	['where the red line is.', 'what you are looking at.', 'the region.', 'the hinterland.']	D	high_school_geography	D) the hinterland	D
The best definition of a developing country is	['central cities and urban areas.', 'central cities and regions are still developing.', 'the city centre and its hinterland.', 'central city and adjoining country']	B	high_school_geography	B) central cities and regions are still developing.	B
Which religion was the first to emerge?	['The Buddhists', 'The Christianity', 'Islam and Islam', 'Hinduism']	D	high_school_geography	D) Hinduism	D
Which one of these is not a characteristic of a global city?	['Global cities are home to the headquarters of many international companies.', 'The world cities are well connected to the second world city.', 'Global cities are home to many multinational corporations.', 'Earth cities are found only in the northern and western hemispheres.']	D	high_school_geography	D)Earth cities are found only in the northern and western hemispheres.	D
What kind of transportation created the star-shaped city layout?	['A highway to the airport connecting the city would have to be built.', 'The interstate highway system will be', 'Circumurban road', 'Rail and trolley lines extend through the CBD']	D	high_school_geography	D) Rail and trolley lines extend through the CBD	D
Which US city below would you expect to see the recommended cities?	['Ghettos and ghettos', 'Residential area', 'CBDs', 'Area of change']	B	high_school_geography	C) CBDs	C
The base latitude and longitude of a location is an example of	['physical area.', 'working area.', 'perfect place.', 'state of affairs']	C	high_school_geography	A) physical area.	A
A voluntary alliance is called when three or more nations are willing to relinquish some sovereignty	['nationalism and racism.', 'the delivery.', 'excessive nationalism', 'to be fulfilled.']	C	high_school_geography	C) excessive nationalism	C
Thomas Malthus' main misunderstanding of his theory of population is	"['human populations are limited by their way of life.', 'the total population may increase more than the actual population increase.', 'war and famine restrict fertility rates.', ""the ability of technology to enhance the Earth's carrying capacity.""]"	D	high_school_geography	D) the ability of technology to enhance the Earth's carrying capacity.	D
What two aspects of religion are responsible for the domination of all religions of the world?	['Islam and Judaism', 'Judaism and Buddhism', 'Hinduism and Buddhism', 'Christianity and Buddhism']	D	high_school_geography	D) Christianity and Buddhism	D
Which urban concept with high-income housing growing from the city center to the outskirts along the freeway and low-income housing respectively takes over?	['Model area circle', 'Center of the model', 'Local model', 'Model department']	D	high_school_geography	A) Model area circle	A
When a nation combines its religion with its government, it is called	['authoritarian government', 'theocracy', 'Democracy, or the rule of law.', 'dictatorship and persecution']	B	high_school_geography	B) theocracy	B
What is the dominant religion in Europe?	['The Body of Christ', 'Islam and Islam', 'Hinduism', 'Animism']	A	high_school_geography	A) The Body of Christ	A
How did the first successful settlement develop in the eastern United States?	['the French', 'British (Irish and Scottish, Welsh and Scottish)', 'the Russians', 'the Chinese']	B	high_school_geography	B) British (Irish and Scottish)	B
A population pyramid, or sex-age pyramid, displays all of this information about the population of a city	"['the need for social spending in the future of the population.', 'impact of ""baby booms"" on the population.', 'effects of war and population.', 'a snapshot of the population of a city.']"	B	high_school_geography	D) a snapshot of the population of a city.	D
The Rhine is a symbol of a kind of rat?	['Geometry', 'handmade', 'the environment', 'Relict']	C	high_school_geography	C)the environment	C
What type of economic activity is usually associated with the eye and body environment?	['Primary', 'Secondary school', 'Tishri', 'Roughly']	A	high_school_geography	A) Primary	A
Many workers in remote countries can be employed in the form of programs?	['Primary', 'Secondary school', 'Tishri', 'Roughly']	A	high_school_geography	A) Primary	A
All these are non-essential services in EWEZUGA village	['a city firefighter.', 'social worker', 'a duck and a chicken', 'an employee of a clothing factory.']	D	high_school_geography	C) a duck and a chicken	C
International companies distribute their work	['Production of products where the cost of production is highest.', 'conducts accounting and auditing activities in the financial area.', 'based on comparative merits.', 'with the headquarters in LDC.']	C	high_school_geography	C) based on comparative merits.	C
Which of these factors DOES NOT affect the development of alluvial soils?	['A deep shell of fragile matter', 'The slowest decline in numbers', 'Frequent flooding', 'Deep cratering and erosion']	D	high_school_geography	D) Deep cratering and erosion	D
Which of these is most satisfactory in terms of the natural resources required for modern industry?	['United States of America', 'Japan', 'France', 'The United Kingdom']	B	high_school_geography	A) United States of America	A
One of the effects of the east-west pattern of the Alps and the mountains of western and central Europe is that it	"[""blocks Europe's climate from reaching the coast"", 'providing a channel of communication between southern and northern Europe', 'extends the tropical climate eastward to Germany and Poland', 'effectively prevent the movement of arms between parts of the Mediterranean region']"	C	high_school_geography	B) providing a channel of communication between southern and northern Europe	B
The largest Hindu temple ever built is located in	['Calcutta. What is it?', 'The city of Bombay.', 'From Cambodia', 'Baal. What is it?']	C	high_school_geography	C) From Cambodia	C
What word best describes the forces that bind and strengthen a community?	['The Expansion', 'stand out from the crowd', 'Closer to the center', 'other cultural research']	C	high_school_geography	C) Closer to the center	C
Which one of these statements best describes the application of the S-curve?	['Sketch of the Bantu exodus', 'Chart of population growth since first appearing on Earth', 'Diagram showing how urban areas are grouped by their size.', 'Figure showing the decrease in population growth for various countries after industrialization']	D	high_school_geography	D) Figure showing the decrease in population growth for various countries after industrialization	D
Which of the following is NOT a challenge to the state?	['The international company', 'The EU', 'The world trade organization', 'Good transportation network']	D	high_school_geography	D) Good transportation network	D
National sports teams, flags, anthems, and national holidays are promoted internationally	['nationalism and racism.', 'sectarianism', 'Political instability.', 'unfounded arguments.']	A	high_school_geography	A) nationalism and racism.	A
The process by which immigrants learn the values, language, and culture of their new country is called	['to subscribe to', 'adapting to a new culture', 'adjusting to the situation', 'combined']	B	high_school_geography	B) adapting to a new culture	B
Which of these is best for accurately showing distances, accurate directions, exact dimensions, and exact shapes?	['The Mercator Plan', 'A globe', 'An examination of the skull', 'Gnomonic consideration']	B	high_school_geography	B) A globe	B
Which of these should be considered as a superior workplace system?	['The grocery store of Winn-Dixie', 'Mercedes-Benz buyers and sellers', 'Shoe shop', 'Family physician']	B	high_school_geography	B) Mercedes-Benz buyers and sellers	B
Which geographer regarded the US urban landscape of the 1920s as a ring emerging from the central core?	['The Rostow', 'The Ravenstein', 'by Thunen', 'Burgess']	D	high_school_geography	D) Burgess	D
To get to school in the morning, we WOMEN use this as our guide:	['Rand-McNally Way of the Atlas.', 'earth to earth.', 'map of the way', 'map of the mind']	D	high_school_geography	C) map of the way	C
Of these, the map with the least number of maps will be the map of	['The earth.', 'Located in Atlanta, Georgia.', 'Main Street, small town, Ohio.', 'The Pennsylvania.']	A	high_school_geography	A) The earth	A
The earliest boundaries developed before careful knowledge of geography and classification were known as	['the territory first.', 'geometric boundary', 'historical boundaries.', 'the next territory.']	A	high_school_geography	B) geometric boundary	B
Which of these jobs are in the non-core services sector?	['Software engineer', 'F-10 pickup truck of assembly-line work', 'An oil refinery worker.', 'Supervisor of the parking garage']	D	high_school_geography	D) Supervisor of the parking garage	D
Which of these areas are being replaced by large scale commercial development of food agriculture?	['The Swiss Alps', 'The Amazon Basin', 'North Africa', 'The Alaskan tundra']	B	high_school_geography	C) North Africa	C
