question	choices	answer	subject	output	verbalized
Keiko worked all day watching the birds, and he saw 34 more at noon than at noon. If he saw seventy-six birds in all, how many did he see at noon?	['the bird 21', '40 birds', 'the bird 42', 'the bird 84']	A	elementary_mathematics	C)the bird 42	C
How much is 5 + 2 - 15 + (12 - 4) ?	['78 years', '83 years old', '131 and 131', 'One hundred and fifty three']	B	elementary_mathematics	A) 0	A
What situation might be likened to this 20/8 paragraph?	"['Lesli spent twenty dollars and eight cents in the store. How could the money Lesli spent be mislabeled?', ""Mr. Kramer's eight children divided the 20 loaves equally. How much will you give each one?"", 'Mitch bought 20 bouquets of flowers at the market. There are 8 flowers in each bouquet. How many flowers did Mitch buy?', 'The postcard sold for 20 a can. Send 8 postcards and send a postage stamp for the celebration. How many postcards did Donna use?']"	B	elementary_mathematics	B) Mr. Kramer's eight children divided the 20 loaves equally. How much will you give each one?	B
If a bicycle has a speed of 20 km/h, how far will it travel in 6 hours?	['120 miles', '80 miles', '26 miles', '12 miles']	A	elementary_mathematics	A)120 miles	A
What is the square root of 'a' in 6a = 72?	['add 6 to both sides', 'divide both sides by 6', 'consider each part to be a reward 6', 'divide 6 into two equal parts']	B	elementary_mathematics	B)divide both sides by 6	B
Coach Wu has 30 balls, of which 9 are white. The remaining balls are three different colors: blue, pink, and green. How many green balls does Wu have?	['7th', '10 years', 'The 21st', '39 years']	A	elementary_mathematics	A) 7	A
The temperature dropped 11 °F from 18h to 22h. When it reached 22h, the temperature was 84 °F. Write and calculate the temperature (t) at 18h.	['84 − 11 = t; 73°F', 't − 84 is equal to 11; 95°F', '84 − t is equal to 11; 73°F', 't − 11 = 84; 95°F. This is the temperature of the earth']	D	elementary_mathematics	D) t − 11 = 84; 95°F	D
Thérèse had 72 banknotes in her purse, divided into nine equal parts. What numerical expression indicates the number of banknotes in each part?	['72 divided by 9 is equal to 8.', '72  9 = 63', '9 plus 72 is equal to 81.', '9 divided by 72 is equal to 0.125']	A	elementary_mathematics	A)72 divided by 9 is equal to 8.	A
Rob uses the same food every 5 days for 5 days to feed his ducks. How much food does Rob use regularly to feed his ducks in a month?	['go to 2', 'go to 4', 'go to 5', 'go to 6']	D	elementary_mathematics	B)go to 4	B
What is the least common multiple of 4 and 10?	['The 14th', '20 years', '40 years', '60 years']	B	elementary_mathematics	B)20 years	B
Consider pages 4 through 7 and 2 through 7.	['6 to 14', '8 to 49', '14 to 28', '6 to 7']	D	elementary_mathematics	D)6 to 7	D
How many eggs are in the eggs?	['5 and 6', '10 years', 'The 15th', '20 years']	B	elementary_mathematics	A)5 and 6	A
There are 31 days in a leap month. Each day of this month, Michelle performs 45 heartbeats. To calculate all the heartbeats she has performed in the month, she uses the following formula: 31 x 45. How many months have they been in a leap?	['about 125', 'about 279', 'about 1395', 'about 1406']	C	elementary_mathematics	C)about 1395	C
The smallest common multiple of two numbers is a multiple of 60. Each of these digits is less than or equal to 12. The largest common multiple of these two digits is 2. What are the digits?	['6 and 10', '5 and 12', '10 and 12', '12 and 15']	C	elementary_mathematics	A) 6 and 10	A
Consider the following equation: -2(x - 3) if x = 2.	['Minus four', '- two.', '10 years', '2 and 3']	D	elementary_mathematics	B) -2	B
4 grams of honey contains 230 nutrients. How much nutrient is in 6 grams of honey?	['232 years old', '236 years old', '245 days', '460 days']	C	elementary_mathematics	D) 460 days	D
Think of the number 711 + 497 and tell me which of the two digits would be the answer?	['50 and 400', '480 and 700', '750 and 1000', '1050 and 1300']	D	elementary_mathematics	D)1050 and 1300	D
Mr. Kohlberg is a florist. At the beginning of the day, there are 152 roses in the store. He sells 96 of them and eats the rest to divide into 8 baskets. How many will be in each basket?	['7th', '12th', '48 years', '56 years']	A	elementary_mathematics	B)12th	B
Calculate 32 times 68 and give the answer as a fraction	['18 and 28', '180 and 280', '1800 and 2800', '18,000 and 28,000']	C	elementary_mathematics	C)1800 and 2800	C
Write down the reciprocal of 77 and draw a line if necessary.	['7 • 11 to the 2nd power • 13', '7 squared • 11', '7 to 11 to 13', '7 through 11']	D	elementary_mathematics	B) 7 squared • 11	B
At the Old Town newsagents, a newspaper costs $2.99 and a book costs $6.99. If you buy 4 newspapers and 3 books, how much will you pay?	['20 and 93 US dollars', '28, 93 US dollars', '32, 93 dollars from the US', '48.93 U.S. dollars']	C	elementary_mathematics	A) 20 and 93 US dollars	A
He found the following: 20, 40, 60, 80,... What would be the 8th number in the sequence?	['160 years', '240 or more', 'three hundred twenty', '640 years']	A	elementary_mathematics	B)240 or more	B
Write 7 divided by 33 in decimal form	['0.021 for the long term', 'of 0.21', '0.22 for a long time', 'Other 0']	B	elementary_mathematics	D) Other 0	D
Westview School purchased 12 new basketball jerseys for $46 each. What contact information shows the total amount?	['(40 by 10) + (6 by 2) = 400 + 12', '(40 × 6) + (10 × 2) is equal to 240 + 20', '(40 × 12) + (6 × 12) is equal to 480 + 72', '(40 × 12) + (60 × 12) = 480 + 720 is equal to']	C	elementary_mathematics	C)(40 × 12) + (6 × 12) is equal to 480 + 72	C
Manuel purchased an olive oil boat, the value of which was four hundred and nine dollars. Write the price down according to the number of dollars.	['649 dollars from the United States', '6049 dollars from the United States', '6409 dollars from the United States', '6490 dollars from the United States']	B	elementary_mathematics	None of the options provided match the description of four hundred and nine dollars. Please check the options or the question for accuracy.	unknown
Take, I pray thee, to Micah, and eat sweet cakes according to the number of them; he hath also eaten sweet cakes according to the number of them: who shall bind the sweet cakes of Micah together with the unleavened cakes?	['FFFFF; PPP', 'FFFFF; and PPPP', 'FFFFFFFF; and PPPP', 'FFFFFFFF; and P']	D	elementary_mathematics	C)FFFFFFFF; and PPPP	C
The cost of canned food is $47 per kilo. What is the cost of a bag of food weighing 6 kilos?	['2, 82 US dollars', '2, 97 US dollars', '6, 47 US dollars', '$12.77 US']	A	elementary_mathematics	D) 282 US dollars	D
Write 60 instead of 72 in simple form	['4 to 6', '10 to 12', '15 to 17', '5 to 6']	D	elementary_mathematics	D)5 to 6	D
Remove the top of each object 2 cups for qt 3 pieces in the simplest case	['3 to 2', '2 out of 3', '2 to 12', '1 to 6']	D	elementary_mathematics	A) 3 to 2	A
There are 1,007,199 books on Mills's desk and 907,082 on Springvale's. Which of these answers tells you the number of books Mills took through Springvale?	['100 000 books', '80 000 books', '10 000 books', '8 000 books']	A	elementary_mathematics	A)100 000 books	A
Pat kicked a basketball 25 times in 30 minutes. Think of how many times he could have kicked a basketball in that situation in 150 minutes	['120 and over', '125 years', 'The 144th', '145 years old']	B	elementary_mathematics	A) 120 and over	A
Use the arithmetic to find this gemstone -9 + (-8)	['- 17 years.', '1 and 2', '-1 is negative', 'The 17th']	A	elementary_mathematics	A) -17 years.	A
What is the value of Y in the equation Y/4 = 8?	['2 and 3', '4 and 5', '12th', '32 years old']	D	elementary_mathematics	D)32 years old	D
Write 4 plus 4 minus 5 in the text.	['28 to 5', '4 out of 5', '24 to 5', '20 to 5']	C	elementary_mathematics	B)4 out of 5	B
An object's mass on the Moon L is q's mass on the Earth T. What is the relationship between the object's mass on the Moon and the mass on the Earth?	['m is equal to 1/6 + e', 'm is equal to e/6', 'm is equal to 6+e', 'm = 6e']	B	elementary_mathematics	B)m is equal to e/6	B
8 + 8 divided by 2 + 2 =	['4 and 5', '8 and 9', '10 years', 'The 14th']	D	elementary_mathematics	C) 10 years	C
What value of Y indicates the correctness of this equation ?	['8.1 years', '8 and 9', '9 and 1', '13.9 years']	A	elementary_mathematics	B)8 and 9	B
What are the signs of a 40° rainbow ?	['50° to', '130̰°', '140° to', '220° north']	C	elementary_mathematics	A) 50° to	A
Kerri ran the same distance in four races: 18.04 minutes; 21.39 minutes; 12.99 minutes and 14.14 minutes.	['minutes 66.6', '66.5 minutes', '66 minutes', '66.5 minutes']	B	elementary_mathematics	B) 66.5 minutes	B
Consider the following equation: 3 divided by 4 times x = 24.	['18 years', '32 years old', '72 years', '96 years old']	B	elementary_mathematics	B)32 years old	B
Find the correct answer to this number: 110 + 70	['18 years', '81 years old', '180 days', '810 years']	C	elementary_mathematics	C)180 days	C
In a zoo, there are 15 tigers and 60 chickens. What is the relationship between the number of tigers and the number of chickens?	"['1:04 hours', '1:05 is right.', '4:01 hours', ""It's 4:05.""]"	A	elementary_mathematics	B)1:05 is right.	B
What is the difference between a 36 and a 90 ?	['6th', '18 years', '36 years', '180 days']	B	elementary_mathematics	B)18 years	B
Divide 6 by 24 (8 by 5).	['48 years', '13th', '- Thirteen', '54 years']	A	elementary_mathematics	A) 48 years	A
What is the greatest common divisor between 42 and 84 ?	['7th', 'The 21st', '42 years', '84 years old']	C	elementary_mathematics	C)42 years	C
Mrs. Gutierrez had to buy a wire for her physical education class of 32 students, each of whom received a five-foot-eight-inch cord.	['feet 106 feet 8 inches', '154 feet 8 inches', '160 feet 8 inches', '181 feet 4 inches']	D	elementary_mathematics	B) 154 feet 8 inches	B
In the summer, a toy store sold 934 puzzles, including one with a retail price of $6. How much was the retail price of all the puzzles?	['5.434 US dollars', '5,484 dollars from the United States', '5,604 dollars from the United States', '5,684 dollars from the United States']	C	elementary_mathematics	C) 484 dollars from the United States	C
What is the angle of 1/360 of a circle in degrees?	['1 and 2', '90 days', '180 days', '360 degrees']	A	elementary_mathematics	A)1 and 2	A
What is the diameter of the contact patch?: 26.1 mm = _ dm.	['number 261', 'number 261', '2.61 years', '2.61 years']	A	elementary_mathematics	C) 2.61	C
"""If a jar of wine is full, how much more can a jar of oil be filled with?"	['2 and 3', 'The 3.6', '22.5 years', '63 years']	C	elementary_mathematics	A)2 and 3	A
The main factor that hinders the development of food production systems is	['the money', 'roads', 'governmental programs', 'banks']	B	high_school_geography	A)the money	A
The longest migration in a country after the end of the transition period is	['excessive use', 'increase rapidly', 'location of quantity', 'Movement of the placenta']	D	high_school_geography	A) excessive use	A
If I go down to the cities because of the distance of the place, this situation is called	['. an incentive', 'high school', 'Dede is the local equivalent of the wolf', 'Choosing to Travel']	C	high_school_geography	A) an incentive	A
In Burgess' model of urban sprawl, where are the slums, ghettos, and squatter settlements to be found?	['The First', 'the second', 'the third', 'the fourth']	A	high_school_geography	B) the second	B
What is the truth about the role of women in medicine?	['many women work in the fields', 'wages for women workers are declining worldwide', 'The life of a woman who works is worth living', 'Women work long hours every day in all parts of the world except the United States and Australia']	D	high_school_geography	A)many women work in the fields	A
All of these events can be called expatriation events unless	"['security', ""the world's pride"", 'good clothing', 'the population has decreased']"	D	high_school_geography	A) security	A
Is one of these languages not a good boundary?	['Vietnamese', 'The United Kingdom', 'Country of origin', 'The Bolivian']	D	high_school_geography	B) The United Kingdom	B
In these examples, could it be farmers from a prestigious city?	['walking in a crowded street', 'traveling in small groups', 'rural migration', 'going abroad']	C	high_school_geography	C) rural migration	C
"""Who among all these men will spare himself for his people?"""	['Conflicts of Faith', 'a national holiday', 'a snake that has stolen another', 'A great leader']	A	high_school_geography	D) A great leader	D
Describe one of the reasons why people gathered at the beginning of the floodwaters.	['warmth of the mediterranean', 'lack of forests', 'Number of companies', 'the concept of illegal immigration']	D	high_school_geography	A) warmth of the mediterranean	A
Population growth is	['many generations and the death of the heart although not equal', 'Birth and death rates', 'The newborn will live, and the dead will be buried.', 'births honourable births and deaths honourable']	A	high_school_geography	B)Birth and death rates	B
What kind of census system makes it possible to terminate a pregnancy so that a nation can have many children to replace the parents and orphans who have died?	['breaking the cycle of birth', 'the generations have crossed the border', 'measurement of death', 'reduction in the frequency of pregnancy']	B	high_school_geography	A) breaking the cycle of birth	A
What is the fastest-growing religion in America today?	['Following Islam', 'The Christian congregation', 'Hinduism', 'Buddhists']	A	high_school_geography	A) Following Islam	A
"The goat's mouth with the words ""city"" is called:"	['the red spot', 'boundary', 'rather than being influenced', 'Foreign language']	D	high_school_geography	B)boundary	B
The best solution for the city is	['Downtown and its developments', 'The city and its suburbs', 'the city and its language', 'the city and the towns involved']	B	high_school_geography	B)The city and its suburbs	B
"""Which of you, then, is the greatest?"""	['Buddhists', 'The Christians', 'Following Islam', 'Hinduism']	D	high_school_geography	None of the options provided is correct as the question is subjective and relates to religious beliefs, which cannot be quantified or compared in terms of greatness. Each religion has its own values and significance to its followers.	unknown
Which of these was not unique to the ancient cities of the world?	"[""the world's oldest cities are home to the world's largest tax havens"", ""The world's major cities are connected to other smaller cities"", 'Migrant communities are concentrated in urban areas', ""the world's most visited cities are located in the northern and western hemispheres""]"	D	high_school_geography	A)the world's oldest cities are home to the world's largest tax havens	A
What economic factors contributed to the formation of star-shaped cities ?	['Distances between cities and airports', 'National highways linking cities', 'Roads designed to encircle cities', 'Trams and trolleys from the CBD']	D	high_school_geography	B) National highways linking cities	B
What is the largest planned city in the United States?	['Mountains', 'goats', 'CBDs', 'place of conversion']	B	high_school_geography	A)Mountains	A
The saturation of the lattice with the parent body for a point is an example of:	['community development', 'the area where the wildlife lives', 'a place where they can be easily identified', 'observing the day of reckoning']	C	high_school_geography	A) community development	A
Groups of three or more countries that are willing to give up some of their capabilities are called	['citizenship', 'scattering of goods', 'nationalism', 'management of people']	C	high_school_geography	A)citizenship	A
In these important sentences, highlight what Thomas Malthus wrote about his fate in the gods of the nations	['The peoples are under the limit of their food', 'the number of nations can exceed the population limit', 'Wars and famines reduce the birth rate', 'Engineers will increase the rate of erosion of the earth']	D	high_school_geography	A)The peoples are under the limit of their food	A
What two interfaith movements are recognized worldwide?	['Islam and Judaism', 'Judaism and Buddhism', 'Hinduism and Buddhism', 'Christianity and Buddhism']	D	high_school_geography	D) Christianity and Buddhism	D
What model of urban planning states that water-filled dormitories rise above city halls and hallways and that less expensive dormitories follow them in the basement	['examples of neighborhoods', 'An example of neutrality', 'A model of a royal city', 'Examples of fictional locations']	D	high_school_geography	D)Examples of fictional locations	D
If a kingdom is divided against itself, that kingdom cannot stand.	['Violence and racism', 'Keeping Faith', 'Distinguished leadership', 'Caring for Others']	B	high_school_geography	B) Keeping Faith	B
What is the largest religious group in Europe?	['The Christian congregation', 'Following Islam', 'Hinduism', 'withdrawal']	A	high_school_geography	A)The Christian congregation	A
What movements contributed to colonial expansion in the eastern United States?	['French', 'Britannique (English, ecossais-irlandais, écossais) is a language spoken in the United Kingdom.', 'Roses', 'Chinese people']	B	high_school_geography	B) Britannique (English)	B
The pyramid of wheels represents a nation's reputation except	['the need for urban amenities', 'the experiences of rebirth that they bring to the nation', 'The effects of the wars on the nation', 'rapid increase in population']	B	high_school_geography	A) the need for urban amenities	A
What kind of border is the Rhine ?	['Calmly', 'The Miracle', 'natural person', 'Headgear']	C	high_school_geography	C) natural person	C
What occupation involves sight?	['the first', 'the second', 'the third', 'the fourth']	A	high_school_geography	B)the second	B
What kind of jobs do race car drivers have?	['The First', 'the second', 'the third', 'the fourth']	A	high_school_geography	B) the second	B
These things are useless unless you eat them and drink them.	['Firefighters', 'social workers', 'Colonial architects', 'Textile workers']	D	high_school_geography	B) social workers	B
Collection of foreign works	['working in places where wages are higher', 'abdominal pain and diarrhea in areas with better circulation', 'places where fights and riots are rare', 'near the appropriate PED points']	C	high_school_geography	A) working in places where wages are higher	A
Which of these is not often the subject of controversy?	['putting things in the water', 'easy to swallow too much', 'frequent watering', 'eating and drinking too much']	D	high_school_geography	A) putting things in the water	A
Which of these cities does not have a coal-fired power plant?	['The Americas', 'Japanese', 'French', 'The English arrived']	B	high_school_geography	B) Japanese	B
The east-west alignment of the Alps and the valleys of Western and Central Europe is intended to:	"[""Europe's crackdown on tobacco will be halted"", 'linking northern and southern europe', 'Globalization movements focused on expanding eastwards, Germany and Poland', 'And the border of the isles of the south shall be cut off.']"	C	high_school_geography	B) linking northern and southern europe	B
The largest Hindu temple complexes are located in	['City of Calcutta', 'City of Bombay', 'Cambodia and Cambodia', 'Valley']	C	high_school_geography	C)Cambodia and Cambodia	C
What words describe the combined power and might of the nations?	['What is it?', 'Accommodation', 'Moving in the middle', 'cut off the head of the goat']	C	high_school_geography	B) Accommodation	B
Which adjective best describes captivity in S?	"['Travel badge of the bandits', ""A chart showing the number of people on earth since Adam's fall"", 'A map showing how cities communicate with each other due to their expansion', 'The demographic projection system remains unclear as to whether cities have established employers']"	D	high_school_geography	C)A map showing how cities communicate with each other due to their expansion	C
Which of these is not a threat to the State?	['Foreigners', 'The EU', 'The world trade system', 'Road worker']	D	high_school_geography	D) Road worker	D
National sports teams, flags, bands and national holidays are factors that contribute to the development of	['citizenship issues', 'in the dark economy', 'in the turmoil of political speech', 'the challenges of work']	A	high_school_geography	A)citizenship issues	A
It is an event in which foreigners learn the culture, language and culture of the host country.	['hospitality', 'respect for others', 'equality', 'disagreement']	B	high_school_geography	A) hospitality	A
Which of these is the most accurate measurement of the earth - its actual size, its height, its thickness, and its shape?	"[""Mercator's method of drawing"", 'Map of the globe', 'haste to reveal', 'a projection from the center of the earth']"	B	high_school_geography	B) Map of the globe	B
Which of these could be considered the most important work?	"[""Winn-Dexie's clothing shop"", 'The garage of a Mercedes-Benz', 'Shoe shop', 'Family physician']"	B	high_school_geography	D) Family physician	D
What geographer said in the 1920s that the American people were like a chain of bars that stretched from the middle of a hill to the top of a mountain ?	['Rostow', 'The Ravenstein', 'List of people named Von Thünen', 'Burgess']	D	high_school_geography	D) Burgess	D
We use this rule if you go to school every morning	['Published by Rand Mcnally', 'Map of the world', 'a walking stick', 'painting artist']	D	high_school_geography	B) Map of the world	B
Among these editions, the shortest measure of the night is	"['outsider', ""Georgie's father"", 'Main Street, small town, Ohio', 'The state of Pennsylvania.']"	A	high_school_geography	C) Main Street	C
The boundaries drawn before the discovery of geology and mapping are called	['selfishness', 'boundary of comfort', 'dead border', 'Back to the border']	A	high_school_geography	C) dead border	C
What, though, about the foundations?	['Advice from a Master Worker', 'Former employee of an F-10 pickup', 'Kitchen worker', 'A guard at the bus station']	D	high_school_geography	A) Advice from a Master Worker	A
To what extent has the deep trade replaced farming ?	['The Swiss Alps', 'Rivers of the Amazon', 'North Africa', 'On the Alaskan species']	B	high_school_geography	C)North Africa	C
All faiths are interconnected.	['lack of faith', 'an unbeliever', 'consumption of alcohol', 'citizenship']	A	high_school_geography	B) an unbeliever	B
These conditions are the same for all regions except	['boundaries', 'situation in some', 'honoring their special place', 'the ease with which they are corrected']	D	high_school_geography	B) situation in some	B
In this series of American travelogues, is this not the case?	"[""Settlement until the 1870's white, English, ecossais-Irish, African"", '1870+1914 - People from Asia', '1870-1914 - Eastern and southern Europe', '1965 to Spanish occupation']"	B	high_school_geography	B) English	B
Which of the following characteristics characterizes African cities?	['They found a place of promises and promises', 'Searching for jobs for rural dwellers', 'Three large shopping centers have been established', 'Construction equipment was delivered']	C	high_school_geography	B) Searching for jobs for rural dwellers	B
What nation faced a trade problem because of its location?	['The Republic of Singapore', 'Other countries', 'Spain', 'Mongolia']	D	high_school_geography	D) Mongolia	D
