question	choices	answer	subject	output	verbalized
Write 8 and 2 times 4 as an improper fraction in simple form.	['17 to 2', '34 out of 4', '4 out of 17', '2 out of 19']	A	elementary_mathematics	A) 17 to 2	A
What information could the 270,240 lights represent?	['200,000 more than 7,000 more than 200 more than 4', '200,000 more than 7,000 more than 200 more than 40', 'Two hundred thousand + seventy thousand + two hundred + forty', '200,000 and 70,000 and 2,000 and 40']	C	elementary_mathematics	C)000 more than 200 more than 4	C
It took a worker 7 hours to produce 22 sheets of straw. How many sheets could she produce in 35 hours?	['220 rooms', '770 rooms', 'four sections', '110 rooms']	D	elementary_mathematics	D)110 rooms	D
1, 3, 3 If the number 6 is added to the sequence, then	['the average would increase.', 'average would decrease.', 'by the media.', 'was reduced by the media.']	A	elementary_mathematics	A)the average would increase.	A
If n = 11, how much is 10  (n + 6)?	['-7 years', 'The 5th', 'The 7', 'The 27th']	A	elementary_mathematics	D) The 27th	D
Which of the following expressions represents the number p less than 3	['three-p', 'p+3', '3 and 4', 'p. 3']	D	elementary_mathematics	A) three-p	A
The theater collected $6 from each ticket sold for the movie. The theater sold 500 tickets for the movie. The following formula can be used to find out how much money the theater collected for each ticket. The 6 × 500 formula can also be used to find out how much money the theater collected for each ticket.	['30 times 10 to the first power', '30 times 10 to the third power', '(6 times 5) times 10 squared', '(6 times 5) times 10 to the third power']	C	elementary_mathematics	B)30 times 10 to the third power	B
Let's say 12 - 9 + c = 12. what value of c is true?	['and 0', 'The 3rd', '9 of 9', 'The 12th']	C	elementary_mathematics	B)The 3rd	B
The Sojourn family went on vacation. They started with $2000. If they spent $150 a day, what would represent how much money they had after x days?	['The 1850x', '2000 to 150x', 'one hundred fifty', '2000 to +150x']	B	elementary_mathematics	B) 2000 - 150x	B
The weight, in pounds, of each of the four books on the bag is 2.5, 3.2, 2.7, 2.3. Which balance represents the weight, w, of each book chosen by the player?	['w > 2.3', 'w < 2.4', 'w is greater than 3.2', 'w < 3.3']	D	elementary_mathematics	A)w > 2.3	A
What number has more than 5 digits?	['-6 years', '-5 years', 'and 0', 'The 5th']	A	elementary_mathematics	C)and 0	C
What is the value of 2 (three) (four squared plus one) minus 2 to the third?	['156 years old', '110 years old', '94 years old', '48 years']	C	elementary_mathematics	B)110 years old	B
1, 5, 9, 13. What would Gwen say in the next two sentences?	['15 and 17', 'What Does It Mean? 15, 19', '17th, 19th', '17 and 21']	D	elementary_mathematics	C) 19	C
If 3 pearls are $2.37, how many pearls can you buy for $9.48?	['the 3rd', 'the 12th', '36 cents', 'the 13th']	B	elementary_mathematics	B)the 12th	B
Scale from largest to smallest: 3, 3 and 1 over 8,3.8,3.18.	['3.18, 3 and 1 times 8, 3.8,3', '3,3 and 1 times 8, 3.18, 3', '3.8, 3 and 1 multiplied by 8, 3.18, 3', '3.8, 3.18, 3 and 1 times 8, 3']	D	elementary_mathematics	C)3.8	C
22 / 2 + 9 is equal to zero.	['10 and 11', 'The 11th', 'The 20th', 'The 2']	C	elementary_mathematics	A) 10 and 11	A
The population of a particular city is 836,527. What is the population of this city that is close to ten thousand?	['800,000 or so', 'three hundred and thirty thousand', 'eight hundred and thirty-six thousand', 'four hundred and eighty-four thousand']	D	elementary_mathematics	D)eight hundred and thirty-six thousand	D
Find the product of 5 • (−9).	['The 14th', '- 4', '45 years old', '- forty five']	D	elementary_mathematics	D) - forty five	D
Keiko spent the day observing birds, and in the morning she counted 34 more than in the afternoon - a total of 76. How many birds did she count in the afternoon?	['twenty one birds', 'about 40 birds', '42 species of birds', 'birds 84']	A	elementary_mathematics	C) 42 species of birds	C
How much is 5 + 2 • 15 + (12 • 4)?	['78 years old', '83 years old', 'What is it?', '153 year old']	B	elementary_mathematics	D)153 year old	D
What fraction can be represented by 20/8?	"['At one store, Lesley borrowed $20 and 8 cents. How is the amount written on an invoice?', ""Mr. Kramer's 8 grandchildren shared 20 biscuits equally. How many biscuits will each of their grandchildren get?"", 'Mitch purchased 20 containers of flowers from a local vegetable store, each container containing eight flowers.', 'How many booklets did Donna use to send out the invitations, and how many did she use to send out the invitations?']"	B	elementary_mathematics	C) Mr. Kramer's 8 grandchildren shared 20 biscuits equally. How many biscuits will each of their grandchildren get?	C
How far will the train travel if it travels at 20 miles per hour?	['120 miles', '80 miles', '26 miles', '12 miles']	A	elementary_mathematics	B)80 miles	B
Which equation describes how to find the value of a in 6a = 72?	['add 6 to each side', '6 on each side', 'multiply both sides by 6', 'reduced by 6 on both sides']	B	elementary_mathematics	D) reduced by 6 on both sides	D
Coach Wu has a total of 30 footballs. 9 of the footballs are white. The remaining footballs are one of three different colors (blue, red, or green). There are blue, red, and green balls that match each other. How many green balls does Coach Wu have?	['The 7', '10 and 11', 'The 21st', 'Thirty nine']	A	elementary_mathematics	A) 7	A
The temperature dropped to 11°F between 6 P.M. and 10 P.M. By 10 P.M. it was 84°F. Write the equation for finding the temperature at 6 P.M.	['84 − 11 = t; 73°F', 't − 84 = 11; 95°F', '84 − t = 11; 73°F', 't − 11 = 84; 95°F']	D	elementary_mathematics	D) t − 11 = 84; 95°F	D
Teresa had a bag of 72 marbles. She placed the marbles in groups of 9. What number tells us how to find the number of marbles Teresa placed in each group?	['72 divided by 9 is equal to 8', '72  9 = 63', '9 plus 72 is equal to 81.', '9 divided by 72 = 0.125']	A	elementary_mathematics	A)72 divided by 9 is equal to 8	A
Rob feeds his rabbit using 1 box of rabbit food in 5 days. How many boxes of rabbit food does he use per month?	['box 2', 'box 4', 'box 5', 'box 6']	D	elementary_mathematics	C)box 6	C
What is the sum of the fractions 4 and 10?	['The 14th', 'The 20th', '40 years', '60 years']	B	elementary_mathematics	A)The 14th	A
Find the result of 4 times 7 plus 2 times 7.	['6 out of 14', '8 out of 49', '14 out of 28', '6 out of 7']	D	elementary_mathematics	D) 6 out of 7	D
How many years are there in a decade?	['The 5th', '10 and 11', 'What is it?', 'The 20th']	B	elementary_mathematics	B)10 and 11	B
There are 31 days in the month of January. In that month, Michelle did more than 45 baths a day. Using the following formula, she found the number of baths she did in January. 31 × 45 How many baths did Michelle do in January?	['more than more than 125', 'more than enough 279', 'more than more than 1,395', 'more than more than 1,406']	C	elementary_mathematics	D) 395	D
Two whole numbers have at least 60 fractions, each less than or equal to 12. The greatest common divisor of two numbers is 2. What are these two numbers?	['6 and 10', '5 and 12', '10th and 12th', '12 and 15']	C	elementary_mathematics	A) 6 and 10	A
For x = 2, consider −2{\displaystyle x} to be equal to −3.	['- 4', '2nd', '10 and 11', 'The 2']	D	elementary_mathematics	A) -4	A
There are 230 calories in 4 ounces of ice cream. How many calories are in 6 ounces of ice cream?	['two hundred and thirty-two', '236 the', 'three hundred and forty-five', '460 years old']	C	elementary_mathematics	C)three hundred and forty-five	C
Calculate the sum of 711 and 497. what is the ratio between these numbers?	['50 and 400', '450 and 700', '750 and 1,000', '1,050 and 1,300']	D	elementary_mathematics	C) 750 and 1	C
Mr. Kohlberg owns a flower shop. At the beginning of the day, he had 152 flowers. After Mr. Kohlberg sold 96 flowers, they wanted to divide the remaining flowers among 8 flocks. How many flowers would each flower have in total?	['The 7', 'The 12th', '48 years', '56 years old']	A	elementary_mathematics	B)The 12th	B
32 x 68 Calculate the result between what numbers?	['18 and 28', '180 and 280', '1,800 and 2,800', '18,000 and 28,000']	C	elementary_mathematics	B)180 and 280	B
Write 77 characters. Use exponents as much as possible.	['7 • 11 to the 2nd power • 13', '7 squared • 11', '7 • 11 • 13', '7 to 11']	D	elementary_mathematics	A) 7 • 11 to the 2nd power • 13	A
Magazines cost $2.99 each, and books cost $6.99 each at the Old Town Newsstand. What is the total cost of 4 magazines and 3 books?	['from $20.93', '$28.93', '$32.93', '$48.93']	C	elementary_mathematics	B)$28.93	B
What would be the eighth such number? 20, 40, 60, 80, . . .	['160 years', '240 year old', '320 years old', '640 years old']	A	elementary_mathematics	B)240 year old	B
Write 7 minus 3 as a decimal.	['0.021 repeatedly', '0.21 repeatedly', '0.22 repeatedly', 'and 0.2121']	B	elementary_mathematics	B)0.21 repeatedly	B
Westview School is selling new basketball uniforms. $46 per uniform. The school will buy 12 uniforms. Which equation shows the way to calculate the total cost of the uniforms?	['(40 by 10) + (6 by 2) = 400 + 12', '(40 by 6) + (10 by 2) = 240 + 20', '(40 by 12) + (6 by 12) = 480 + 72', '(40 by 12) + (60 by 12) = 480 + 720']	C	elementary_mathematics	C)(40 by 12) + (6 by 12) = 480 + 72	C
Manuel bought a used car for six hundred and forty-nine dollars. How much did Manuel's used car cost according to the figures?	['$649 each', '$6,049', '$6,409 or more', '$6,490']	B	elementary_mathematics	A)$649	A
Micah ate a whole number of strawberries yesterday. He ate a whole number of apples yesterday. Which group would represent the strawberry, S, and the apple, A, that Micah ate yesterday?	['SSSSS; and AAA', 'The SSSSS; the AAAA', 'SSSSSSSS; or', 'SSSSSSSS; and A']	D	elementary_mathematics	A)SSSSS; and AAA	A
A plate of food costs $47/lb. How much is a 6-lb bag?	['$2.82 each', '$2.97 each', '$6.47 or more', '$12.77 each']	A	elementary_mathematics	D)$282.00 each	D
Write 60 divided by 72 in simple form	['4 out of 6', '10 out of 12', '15 out of 17', '5 out of 6']	D	elementary_mathematics	D)5 out of 6	D
Write the ratio of 2 cubes to 3 cubes as a fraction in simple form.	['2 out of 3', '2 out of 3', '2 out of 12', '1 out of 6']	D	elementary_mathematics	A) 2 out of 3	A
The Mills Library holds 1,007,199 books. The Springvale Library holds 907,082 books. Of the following, which is the best estimate of how many books the Mills Library holds over the Springvale Library?	['more than 100,000 books', 'more than 80,000 books', 'some 10,000 books', 'more than 8,000 books']	A	elementary_mathematics	A) more than 100,000 books	A
Pat bounces a basketball 25 times in 30 seconds. At that speed, how many times does Pat bounce the ball in 150 seconds?	['120 years old', '125 year old', 'The 144th', '145 year old']	B	elementary_mathematics	B)125 year old	B
Use the number line to find the value of −9 + (−8).	['-17 years', '1st year', '1 to 1', '17th']	A	elementary_mathematics	A) -17	A
In the complex equation y/4 = 8, what is the value of y?	['The 2', 'The 4th', 'The 12th', '32 years old']	D	elementary_mathematics	D) 32 years old	D
Write 4 and 4 divided by 5 as negative fractions.	['28 to 5', '4 out of 5', '24 divided by 5', '20 divided by 5']	C	elementary_mathematics	C) 24 divided by 5	C
The weight of the heavenly bodies is like the weight of the earthly bodies, but what is the difference between the weight of the heavenly bodies and the earthly bodies?	['m = 1/6 + e', 'm = e/6', 'm is equal to 6+e', 'm = 6e']	B	elementary_mathematics	B)m = e/6	B
8 + 8 divided by 2 + 2 =	['The 4th', 'The 8', '10 and 11', 'The 14th']	D	elementary_mathematics	D)The 14th	D
What value of y makes y + 2.9 = 11 true?	['What is it? 8.1', '8.9 years', '9.1 years', '13.9 years']	A	elementary_mathematics	A) 8.1	A
what is the angle of 40 degrees?	['50 degrees', '130°', '140 degrees', '220° north']	C	elementary_mathematics	B)130°	B
Carey ran the same distance in four different races. Her times were 18.04 seconds, 21.39 seconds, 12.99 seconds, and 14.14 seconds. If her personal time is rounded to the nearest one-tenth of a second, what is Carey's estimated total time for all four races?	['by 66.6 seconds', '66 and a half seconds', '66 seconds', 'of 65.5 seconds']	B	elementary_mathematics	A) 66.6 seconds	A
Divide 3 by 4* x = 24.	['18 and 19', '32 years old', '72 years', '96 year old']	B	elementary_mathematics	C)72 years	C
Find the correct answer: 110 + 70	['18 and 19', '81 years old', '180 years old', 'eight hundred and ten']	C	elementary_mathematics	C)180 years old	C
The beast has fifteen horns and sixty horns, but how many horns does the beast have?	['1:04 hours', 'What happened? 1:05', '4:01 hours', '4:05 What happened?']	A	elementary_mathematics	B)What happened? 1:05	B
What happens to the 36th and the 90th prime factors?	['The 6th', '18 and 19', 'Thirty six', '180 years old']	B	elementary_mathematics	B) 18 and 19	B
Find the value of 6 • 24 ÷ (8 − 5).	['48 years', '13 What Is It?', 'Thirteen', '54 years old']	A	elementary_mathematics	A)48 years	A
What will happen to the 42nd and 84th percentiles?	['The 7', 'The 21st', '42 years old', '84 years old']	C	elementary_mathematics	B)The 21st	B
Ms. Gutierrez wants to give her 32 students a massage. Each student will receive a massage measuring 5 feet 8 inches in length. What is the total massage length Ms. Gutierrez wants to give her?	['height 106 inches 8', 'height 154 inches 8', 'height 160 by 8 inches', 'height 181 inches 4']	D	elementary_mathematics	C)height 160 by 8 inches	C
In December, the toy store sold 934 toys. each toys cost $6 plus tax. how much was the total cost of toys sold plus tax?	['$5,434', '$5,484 for a year', '$5,604', '$5,684']	C	elementary_mathematics	A) $5	A
In degrees, what is 1/360 of a cubit?	['1st year', '90 years old', '180 years old', '360 years']	A	elementary_mathematics	A) 1 degree	A
Find a number that makes this statement true: 26.1 mm = _ dm.	['two hundred sixty one', '261 years', '2.61 years', 'two thousand six hundred ten']	A	elementary_mathematics	A) two hundred sixty one	A
Salad dressing is made from a mixture of 2 parts oil and 5 parts vinegar. How many ounces of olive oil is mixed with 9 ounces of vinegar?	['The 2', '3.6 years', '22.5 years', '63 year old']	C	elementary_mathematics	B) 3.6 years	B
What is the main obstacle to saving money?	['exchange of money', 'well-connected transportation facilities.', 'governmental activities', 'banking services']	B	high_school_geography	A) exchange of money	A
What is a trait that continues to develop long after the gene has been identified?	"['population growth is zero', 'accelerate the growth rate.', 'a flat surface. maintaining a stable equilibrium', ""the rate of change in a population's behavior""]"	D	high_school_geography	D)the rate of change in a population's behavior	D
What is the practice of shortening the distance for refugees?	['causes of death', 'attraction of reasons', 'shortcomings in long-distance relationships', 'his choice?']	C	high_school_geography	A) causes of death	A
Which zone contains low-income housing, ghettos, and general pollution in the Burgess mid-zone model of urban design?	['the first', 'the second', 'the third', 'the fourth']	A	high_school_geography	C)the third	C
WHICH of the following statements about women in the slave class are TRUE?	['Most women work in agriculture', 'Hundreds of women have been forced to work around the world.', 'Women make up less than half of the total labor force', 'Women work more hours per day than men in all regions except Anglo America and Australia']	D	high_school_geography	A) Most women work in agriculture	A
All but one of the following items may be considered to be immigrant items.	['peace of mind.', 'The weather is better.', 'The schools were improved.', 'overcrowded places.']	D	high_school_geography	A) peace of mind.	A
Which of the following is not a well-known example of a land border?	['Vietnamese', 'In the United States', 'Germany', 'What is Bolivia?']	D	high_school_geography	D) What is Bolivia?	D
Which of the following types of immigrant farmworkers have the greatest opportunity to practice during the year?	['a convicted refugee', 'cluster of refugees', 'arrival of refugees', 'international migration']	C	high_school_geography	D) international migration	D
Which of the following is the centrifugal force in a particular country?	['religious diversity', 'a national holiday', 'other civil wars', 'management of national interest']	A	high_school_geography	A) religious diversity	A
Which of the following lakes and rivers are best associated with primary and secondary populations?	['climate of the Mediterranean', 'a forest enclosure', 'increase in production', 'to find a trade route']	D	high_school_geography	D)to find a trade route	D
The first stage shows the structure of the population	['If we have a fixed speed, the speed must be variable.', 'continuous increase in mortality rate and decrease in life expectancy rate', 'a continuous increase in the rate of mortality with a decrease in the rate of ageing', 'decrease in maximum ageing rate decrease in death rate']	A	high_school_geography	C)continuous increase in mortality rate and decrease in life expectancy rate	C
What population statistics tell us that the fertility rate of the population is only enough to replace the family and compensate for premature death?	['the speed of birth', 'level of representation', 'the speed of death', 'the general rate of pregnancy']	B	high_school_geography	B) level of representation	B
What is the fastest-growing religion in the United States today?	['Islam and Islam', 'the Christian', 'Hinduism', 'Buddhism']	A	high_school_geography	A) Islam	A
What do you call a suburban station that serves the city center?	['area of the red line', 'the entrance door', 'degree of variation', 'the land behind the beach']	D	high_school_geography	A) area of the red line	A
a good translation of the local language	['in the central city and its surroundings.', 'the central city and its surroundings.', 'the central city and its lands beyond the coast', 'central city and neighbouring countries']	B	high_school_geography	B)the central city and its surroundings.	B
Which of the following was the first to develop?	['Buddhism', 'the Christian religion', 'Islam and Islam', 'Hinduism']	D	high_school_geography	D) Hinduism	D
Which of the following is not a characteristic of world cities?	"['Cities around the world are home to the headquarters of many multinational corporations.', ""The world's cities are well connected to the world's second largest cities."", 'Cities around the world are home to branches of multinational corporations.', 'Cities are found only in the northern and western hemispheres.']"	D	high_school_geography	D)Cities are found only in the northern and western hemispheres.	D
What kind of transportation system creates a star-filled city?	['Highways connecting cities to airports', 'Highways linking the countryside to the cities', 'a paved road in an urban area', 'vehicle spread from the road and trolley line of the CBD']	D	high_school_geography	A) Highways connecting cities to airports	A
In which of the following US cities would you expect to find a planned community?	['an ethnic minority in a poor section of the city', 'suburbs', 'CBDs', 'the transition zone']	B	high_school_geography	B) suburbs	B
What are latitude and longitude coordinates of a place?	['isolated area', 'the workplace', 'in the right place', 'location in relation to other places']	C	high_school_geography	D) location in relation to other places	D
What liberal churches in three or more countries are willing to give up some of their patriarchal values?	['nationalism', 'separation of powers', 'supreme nationalism', 'get involved']	C	high_school_geography	D) get involved	D
The main reason Thomas missed Malta was that he was not understood by the public.	"['Populations are limited by their means of subsistence.', 'all populations have the capacity to grow faster than the rate of natural increase.', 'War and famine restrict the reproductive capacity of the population.', ""to increase the earth's carrying capacity""]"	D	high_school_geography	A) Populations are limited by their means of subsistence.	A
What two religions make up the world's superlative religions?	['Islam and Judaism', 'Judaism and Buddhism', 'Hinduism and Buddhism', 'Christianity and Buddhism']	D	high_school_geography	A) Islam and Judaism	A
What urban model would cause high-rent housing districts to grow out of the city center so that low-rent residents on the main streets would move in an orderly fashion?	['Drawing a zone model', 'Model of the centerpiece', 'Model of city governments', 'sector model']	D	high_school_geography	D) sector model	D
What happens when a country mixes its religion with that of its government?	['the father of lies.', 'a kingdom of priests in the name of God or a god.', 'democratic government', 'kingdoms ruled by one man']	B	high_school_geography	B)a kingdom of priests in the name of God or a god.	B
What is the main religion practiced in Europe?	['the Christian religion', 'Islam and Islam', 'Hinduism', 'Animism']	A	high_school_geography	A) the Christian religion	A
What was the first successful group in the eastern United States?	['France', 'English, Scottish-Irish, Welsh, Scottish', 'The Russian Federation', 'China']	B	high_school_geography	B) English	B
A population pyramid, or age-sex structure, shows all of the following information about a country's population, which it does not.	['future needs of public expenditure', 'the impact of childbirth on society', 'the effect of war on people', 'rapidity of detection of different characteristics of the population of a country']	B	high_school_geography	A) future needs of public expenditure	A
What kind of border does the River Rhine represent?	['Geometrically', 'The Maker', 'The Natural World', 'The Restoration']	C	high_school_geography	C) The Natural World	C
Which economic activity is most closely related to the physical environment?	['The Beginning', 'The Second', 'The Third', 'The Fourth']	A	high_school_geography	C) The Third	C
What are some of the jobs that foreign workers may find themselves in?	['The Beginning', 'The Second', 'The Third', 'The Fourth']	A	high_school_geography	C)The Third	C
All but one of the following are unnecessary jobs in the city, so which one is it?	['a city firefighter', 'a social worker', 'a dry cleaning machine.', 'a factory worker.']	D	high_school_geography	B) a social worker	B
Companies in neighboring countries distribute their work	['production equipment in the main production facility.', 'Conduct accounting and auditing services in a representative capacity.', 'based on comparative advantages.', 'with the headquarters in LCD.']	C	high_school_geography	C) based on comparative advantages.	C
Which of the following has little to do with the development of alluvial soils?	"['Deep drainage of fragile materials', 'sovereignty of the weakest link', ""I'm going to go to the hospital"", 'kissing and deep kissing']"	D	high_school_geography	A) Deep drainage of fragile materials	A
Which of the following is NOT true of the natural resources needed by modern industry?	['In the United States', 'Japanese', 'France', 'In the United Kingdom']	B	high_school_geography	B) Japanese	B
The eastern part of the Alpine system and the plains of northern and central Europe are:	['the European maritime climate is limited to coastal areas', 'provides a communication corridor between southern and northern Europe', 'a sea-like climate allows it to spread eastward into Germany and Poland', 'effectively prevent the movement of populations between Mediterranean regions']	C	high_school_geography	B) provides a communication corridor between southern and northern Europe	B
The ruins of the largest Hindu temple still standing	['and Calcutta.', 'It is Bombay.', 'Cambodia. What is it?', 'The Balinese.']	C	high_school_geography	C)Cambodia.	C
What word best describes the forces that unite and strengthen a nation?	['Scattered', 'centrifugal force', 'The centroidal', 'He mediated between the nations']	C	high_school_geography	B)centrifugal force	B
Which of the following best describes the application of the S-curve?	['Graph of migration', 'Graph of human population growth since the first appearance on earth', 'Chart showing how cities are grouped by population', 'A model showing declining population growth after industrialization in many countries']	D	high_school_geography	B)Graph of human population growth since the first appearance on earth	B
Which of the following is not a government issue?	['transitional corporation', 'The EU', 'the world trade organization', 'a good transportation network']	D	high_school_geography	D)a good transportation network	D
National sports teams, flags, national anthems and national holidays all announced	['nationalism and racism.', 'religious intolerance.', 'political upheavals.', 'disputes at work.']	A	high_school_geography	A)nationalism and racism.	A
What is the process of adjusting to the customs, language, and culture of a new country?	['consistency.', 'changes in culture.', 'being balanced.', 'to be united.']	B	high_school_geography	B) changes in culture.	B
Which of the following will show the true distance, the true direction, the true elevation, and the true elevation?	['The Mercator projection', 'The globe', 'Conic projection', 'Gnomonic projection']	B	high_school_geography	B) The globe	B
Which of the following can be considered a middle ground?	['Winn-Dixie food and beverage store', 'In front of the Mercedes-Benz store', 'A House of My Own', 'family physician']	B	high_school_geography	C) A House of My Own	C
What did the wise man see in the US urban society of the 1920s as a cluster of gangs centered on the outskirts of the center?	['The Rostov', 'by Ravenstein', 'Von Tune was a', 'Bargees']	D	high_school_geography	B) by Ravenstein	B
WE ALL use it as our guide when we go to school in the morning.	"['The Atlas of the Rand-McNally Road.', ""the earth's globe."", 'a road map.', 'a map of the mind.']"	D	high_school_geography	C)a road map.	C
Which of these maps was the smallest in scale?	['of the world.', 'Located in Atlanta, Georgia.', 'Main Street, in the small town of Ohio', 'Pennsylvania. What is your name?']	A	high_school_geography	A) of the world.	A
What is the boundary created without prior geographical knowledge and careful mapping?	['limitations of the past.', 'the boundaries of geometry.', 'but the unlimited ones are still on the ground.', 'the next boundary.']	A	high_school_geography	A) limitations of the past.	A
Which of the following is common in part-time employment?	['Software engineer', 'assembly line worker pickup truck f-10', 'An oil refinery worker', 'A worker at a parking lot']	D	high_school_geography	D) A worker at a parking lot	D
Which of the following areas represents a major commercial development?	['mountainous area of Switzerland', 'the headwaters of the Amazon River', 'North Africa', 'a land without trees']	B	high_school_geography	C) North Africa	C
What is strictly non-religious?	['secularism.', 'lack of faith.', 'lack of respect for a sacred place or practice.', 'nationalism and racism.']	A	high_school_geography	A)secularism.	A
