subject	question	choices	answer	command_r+	prompt	verbalized
elementary_mathematics	Jimmy na Kima wanaenda safarini. Wataendesha gari kwa siku tatu. Siku ya kwanza wataendesha maili 182. Siku ya pili wataendesha maili 439. Siku ya tatu wataendesha maili 217. Ni usemi gani unaokaribia kukadiria umbali ambao Jimmy na Kima wataendesha gari katika safari yao?	['150 + 400 + 200', '200 + 400 + 200', '200 + 450 + 200', '200 + 500 + 200']	C	C)200 + 450 + 200	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Jimmy na Kima wanaenda safarini. Wataendesha gari kwa siku tatu. Siku ya kwanza wataendesha maili 182. Siku ya pili wataendesha maili 439. Siku ya tatu wataendesha maili 217. Ni usemi gani unaokaribia kukadiria umbali ambao Jimmy na Kima wataendesha gari katika safari yao?
 A)150 + 400 + 200 B)200 + 400 + 200 C)200 + 450 + 200 D)200 + 500 + 200"	C
elementary_mathematics	Nini salio la 21 kugawanywa na 7?	[21, 7, 1, 'Hakuna hata moja kati ya hizi']	D	C)1	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Nini salio la 21 kugawanywa na 7?
 A)21 B)7 C)1 D)Hakuna hata moja kati ya hizi"	C
elementary_mathematics	Maddie ataendesha baiskeli yake jumla ya maili 56 kwa siku 7. Ataendesha idadi hii hii ya maili kila siku. Je, Maddie ataendesha baiskeli maili ngapi kila siku?	[8, 9, 49, 63]	A	A)8	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Maddie ataendesha baiskeli yake jumla ya maili 56 kwa siku 7. Ataendesha idadi hii hii ya maili kila siku. Je, Maddie ataendesha baiskeli maili ngapi kila siku?
 A)8 B)9 C)49 D)63"	A
elementary_mathematics	Tafuta nambari inayofanya 48 juu ya 88 = ? juu ya 11 kuwa taarifa ya kweli.	[6, 11, 8, 5]	A	B)11	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Tafuta nambari inayofanya 48 juu ya 88 = ? juu ya 11 kuwa taarifa ya kweli.
 A)6 B)11 C)8 D)5"	B
elementary_mathematics	Ni ununuzi gani bora zaidi?	['baa 10 za sabuni kwa $23.20', 'baa 16 za sabuni kwa $36.48', 'baa 13 za sabuni kwa $29.50', 'baa 12 za sabuni kwa $27.60']	C	B)baa 16 za sabuni kwa $36.48	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ni ununuzi gani bora zaidi?
 A)baa 10 za sabuni kwa $23.20 B)baa 16 za sabuni kwa $36.48 C)baa 13 za sabuni kwa $29.50 D)baa 12 za sabuni kwa $27.60"	B
elementary_mathematics	Mpigo wa moyo wa Trish anapokuwa katika hali ya kupumzika ni mapigo 50 kwa dakika. Kwa kila dakika ya kufanya mazoezi, mpigo wa moyo wake huongezeka mara 5 kwa dakika. Itachukua muda gani ili moyo wake upige mara 120 kwa dakika?	['dakika 5', 'dakika 14', 'dakika 34', 'dakika 70']	B	Dakika 34	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Mpigo wa moyo wa Trish anapokuwa katika hali ya kupumzika ni mapigo 50 kwa dakika. Kwa kila dakika ya kufanya mazoezi, mpigo wa moyo wake huongezeka mara 5 kwa dakika. Itachukua muda gani ili moyo wake upige mara 120 kwa dakika?
 A)dakika 5 B)dakika 14 C)dakika 34 D)dakika 70"	unknown
elementary_mathematics	Tafuta nambari ya katikati katika seti ifuatayo ya data 23, 13, 18, 29, 32, 25.	[18, 24, 25, 29]	B	B)24	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Tafuta nambari ya katikati katika seti ifuatayo ya data 23, 13, 18, 29, 32, 25.
 A)18 B)24 C)25 D)29"	B
elementary_mathematics	Jack anachukua matufaha 60 kutoka kwa mti wa matufaha. Anatumia 12 kati ya hayo matufaha kutengeneza mchuzi wa tufaha. Anaweka matufaha yaliyobaki kwa usawa katika vikapu 6 vya zawadi. Ni mlinganyo gani unaweza kutumika kubainisha idadi ya matufaha, a, ambayo Jack anaweka kwenye kila kikapu cha zawadi?	['(60/6)—12=a', '(60—12)/6=a', '(60-6)-12=a', '(60+12)/6=a']	B	C	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Jack anachukua matufaha 60 kutoka kwa mti wa matufaha. Anatumia 12 kati ya hayo matufaha kutengeneza mchuzi wa tufaha. Anaweka matufaha yaliyobaki kwa usawa katika vikapu 6 vya zawadi. Ni mlinganyo gani unaweza kutumika kubainisha idadi ya matufaha, a, ambayo Jack anaweka kwenye kila kikapu cha zawadi?
 A)(60/6)—12=a B)(60—12)/6=a C)(60-6)-12=a D)(60+12)/6=a"	C
elementary_mathematics	Ramani fulani hutumia kipimo cha inchi 1 sawa na maili 25. Ni maili ngapi zinawakilishwa na inchi 5 kwenye ramani hii?	[5, 25, 50, 125]	D	125	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ramani fulani hutumia kipimo cha inchi 1 sawa na maili 25. Ni maili ngapi zinawakilishwa na inchi 5 kwenye ramani hii?
 A)5 B)25 C)50 D)125"	A
elementary_mathematics	Rahisisha (2 + 5)^2 − 42.	[7, 16, 30, 33]	A	C)30	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Rahisisha (2 + 5)^2 − 42.
 A)7 B)16 C)30 D)33"	C
elementary_mathematics	Tafuta thamana ya 4 ÷ 2 • 2 + 8 − 4.	[-12, 12, 8, 16]	C	C)8	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Tafuta thamana ya 4 ÷ 2 • 2 + 8 − 4.
 A)-12 B)12 C)8 D)16"	C
elementary_mathematics	Mkufunzi mmoja alikata hesabu ya wakimbiaji kwenye mashindano ya mbio hadi karibu 10. Idadi ya wakimbiaji iliyofupishwa ni 400. Ni nambari gani inayoweza kuwa idadi halisi ya wakimbiaji katika shindano la mbio za riadha?	[382, 397, 406, 447]	B	447	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Mkufunzi mmoja alikata hesabu ya wakimbiaji kwenye mashindano ya mbio hadi karibu 10. Idadi ya wakimbiaji iliyofupishwa ni 400. Ni nambari gani inayoweza kuwa idadi halisi ya wakimbiaji katika shindano la mbio za riadha?
 A)382 B)397 C)406 D)447"	D
elementary_mathematics	−4 +  ( −3 )=	[-7, -1, 1, 7]	A	A) -7	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: −4 +  ( −3 )=
 A)-7 B)-1 C)1 D)7"	A
elementary_mathematics	Mark ina mkusanyiko wa stempu. Ana stempu 22 kutoka Japani, 34 kutoka Kanada, na 17 kutoka Mexico. Ana mihuri stempu kwa jumla?	[53, 63, 73, 83]	C	C)73	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Mark ina mkusanyiko wa stempu. Ana stempu 22 kutoka Japani, 34 kutoka Kanada, na 17 kutoka Mexico. Ana mihuri stempu kwa jumla?
 A)53 B)63 C)73 D)83"	C
elementary_mathematics	Tambua suluhisho la mlinganyo x + 2.7 = 8.4 kutoka kwa nambari zilizotolewa.	[11.1, 5.7, 3.7, 22.68]	B	C)3.7	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Tambua suluhisho la mlinganyo x + 2.7 = 8.4 kutoka kwa nambari zilizotolewa.
 A)11.1 B)5.7 C)3.7 D)22.68"	C
elementary_mathematics	Tafuta nambari inayofanya taarifa hii kuwa ya kweli: 0.32 g = _ cg.	[32, 3.2, 3200, 320]	A	C)3200	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Tafuta nambari inayofanya taarifa hii kuwa ya kweli: 0.32 g = _ cg.
 A)32 B)3.2 C)3200 D)320"	C
elementary_mathematics	Pata suluhisho la 5.7(8) kiakili kwa kutumia mbinu ya Mali ya Usambazaji.	[46.4, 456, 4.56, 45.6]	D	45.6	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Pata suluhisho la 5.7(8) kiakili kwa kutumia mbinu ya Mali ya Usambazaji.
 A)46.4 B)456 C)4.56 D)45.6"	D
elementary_mathematics	Ni nini uwiano kwa usemi huu 2,314 / 4?	[508, '508 r2', 578, '578 r2']	D	B)508 r2	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ni nini uwiano kwa usemi huu 2,314 / 4?
 A)508 B)508 r2 C)578 D)578 r2"	B
elementary_mathematics	Rosa ana lengo la kukimbia jumla ya maili 100 mwezi huu. Kila siku alipokimbia, alikimbia maili 5. Je, Rosa anaweza kutumia usemi gani kubainisha ni maili ngapi amesalia kukimbia baada ya kukimbia kwa siku d?	['100 — 5d', '5d+ 100', '100 / 5d', '5d']	A	A)100 — 5d	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Rosa ana lengo la kukimbia jumla ya maili 100 mwezi huu. Kila siku alipokimbia, alikimbia maili 5. Je, Rosa anaweza kutumia usemi gani kubainisha ni maili ngapi amesalia kukimbia baada ya kukimbia kwa siku d?
 A)100 — 5d B)5d+ 100 C)100 / 5d D)5d"	A
elementary_mathematics	Tambua usemi wa aljebra unaolingana na kishazi cha maneno: mara 4 ya makopo mengi kama Tom alivyokusanya.	['4t', 't juu ya 4', 't − 4', 't + 4']	A	D)t + 4	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Tambua usemi wa aljebra unaolingana na kishazi cha maneno: mara 4 ya makopo mengi kama Tom alivyokusanya.
 A)4t B)t juu ya 4 C)t − 4 D)t + 4"	D
elementary_mathematics	Andrew aliandika nambari 186,425 kwenye ubao. Katika nambari gani thamana ya nambari 6 ni sawa na mara 10 ya thamana ya nambari 6 katika nambari Andrew aliandika?	[681452, 462017, 246412, 125655]	B	125655	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Andrew aliandika nambari 186,425 kwenye ubao. Katika nambari gani thamana ya nambari 6 ni sawa na mara 10 ya thamana ya nambari 6 katika nambari Andrew aliandika?
 A)681452 B)462017 C)246412 D)125655"	D
elementary_mathematics	123 /8 ni nini?	['15 na salio la 7', '15 na salio la 3', '16 na salio la 5', '16 na salio la 1']	B	B)15 na salio la 3	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: 123 /8 ni nini?
 A)15 na salio la 7 B)15 na salio la 3 C)16 na salio la 5 D)16 na salio la 1"	B
elementary_mathematics	Andika 8 na 2 juu ya 4 kama akisami ambayo nambari ya juu ni kubwa kuliko ya chini ,kwa njia rahisi zaidi.	['17 juu ya 2', '34 juu ya 4', '17 juu ya 4', '19 juu ya 2']	A	C)17 juu ya 4	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Andika 8 na 2 juu ya 4 kama akisami ambayo nambari ya juu ni kubwa kuliko ya chini ,kwa njia rahisi zaidi.
 A)17 juu ya 2 B)34 juu ya 4 C)17 juu ya 4 D)19 juu ya 2"	C
elementary_mathematics	Ni usemi gani unaweza kutumika kuonyesha 270,240 ikiandikwa kwa njia iliyopanuliwa?	['200,000 + 7,000 + 200 + 4', '200,000 + 7,000 + 200 + 40', '200,000 + 70,000 + 200 + 40', '200,000 + 70,000 + 2,000 + 40']	C	D)200	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ni usemi gani unaweza kutumika kuonyesha 270,240 ikiandikwa kwa njia iliyopanuliwa?
 A)200 B)000 + 7 C)000 + 200 + 4 D)200"	D
elementary_mathematics	Mfanyakazi kwenye mstari wa kusanyiko huchukua muda wa saa 7 kutengeneza sehemu 22. Kwa mwendo huo, anaweza kutengeneza sehemu ngapi katika muda wa saa 35?	['sehemu 220', 'sehemu 770', 'sehemu 4', 'sehemu 110']	D	sehemu 770	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Mfanyakazi kwenye mstari wa kusanyiko huchukua muda wa saa 7 kutengeneza sehemu 22. Kwa mwendo huo, anaweza kutengeneza sehemu ngapi katika muda wa saa 35?
 A)sehemu 220 B)sehemu 770 C)sehemu 4 D)sehemu 110"	B
elementary_mathematics	Abe alipata idadi ya wastani na nambari ya katikati kwa orodha hii. 1, 3, 3 Ikiwa nambari 6 iliongezwa kwenye orodha, basi	['idadi ya wastani ingeongezeka', 'idadi ya wastani ingepungua', 'nambari ya katikati ingeongezeka', 'nambari ya katikati ingeongezeka']	A	D)nambari ya katikati ingeongezeka	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Abe alipata idadi ya wastani na nambari ya katikati kwa orodha hii. 1, 3, 3 Ikiwa nambari 6 iliongezwa kwenye orodha, basi
 A)idadi ya wastani ingeongezeka B)idadi ya wastani ingepungua C)nambari ya katikati ingeongezeka D)nambari ya katikati ingeongezeka"	D
elementary_mathematics	Wakati n = 11, ni nini thamana ya 10 – (n + 6)?	[-7, 5, 7, 27]	A	C)7	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Wakati n = 11, ni nini thamana ya 10 – (n + 6)?
 A)-7 B)5 C)7 D)27"	C
elementary_mathematics	Usemi gani unawakilisha kifungu hapa chini? 3 ni chache kuliko nambari, p	['3-p', 'p+3', '3/p', 'p-3']	D	D)p-3	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Usemi gani unawakilisha kifungu hapa chini? 3 ni chache kuliko nambari, p
 A)3-p B)p+3 C)3/p D)p-3"	D
elementary_mathematics	Jumba la sinema lilikusanya $6 kwa kila tikiti inayouzwa kwa filamu. Jumba hili liliuza tikiti 500 kwa sinema. Usemi ulio hapa chini unaweza kutumiwa kupata kiasi cha fedha ambacho jumba la sinema lilikusanya kwa ajili ya tiketi. 6 × 500 Usemi gani unaweza pia kutumika kupata pesa ngapi jumba la sinema lilikusanya kwa tikiti?	['30 × 10^1', '30 × 10^3', '(6 × 5) × 10^2', '(6 × 5) × 10^3']	C	C) (6 × 5) × 10^2	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Jumba la sinema lilikusanya $6 kwa kila tikiti inayouzwa kwa filamu. Jumba hili liliuza tikiti 500 kwa sinema. Usemi ulio hapa chini unaweza kutumiwa kupata kiasi cha fedha ambacho jumba la sinema lilikusanya kwa ajili ya tiketi. 6 × 500 Usemi gani unaweza pia kutumika kupata pesa ngapi jumba la sinema lilikusanya kwa tikiti?
 A)30 × 10^1 B)30 × 10^3 C)(6 × 5) × 10^2 D)(6 × 5) × 10^3"	C
elementary_mathematics	Kama 12-9 + c = 12. Ni thamana gani ya c inayofanya mlinganyo huo uwe wa kweli?	[0, 3, 9, 12]	C	C)9	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Kama 12-9 + c = 12. Ni thamana gani ya c inayofanya mlinganyo huo uwe wa kweli?
 A)0 B)3 C)9 D)12"	C
elementary_mathematics	Familia ya Sojourn ilienda likizo. Walianza na $2000. Ikiwa walitumia $150 kila siku, ni usemi gani unaowakilisha pesa walizokuwa nazo baada ya siku x?	['1850x', '2000 −150x', '150x', '2000 +150x']	B	B)2000 −150x	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Familia ya Sojourn ilienda likizo. Walianza na $2000. Ikiwa walitumia $150 kila siku, ni usemi gani unaowakilisha pesa walizokuwa nazo baada ya siku x?
 A)1850x B)2000 −150x C)150x D)2000 +150x"	B
elementary_mathematics	Rafu moja ina vitabu vinne. Uzito, katika paundi, wa kila moja ya vitabu hivyo vinne kwenye rafu ni 2.5, 3.2, 2.7, 2.3 Ni hali gani ya ukosefu wa usawa inawakilisha uzito, w, wa kitabu chochote kilichochaguliwa kutoka kwenye rafu?	['w > 2.3', 'w < 2.4', 'w > 3.2', 'w < 3.3']	D	D)w < 3.3	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Rafu moja ina vitabu vinne. Uzito, katika paundi, wa kila moja ya vitabu hivyo vinne kwenye rafu ni 2.5, 3.2, 2.7, 2.3 Ni hali gani ya ukosefu wa usawa inawakilisha uzito, w, wa kitabu chochote kilichochaguliwa kutoka kwenye rafu?
 A)w > 2.3 B)w < 2.4 C)w > 3.2 D)w < 3.3"	D
elementary_mathematics	Nambari gani ina thamana kubwa kamili kuliko 5?	[-6, -5, 0, 5]	A	-6	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Nambari gani ina thamana kubwa kamili kuliko 5?
 A)-6 B)-5 C)0 D)5"	A
elementary_mathematics	Thamana ya usemi huu ni gani 2(3(4^2 + 1)) - 2^3?	[156, 110, 94, 48]	C	B)110	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Thamana ya usemi huu ni gani 2(3(4^2 + 1)) - 2^3?
 A)156 B)110 C)94 D)48"	B
elementary_mathematics	Gwen aliandika mtindo huu wa nambari kwenye kipande cha karatasi. 1, 5, 9, 13 Je, ni nambari gani mbili zinazofuata katika mtindo wa Gwen?	['15, 17', '15, 19', '17, 19', '17, 21']	D	B)17	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Gwen aliandika mtindo huu wa nambari kwenye kipande cha karatasi. 1, 5, 9, 13 Je, ni nambari gani mbili zinazofuata katika mtindo wa Gwen?
 A)15 B)17 C)15 D)19"	B
elementary_mathematics	Ikiwa makopo 3 ya matunda ya pea yanagharimu $2.37 ni makopo mangapi ya pea unaweza kununua kwa $9.48?	['makopo 3', 'makopo 12', 'makopo 36', 'makopo 13']	B	C)makopo 36	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ikiwa makopo 3 ya matunda ya pea yanagharimu $2.37 ni makopo mangapi ya pea unaweza kununua kwa $9.48?
 A)makopo 3 B)makopo 12 C)makopo 36 D)makopo 13"	C
elementary_mathematics	Orodhesha kutoka kubwa hadi ndogo: 3, 3 na 1 juu ya 8,3.8,3.18.	['3.18, 3 na 1 juu ya 8, 3.8,3', '3,3 na 1 juu ya 8, 3.18, 3', '3.8, 3 na 1 juu ya 8, 3.18, 3', '3.8, 3.18, 3 na 1 juu ya 8, 3']	D	A)3.18	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Orodhesha kutoka kubwa hadi ndogo: 3, 3 na 1 juu ya 8,3.8,3.18.
 A)3.18 B)3 na 1 juu ya 8 C)3.8 D)3"	A
elementary_mathematics	Hesabu 22 / 2 + 9.	[10, 11, 20, 2]	C	B)11	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Hesabu 22 / 2 + 9.
 A)10 B)11 C)20 D)2"	B
elementary_mathematics	Idadi ya wakazi wa jiji fulani ni 836,527. Je, Idadi ya wakazi wa mji huu itakuwa ngapi ikiwa itafupishwa hadi karibu elfu kumi?	[800000, 830000, 836000, 840000]	D	C)836000	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Idadi ya wakazi wa jiji fulani ni 836,527. Je, Idadi ya wakazi wa mji huu itakuwa ngapi ikiwa itafupishwa hadi karibu elfu kumi?
 A)800000 B)830000 C)836000 D)840000"	C
elementary_mathematics	Pata suluhisho la 5 • (−9).	[14, -4, 45, -45]	D	D) -45	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Pata suluhisho la 5 • (−9).
 A)14 B)-4 C)45 D)-45"	D
elementary_mathematics	Keiko alitumia siku nzima kutazama ndege na alihesabu ndege 34 zaidi asubuhi kuliko alasiri. Ikiwa alihesabu jumla ya ndege 76, alihesabu ndege wangapi mchana?	['ndege 21', 'ndege 40', 'ndege 42', 'ndege 84']	A	C)ndege 42	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Keiko alitumia siku nzima kutazama ndege na alihesabu ndege 34 zaidi asubuhi kuliko alasiri. Ikiwa alihesabu jumla ya ndege 76, alihesabu ndege wangapi mchana?
 A)ndege 21 B)ndege 40 C)ndege 42 D)ndege 84"	C
elementary_mathematics	Ni nini thamana ya 5 + 2 • 15 + (12 • 4)?	[78, 83, 131, 153]	B	C)131	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ni nini thamana ya 5 + 2 • 15 + (12 • 4)?
 A)78 B)83 C)131 D)153"	C
