question	choices	answer	subject	command_r+	prompt	verbalized
Jimmy le Kima ba nka leeto. Ba tla kganna matsatsi a mararo. Letsatsi la pele ba tla kganna dikhilomitara tse 182. Letsatsi la bobedi ba tla kganna dikhilomitara tse 439. Letsatsi la boraro ba tla kganna dikhilomitara tse 217. Ke mohopolo ofe o atametseng kakanyo ya hore ke dikhilomitara tse kae tseo Jimmy le Kima ba tla di kganna leetong?	['150 + 400 + 200', '200 + 400 + 200', '200 + 450 + 200', '200 + 500 + 200']	C	elementary_mathematics	C)200 + 450 + 200	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Jimmy le Kima ba nka leeto. Ba tla kganna matsatsi a mararo. Letsatsi la pele ba tla kganna dikhilomitara tse 182. Letsatsi la bobedi ba tla kganna dikhilomitara tse 439. Letsatsi la boraro ba tla kganna dikhilomitara tse 217. Ke mohopolo ofe o atametseng kakanyo ya hore ke dikhilomitara tse kae tseo Jimmy le Kima ba tla di kganna leetong?
 A)150 + 400 + 200 B)200 + 400 + 200 C)200 + 450 + 200 D)200 + 500 + 200"	C
Ho sala bokae ho 21 ha o e arola ka 7?	['21', '7', '1', 'Letho ho tsona']	D	elementary_mathematics	D)Letho ho tsona	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ho sala bokae ho 21 ha o e arola ka 7?
 A)21 B)7 C)1 D)Letho ho tsona"	D
Maddie o tla palama baesekele ya hae dikhilomitara tse 56 ka matsatsi a 7. O tla palama palo e lekanang ya dikhilomitara letsatsi le letsatsi. Ke palo e kae kaofela eo Maddie a tla e palama letsatsi le letsatsi? 	['8', '9', '49', '63']	A	elementary_mathematics	B)9	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Maddie o tla palama baesekele ya hae dikhilomitara tse 56 ka matsatsi a 7. O tla palama palo e lekanang ya dikhilomitara letsatsi le letsatsi. Ke palo e kae kaofela eo Maddie a tla e palama letsatsi le letsatsi? 
 A)8 B)9 C)49 D)63"	B
Fumana palo e etsang polelo 48 hodima 88 = ? hodima 11 nnete.	['6', '11', '8', '5']	A	elementary_mathematics	B)11	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Fumana palo e etsang polelo 48 hodima 88 = ? hodima 11 nnete.
 A)6 B)11 C)8 D)5"	B
Ke theko efe e molemo ka ho fetisisa?	['Ditene tse 10 tsa sesepa ka R23.20', 'Ditene tse 16 tsa sesepa ka R36.48', 'Ditene tse 13 tsa sesepa ka R29.51', 'Ditene tse 12 tsa sesepa ka R27.60']	C	elementary_mathematics	C)Ditene tse 13 tsa sesepa ka R29.51	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ke theko efe e molemo ka ho fetisisa?
 A)Ditene tse 10 tsa sesepa ka R23.20 B)Ditene tse 16 tsa sesepa ka R36.48 C)Ditene tse 13 tsa sesepa ka R29.51 D)Ditene tse 12 tsa sesepa ka R27.60"	C
Ho otla ha pelo ya Trish ke 50 ka motsotso. Bakeng sa motsotso o mong le o mong a ikwetlisa, reiti ya pelo ya hae e nyoloha ka medumo e 5 ka motsotso. Ho tla mo nka nako e kae ho fihlella reiti ya pelo ya medumo e 120 ka motsotso?	['Metsotso e 5', 'Metsotso e 14', 'Metsotso e 34', 'Metsotso e 70']	B	elementary_mathematics	C)Metsotso e 34	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ho otla ha pelo ya Trish ke 50 ka motsotso. Bakeng sa motsotso o mong le o mong a ikwetlisa, reiti ya pelo ya hae e nyoloha ka medumo e 5 ka motsotso. Ho tla mo nka nako e kae ho fihlella reiti ya pelo ya medumo e 120 ka motsotso?
 A)Metsotso e 5 B)Metsotso e 14 C)Metsotso e 34 D)Metsotso e 70"	C
Fumana median seteng ya data 23, 13, 18, 29, 32, 25	['18', '24', '25', '29']	B	elementary_mathematics	B)24	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Fumana median seteng ya data 23, 13, 18, 29, 32, 25
 A)18 B)24 C)25 D)29"	B
Jack o kga diapole tse 60 sefateng sa diapole. O sebedisa tse 12 ho etsa souso ya apole. O kenya diapole tse setseng ka ho lekana kahara mmanki wa dimpho. Ke equation efe e ka sebediswang ho tseba palo ya diapole, a, tseo Jack a di kentseng ka mmanking wa dimpho?	['(60/6)-12=a', '(60-12)/6=a', '(60-6)-12=a', '(60+12)/6=a']	B	elementary_mathematics	C	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Jack o kga diapole tse 60 sefateng sa diapole. O sebedisa tse 12 ho etsa souso ya apole. O kenya diapole tse setseng ka ho lekana kahara mmanki wa dimpho. Ke equation efe e ka sebediswang ho tseba palo ya diapole, a, tseo Jack a di kentseng ka mmanking wa dimpho?
 A)(60/6)-12=a B)(60-12)/6=a C)(60-6)-12=a D)(60+12)/6=a"	C
Mmapa o itseng o sebedisa sekala sa senthimitara e 1 ho lekana le dikhilomitara tse 25. Ke dikhilomitara tse kae tse emelwang ke disenthimitara tse 5 mmapeng ona?	['5', '25', '50', '125']	D	elementary_mathematics	D)125	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Mmapa o itseng o sebedisa sekala sa senthimitara e 1 ho lekana le dikhilomitara tse 25. Ke dikhilomitara tse kae tse emelwang ke disenthimitara tse 5 mmapeng ona?
 A)5 B)25 C)50 D)125"	D
Bebofatsa (2 + 5)^2 − 42.	['7', '16', '30', '33']	A	elementary_mathematics	D)33	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Bebofatsa (2 + 5)^2 − 42.
 A)7 B)16 C)30 D)33"	D
Fumana boleng ba 4 ÷ 2 • 2 + 8 - 4.	['-12', '12', '8', '16']	C	elementary_mathematics	C)8	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Fumana boleng ba 4 ÷ 2 • 2 + 8 - 4.
 A)-12 B)12 C)8 D)16"	C
Mokwetlisi o raontile palo ya dimathi lebaleng la ho matha ho haufi le 10. Palo ya dimathi e raontuweng ke 400. Ke palo efe e ka bang palo ya nnete ya dimathi lebaleng la ho matha?	['382', '397', '406', '447']	B	elementary_mathematics	A)382	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Mokwetlisi o raontile palo ya dimathi lebaleng la ho matha ho haufi le 10. Palo ya dimathi e raontuweng ke 400. Ke palo efe e ka bang palo ya nnete ya dimathi lebaleng la ho matha?
 A)382 B)397 C)406 D)447"	A
-4 + (-3) =	['-7', '-1', '1', '7']	A	elementary_mathematics	A) -7	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: -4 + (-3) =
 A)-7 B)-1 C)1 D)7"	A
Mark o na le pokello ya ditempe. O na le ditempe tse 22 ho tswa Japan, 34 ho tswa Canada, le 17 ho tswa Mexico. Ke ditempe tse kae tseo a nang le tsona kaofela?	['53', '63', '73', '83']	C	elementary_mathematics	C)73	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Mark o na le pokello ya ditempe. O na le ditempe tse 22 ho tswa Japan, 34 ho tswa Canada, le 17 ho tswa Mexico. Ke ditempe tse kae tseo a nang le tsona kaofela?
 A)53 B)63 C)73 D)83"	C
Hlwaya tharollo bakeng sa equation x + 2.7 = 8.4 ho tswa ho palo e fuweng.	['11.1', '5.7', '3.7', '22.68']	B	elementary_mathematics	C)3.7	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Hlwaya tharollo bakeng sa equation x + 2.7 = 8.4 ho tswa ho palo e fuweng.
 A)11.1 B)5.7 C)3.7 D)22.68"	C
Fumana palo e etsang polelo e be nnete: 0.32 g = _cg.	['32', '3.2', '3,200', '320']	A	elementary_mathematics	C)3	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Fumana palo e etsang polelo e be nnete: 0.32 g = _cg.
 A)32 B)3.2 C)3 D)200"	C
Fumana sehlahiswa sa 5.7(8) ka kelellong o sebedisa Distributive Property.	['46.4', '456', '4.56', '45.6']	D	elementary_mathematics	D)45.6	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Fumana sehlahiswa sa 5.7(8) ka kelellong o sebedisa Distributive Property.
 A)46.4 B)456 C)4.56 D)45.6"	D
Quotient ke eng ho mohopolo 2,314 / 4?	['508', '508r2', '578', '578r2']	D	elementary_mathematics	B)508r2	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Quotient ke eng ho mohopolo 2,314 / 4?
 A)508 B)508r2 C)578 D)578r2"	B
Rosa o na le sepheo sa ho matha dikhilomitara tse 100 kaofela kgweding ena. Letsatsi le leng le le leng ha a mathile, o mathile dikhilomitara tse 5. Ke mohopolo ofe oo Rosa a ka o sebedisang ho bolela hore ke dikhilomitara tse kae tseo a salletsweng ke tsona kamora ho matha bakeng sa matsatsi a d.	['100 - 5d', '5d + 100', '100 / 5d', '5d']	A	elementary_mathematics	A)100 - 5d	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Rosa o na le sepheo sa ho matha dikhilomitara tse 100 kaofela kgweding ena. Letsatsi le leng le le leng ha a mathile, o mathile dikhilomitara tse 5. Ke mohopolo ofe oo Rosa a ka o sebedisang ho bolela hore ke dikhilomitara tse kae tseo a salletsweng ke tsona kamora ho matha bakeng sa matsatsi a d.
 A)100 - 5d B)5d + 100 C)100 / 5d D)5d"	A
Hlwaya mohopolo wa algebra o nyalanang le polelwana e reng: 4 ha o atisa ka bongata ba seo Tom a se kolekileng.	['4t', 't hodima 4', 't - 4', 't + 4']	A	elementary_mathematics	D)t + 4	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Hlwaya mohopolo wa algebra o nyalanang le polelwana e reng: 4 ha o atisa ka bongata ba seo Tom a se kolekileng.
 A)4t B)t hodima 4 C)t - 4 D)t + 4"	D
Andrew o ngotse palo 186,425 letlapeng. Ke palo efe e leng boleng ba 6 hantle makgetlo a leshome ho boleng ba 6 palong eo Andrew a e ngotseng? 	['681,452', '462,017', '246,412', '125,655']	B	elementary_mathematics	C)462	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Andrew o ngotse palo 186,425 letlapeng. Ke palo efe e leng boleng ba 6 hantle makgetlo a leshome ho boleng ba 6 palong eo Andrew a e ngotseng? 
 A)681 B)452 C)462 D)017"	C
123 / 8 ke eng?	['15 ho sala 7', '15 ho sala 3', '16 ho sala 5', '16 ho sala 1']	B	elementary_mathematics	C)16 ho sala 5	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: 123 / 8 ke eng?
 A)15 ho sala 7 B)15 ho sala 3 C)16 ho sala 5 D)16 ho sala 1"	C
Ngola 8 le 2 hodima 4 e le fraction e sa phethahalang ka foromo e bobebe.	['17 hodima 2', '3 hodima 4', '17 hodima 4', '19 hodima 2']	A	elementary_mathematics	C)17 hodima 4	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ngola 8 le 2 hodima 4 e le fraction e sa phethahalang ka foromo e bobebe.
 A)17 hodima 2 B)3 hodima 4 C)17 hodima 4 D)19 hodima 2"	C
Ke mohopolo ofe o ka sebediswang ho bontsha 270,240 e ngotswe ka foromo e atolositsweng?	['200,000 + 7,000 + 200 + 4', '200,000 + 7,000 + 200 + 40', '200,000 + 70,000 + 200 + 40', '200,000 + 70,000 + 2,000 + 40']	C	elementary_mathematics	D)200	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ke mohopolo ofe o ka sebediswang ho bontsha 270,240 e ngotswe ka foromo e atolositsweng?
 A)200 B)000 + 7 C)000 + 200 + 4 D)200"	D
Mosebetsi moleng wa kopano o nka dihora tse 7 ho hlahisa dikarolo tse 22. Ka reiti eo ke dikarolo tse kae tseo a ka di hlahisang ka dihora tse 35?	['dikarolo tse 220', 'dikarolo tse 770', 'dikarolo tse 4', 'dikarolo tse 110']	D	elementary_mathematics	dikarolo tse 110	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Mosebetsi moleng wa kopano o nka dihora tse 7 ho hlahisa dikarolo tse 22. Ka reiti eo ke dikarolo tse kae tseo a ka di hlahisang ka dihora tse 35?
 A)dikarolo tse 220 B)dikarolo tse 770 C)dikarolo tse 4 D)dikarolo tse 110"	D
Abe o fumane mean le median ya lenane le latelang la dipalo. 1, 3, 3. Haeba dipalo tse 6 di ne di kopantswe lenaneng, jwale	['mean e tla eketseha', 'mean e tla fokotseha', 'median e tla eketseha', 'median e tla fokotseha']	A	elementary_mathematics	C)median e tla eketseha	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Abe o fumane mean le median ya lenane le latelang la dipalo. 1, 3, 3. Haeba dipalo tse 6 di ne di kopantswe lenaneng, jwale
 A)mean e tla eketseha B)mean e tla fokotseha C)median e tla eketseha D)median e tla fokotseha"	C
Ha n = 11, boleng ba 10 - (n + 6) ke eng?	['-7', '5', '7', '27']	A	elementary_mathematics	C)7	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ha n = 11, boleng ba 10 - (n + 6) ke eng?
 A)-7 B)5 C)7 D)27"	C
Ke mohopolo ofe o emelang polelwana e ka tlase? 3 katlase ho nomoro, p	['3-p', 'p + 3', '3 / p', 'p - 3']	D	elementary_mathematics	D)p - 3	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ke mohopolo ofe o emelang polelwana e ka tlase? 3 katlase ho nomoro, p
 A)3-p B)p + 3 C)3 / p D)p - 3"	D
Theater e kolekile R6 bakeng sa tekete e nngwe le e nngwe ya filimi e rekisitsweng. Theater e rekisitse ditekete tse 500 filiming. Mohopolo o ka tlase o ka sebediswa ho fumana hore ke tjhelete e kae eo theater e e kolekileng bakeng sa ditekete. 6 x 500. Ke mohopolo ofe o ka sebediswang ho fumana hore theater e kolekile tjhelete e kae bakeng sa ditekete?	['30 × 10^1', '30 × 10^3', '(6 × 5) × 10^2', '(6 × 5) × 10^3']	C	elementary_mathematics	C) (6 × 5) × 10^2	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Theater e kolekile R6 bakeng sa tekete e nngwe le e nngwe ya filimi e rekisitsweng. Theater e rekisitse ditekete tse 500 filiming. Mohopolo o ka tlase o ka sebediswa ho fumana hore ke tjhelete e kae eo theater e e kolekileng bakeng sa ditekete. 6 x 500. Ke mohopolo ofe o ka sebediswang ho fumana hore theater e kolekile tjhelete e kae bakeng sa ditekete?
 A)30 × 10^1 B)30 × 10^3 C)(6 × 5) × 10^2 D)(6 × 5) × 10^3"	C
Tlohela 12 - 9 + c = 12. Ke boleng bofe ba c bo etsang equation e be nnete?	['0', '3', '9', '12']	C	elementary_mathematics	C)9	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Tlohela 12 - 9 + c = 12. Ke boleng bofe ba c bo etsang equation e be nnete?
 A)0 B)3 C)9 D)12"	C
Lelapa la Sojourn le nkile leeto. Ba qadile ka R2000. Haeba ba sebedisa R150 letsatsi le leng le le leng, ke mohopolo ofe o emelang hore ba ne ba na le bokae kamora matsatsi a x?	['1850x', '2000 - 150x', '150x', '2000 + 150x']	B	elementary_mathematics	A)1850x	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Lelapa la Sojourn le nkile leeto. Ba qadile ka R2000. Haeba ba sebedisa R150 letsatsi le leng le le leng, ke mohopolo ofe o emelang hore ba ne ba na le bokae kamora matsatsi a x?
 A)1850x B)2000 - 150x C)150x D)2000 + 150x"	A
Raka e na le dibuka tse nne ho yona. Boima, ka dikhilokgerama, ba buka e nngwe le e nngwe ho tse nne rakeng ke 2.5, 3.2, 2.7, 2.3. Ke ho se lekane hofe ho emelang boima, w, ba buka efe kapa efe e kgethuweng rakeng?	['w > 2.3', 'w < 2.4', 'w >3.2', 'w < 3.3']	D	elementary_mathematics	w > 2.3	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Raka e na le dibuka tse nne ho yona. Boima, ka dikhilokgerama, ba buka e nngwe le e nngwe ho tse nne rakeng ke 2.5, 3.2, 2.7, 2.3. Ke ho se lekane hofe ho emelang boima, w, ba buka efe kapa efe e kgethuweng rakeng?
 A)w > 2.3 B)w < 2.4 C)w >3.2 D)w < 3.3"	A
Ke palo efe e nang le boleng bo feletseng kahodimo ho 5?	['-6', '-5', '0', '5']	A	elementary_mathematics	C)0	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ke palo efe e nang le boleng bo feletseng kahodimo ho 5?
 A)-6 B)-5 C)0 D)5"	C
Boleng ba mohopolo 2(3(4^2 + 1)) - 2^3 ke eng?	['156', '110', '94', '48']	C	elementary_mathematics	B)110	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Boleng ba mohopolo 2(3(4^2 + 1)) - 2^3 ke eng?
 A)156 B)110 C)94 D)48"	B
Gwen o ngotse pattern ya palo katlase pampitshaneng. 1, 5, 9, 13. Ke dihlopha dife tse pedi tse latelang ho pattern ya Gwen?	['15,17', '15,19', '17,19', '17,21']	D	elementary_mathematics	D)19	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Gwen o ngotse pattern ya palo katlase pampitshaneng. 1, 5, 9, 13. Ke dihlopha dife tse pedi tse latelang ho pattern ya Gwen?
 A)15 B)17 C)15 D)19"	D
Haeba dikane tsa dipere di bitsa R2.37, ke makotikoti a kae tsa dipere tseo o ka di rekang ka R9.48?	['makotikoti a 3', 'makotikoti a 12', 'makotikoti a 36', 'makotikoti a 13']	B	elementary_mathematics	C)makotikoti a 36	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Haeba dikane tsa dipere di bitsa R2.37, ke makotikoti a kae tsa dipere tseo o ka di rekang ka R9.48?
 A)makotikoti a 3 B)makotikoti a 12 C)makotikoti a 36 D)makotikoti a 13"	C
Tlhopiso ho tloha ho e kgolo ho ya ho e nyane: 3,3 le 1 hodima 8,3.8,3.18	['3.18,3 le 1 hodima 8,3.8,3', '3,3 le 1 hodima 8,3.18,3', '3.8,3.18,3 le 1 hodima 8,3', '3.8,3.18,3 le 1 hodima 8,3']	D	elementary_mathematics	B)3 le 1 hodima 8	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Tlhopiso ho tloha ho e kgolo ho ya ho e nyane: 3,3 le 1 hodima 8,3.8,3.18
 A)3.18 B)3 le 1 hodima 8 C)3.8 D)3"	B
Bala 22 / 2 + 9.	['10', '11', '20', '2']	C	elementary_mathematics	B	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Bala 22 / 2 + 9.
 A)10 B)11 C)20 D)2"	B
Palo ya batho ho e nngwe ya ditoropo ke 836,527. Palo ya batho toropong ke bokae ha e atameditswe  ho dikete tse leshome?	['800,000', '830,000', '836,000', '840,000']	D	elementary_mathematics	C)830	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Palo ya batho ho e nngwe ya ditoropo ke 836,527. Palo ya batho toropong ke bokae ha e atameditswe  ho dikete tse leshome?
 A)800 B)000 C)830 D)000"	C
Fumana sehlahiswa sa 5 • (−9).	['14', '-4', '45', '-45']	D	elementary_mathematics	-45	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Fumana sehlahiswa sa 5 • (−9).
 A)14 B)-4 C)45 D)-45"	B
Keiko o qeta letsatsi a shebile dinonyana mme o badile dinonyana tse 34 kahodimo hoseng ho feta mantsiboya. Haeba a badile dinonyana tse 76. ke dinonyana tse kae tseo a di badileng mantsiboya? 	['dinonyana tse 21', 'dinonyana tse 40', 'dinonyana tse 42', 'dinonyana tse 84']	A	elementary_mathematics	C) dinonyana tse 42	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Keiko o qeta letsatsi a shebile dinonyana mme o badile dinonyana tse 34 kahodimo hoseng ho feta mantsiboya. Haeba a badile dinonyana tse 76. ke dinonyana tse kae tseo a di badileng mantsiboya? 
 A)dinonyana tse 21 B)dinonyana tse 40 C)dinonyana tse 42 D)dinonyana tse 84"	C
Boleng ba 5 + 2 • 15 + (12 • 4) ke bokae?	['78', '83', '131', '153']	B	elementary_mathematics	C)131	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Boleng ba 5 + 2 • 15 + (12 • 4) ke bokae?
 A)78 B)83 C)131 D)153"	C
