subject,question,choices,answer,output
elementary_mathematics,Jimmy na Kima wanaenda safarini. Wataendesha gari kwa siku tatu. Siku ya kwanza wataendesha maili 182. Siku ya pili wataendesha maili 439. Siku ya tatu wataendesha maili 217. Ni usemi gani unaokaribia kukadiria umbali ambao Jimmy na Kima wataendesha gari katika safari yao?,"['150 + 400 + 200', '200 + 400 + 200', '200 + 450 + 200', '200 + 500 + 200']",C,"Ili kukadiria umbali ambao Jimmy na Kima wataendesha gari katika safari yao, tunaweza kuangalia umbali wa kila siku na kuukaribia kwa nambari rahisi zaidi.

Siku ya kwanza wataendesha maili 182. Tunaweza kuikaribia kama 200.
Siku ya pili wataendesha maili 439. Tunaweza kuikaribia kama 450.
Siku ya tatu wataendesha maili 217. Tunaweza kuikaribia kama 200.

Kwa hivyo, usemi unaokaribia umbali ambao wataendesha gari ni:

C) 200 + 450 + 200"
elementary_mathematics,Nini salio la 21 kugawanywa na 7?,"[21, 7, 1, 'Hakuna hata moja kati ya hizi']",D,"21 ikigawanywa na 7 ni 3. Kwa hivyo, jibu sahihi ni D) Hakuna hata moja kati ya hizi."
elementary_mathematics,"Maddie ataendesha baiskeli yake jumla ya maili 56 kwa siku 7. Ataendesha idadi hii hii ya maili kila siku. Je, Maddie ataendesha baiskeli maili ngapi kila siku?","[8, 9, 49, 63]",A,"Ili kujua Maddie ataendesha baiskeli maili ngapi kila siku, tunahitaji kugawanya jumla ya maili alizoendesha kwa idadi ya siku. 

Maddie ataendesha baiskeli jumla ya maili 56 kwa siku 7. Hivyo, tunagawa 56 kwa 7:

\[ \frac{56}{7} = 8 \]

Kwa hiyo, Maddie ataendesha baiskeli maili 8 kila siku. Jibu sahihi ni:

A) 8"
elementary_mathematics,Tafuta nambari inayofanya 48 juu ya 88 = ? juu ya 11 kuwa taarifa ya kweli.,"[6, 11, 8, 5]",A,"Ili kutafuta nambari inayofanya taarifa ya 48 juu ya 88 = ? juu ya 11 kuwa ya kweli, tunahitaji kutafuta thamani ya ? ambayo inafanya uwiano huo kuwa sawa.

Tuna uwiano wa:

\[ \frac{48}{88} = \frac{?}{11} \]

Kwanza, tunapunguza uwiano wa \(\frac{48}{88}\):

\[ \frac{48}{88} = \frac{48 \div 8}{88 \div 8} = \frac{6}{11} \]

Kwa hivyo, uwiano huu ni sawa na \(\frac{6}{11}\).

Kwa hiyo, ili uwiano wa \(\frac{?}{11}\) uwe sawa na \(\frac{6}{11}\), thamani ya ? lazima iwe 6.

Kwa hivyo, jibu sahihi ni:

A) 6"
elementary_mathematics,Ni ununuzi gani bora zaidi?,"['baa 10 za sabuni kwa $23.20', 'baa 16 za sabuni kwa $36.48', 'baa 13 za sabuni kwa $29.50', 'baa 12 za sabuni kwa $27.60']",C,"Ili kubaini ni ununuzi gani bora zaidi, tunahitaji kuhesabu gharama ya kila baa ya sabuni kwa kila chaguo na kulinganisha.

A) Baa 10 za sabuni kwa $23.20:
Gharama ya kila baa = $23.20 / 10 = $2.32

B) Baa 16 za sabuni kwa $36.48:
Gharama ya kila baa = $36.48 / 16 = $2.28

C) Baa 13 za sabuni kwa $29.50:
Gharama ya kila baa = $29.50 / 13 = $2.27

D) Baa 12 za sabuni kwa $27.60:
Gharama ya kila baa = $27.60 / 12 = $2.30

Kwa kulinganisha gharama za kila baa:
- A) $2.32
- B) $2.28
- C) $2.27
- D) $2.30

Chaguo C) baa 13 za sabuni kwa $29.50 lina gharama ya chini zaidi kwa kila baa ya sabuni, ambayo ni $2.27. Hivyo, ununuzi bora zaidi ni chaguo C."
elementary_mathematics,"Mpigo wa moyo wa Trish anapokuwa katika hali ya kupumzika ni mapigo 50 kwa dakika. Kwa kila dakika ya kufanya mazoezi, mpigo wa moyo wake huongezeka mara 5 kwa dakika. Itachukua muda gani ili moyo wake upige mara 120 kwa dakika?","['dakika 5', 'dakika 14', 'dakika 34', 'dakika 70']",B,"Ili kujua muda ambao itachukua kwa mpigo wa moyo wa Trish kufikia mara 120 kwa dakika, tunaweza kutumia mahesabu yafuatayo:

1. Mpigo wa moyo wa Trish anapokuwa katika hali ya kupumzika ni 50 kwa dakika.
2. Kwa kila dakika ya kufanya mazoezi, mpigo wa moyo wake huongezeka mara 5 kwa dakika.

Tunataka kujua ni dakika ngapi zitahitajika ili mpigo wa moyo wake ufikie 120 kwa dakika.

Tuanze kwa kuweka mlinganyo wa ongezeko la mpigo wa moyo:
\[ \text{Mpigo wa moyo} = 50 + 5 \times t \]

Ambapo \( t \) ni muda wa dakika za kufanya mazoezi. Tunatafuta \( t \) ambapo mpigo wa moyo ni 120 kwa dakika:
\[ 50 + 5t = 120 \]

Tutenganishe \( t \):
\[ 5t = 120 - 50 \]
\[ 5t = 70 \]
\[ t = \frac{70}{5} \]
\[ t = 14 \]

Kwa hivyo, itachukua dakika 14 kwa mpigo wa moyo wa Trish kufikia mara 120 kwa dakika. Jibu sahihi ni:
B) dakika 14"
elementary_mathematics,"Tafuta nambari ya katikati katika seti ifuatayo ya data 23, 13, 18, 29, 32, 25.","[18, 24, 25, 29]",B,"Ili kupata nambari ya katikati (median) katika seti ya data, tunahitaji kwanza kupanga data hiyo kutoka ndogo hadi kubwa, kisha kupata nambari ya katikati.

Seti ya data ni: 23, 13, 18, 29, 32, 25.

Hatua ya kwanza ni kupanga data hiyo:
13, 18, 23, 25, 29, 32.

Kwa kuwa kuna idadi ya vipengele sita (n=6), ambayo ni nambari shufwa (even number), nambari ya katikati itakuwa wastani wa nambari mbili za katikati. Hizi ni nambari ya tatu na ya nne katika seti iliyopangwa.

Nambari ya tatu ni 23 na nambari ya nne ni 25.

Wastani wa nambari hizi mbili ni:
(23 + 25) / 2 = 48 / 2 = 24.

Kwa hivyo, nambari ya katikati ni 24.

Jibu sahihi ni B) 24."
elementary_mathematics,"Jack anachukua matufaha 60 kutoka kwa mti wa matufaha. Anatumia 12 kati ya hayo matufaha kutengeneza mchuzi wa tufaha. Anaweka matufaha yaliyobaki kwa usawa katika vikapu 6 vya zawadi. Ni mlinganyo gani unaweza kutumika kubainisha idadi ya matufaha, a, ambayo Jack anaweka kwenye kila kikapu cha zawadi?","['(60/6)—12=a', '(60—12)/6=a', '(60-6)-12=a', '(60+12)/6=a']",B,"Ili kubainisha idadi ya matufaha ambayo Jack anaweka kwenye kila kikapu cha zawadi, tunahitaji kwanza kujua ni matufaha mangapi yanabaki baada ya kutumia 12 kutengeneza mchuzi wa tufaha. Kisha, tunagawa matufaha yaliyobaki kwa vikapu 6 kwa usawa.

Hatua za kutatua tatizo ni kama ifuatavyo:

1. Jumla ya matufaha ambayo Jack anachukua ni 60.
2. Anatumia 12 kati ya hayo matufaha kutengeneza mchuzi wa tufaha.
3. Matufaha yaliyobaki ni \( 60 - 12 \).
4. Anaweka matufaha yaliyobaki kwa usawa katika vikapu 6 vya zawadi.

Kwa hiyo, mlinganyo unaofaa ni:

\[ \frac{60 - 12}{6} = a \]

Hii inamaanisha kwamba idadi ya matufaha, \( a \), ambayo Jack anaweka kwenye kila kikapu cha zawadi ni sawa na matufaha yaliyobaki baada ya kutoa 12, kisha kugawa kwa vikapu 6.

Kwa hivyo, jibu sahihi ni:

B) \( \frac{60 - 12}{6} = a \)"
elementary_mathematics,Ramani fulani hutumia kipimo cha inchi 1 sawa na maili 25. Ni maili ngapi zinawakilishwa na inchi 5 kwenye ramani hii?,"[5, 25, 50, 125]",D,"Ili kujua ni maili ngapi zinawakilishwa na inchi 5 kwenye ramani hii, tunahitaji kutumia uwiano uliotolewa. Uwiano ni kwamba inchi 1 inawakilisha maili 25.

Kwa hivyo, tunahitaji kuzidisha idadi ya inchi na uwiano wa maili kwa inchi:
Maili = Inchi × Uwiano wa maili kwa inchi
Maili = 5 inchi × 25 maili/inchi

Maili = 125

Kwa hiyo, jibu sahihi ni:
D) 125"
elementary_mathematics,Rahisisha (2 + 5)^2 − 42.,"[7, 16, 30, 33]",A,"Ili kurahisisha \( (2 + 5)^2 - 42 \), tutafuata hatua zifuatazo:

1. Kwanza, ongeza namba ndani ya mabano:
   \[
   2 + 5 = 7
   \]

2. Kisha, pandisha 7 kwa mraba:
   \[
   7^2 = 49
   \]

3. Hatimaye, toa 42 kutoka 49:
   \[
   49 - 42 = 7
   \]

Kwa hivyo, jibu ni:
A) 7"
elementary_mathematics,Tafuta thamana ya 4 ÷ 2 • 2 + 8 − 4.,"[-12, 12, 8, 16]",C,"Ili kupata thamani ya 4 ÷ 2 • 2 + 8 − 4, tunahitaji kufuata sheria za PEMDAS (Parentheses, Exponents, Multiplication and Division (from left to right), Addition and Subtraction (from left to right)).

1. Kwanza, tunafanya mgawanyo na kuzidisha kutoka kushoto kwenda kulia:
   4 ÷ 2 = 2
   2 • 2 = 4

2. Sasa tunabaki na:
   4 + 8 − 4

3. Kisha tunafanya jumlisha na kutoa kutoka kushoto kwenda kulia:
   4 + 8 = 12
   12 − 4 = 8

Kwa hivyo, thamani ya 4 ÷ 2 • 2 + 8 − 4 ni 8.

Jibu sahihi ni C) 8."
elementary_mathematics,Mkufunzi mmoja alikata hesabu ya wakimbiaji kwenye mashindano ya mbio hadi karibu 10. Idadi ya wakimbiaji iliyofupishwa ni 400. Ni nambari gani inayoweza kuwa idadi halisi ya wakimbiaji katika shindano la mbio za riadha?,"[382, 397, 406, 447]",B,"Ili kujua idadi halisi ya wakimbiaji katika shindano la mbio za riadha, tunahitaji kuelewa jinsi hesabu ilivyofupishwa hadi karibu 10. Hii inamaanisha kuwa idadi halisi ya wakimbiaji ilifupishwa hadi karibu 10 ya karibu zaidi.

Idadi iliyofupishwa ni 400, kwa hivyo tunatafuta nambari ambayo, ikifupishwa hadi karibu 10, inatoa 400.

Kwa kawaida, nambari yoyote kati ya 395 na 404, ikifupishwa hadi karibu 10, itakuwa 400. Hii ni kwa sababu:
- Nambari kutoka 395 hadi 399, ikifupishwa hadi karibu 10, itakuwa 400.
- Nambari kutoka 400 hadi 404, ikifupishwa hadi karibu 10, itakuwa 400.

Sasa, tuangalie chaguzi zilizotolewa:
A) 382 - Ikifupishwa hadi karibu 10, itakuwa 380.
B) 397 - Ikifupishwa hadi karibu 10, itakuwa 400.
C) 406 - Ikifupishwa hadi karibu 10, itakuwa 410.
D) 447 - Ikifupishwa hadi karibu 10, itakuwa 450.

Kwa hivyo, nambari inayoweza kuwa idadi halisi ya wakimbiaji ni:
B) 397"
elementary_mathematics,−4 +  ( −3 )=,"[-7, -1, 1, 7]",A,"To solve the expression \(-4 + (-3)\), we need to add the two negative numbers together.

When you add two negative numbers, you essentially add their absolute values and then apply the negative sign to the result. 

Here are the steps:

1. Take the absolute values of \(-4\) and \(-3\):
   \[ | -4 | = 4 \]
   \[ | -3 | = 3 \]

2. Add the absolute values:
   \[ 4 + 3 = 7 \]

3. Apply the negative sign to the result:
   \[ -7 \]

So, \(-4 + (-3) = -7\).

The correct answer is:
A) -7"
elementary_mathematics,"Mark ina mkusanyiko wa stempu. Ana stempu 22 kutoka Japani, 34 kutoka Kanada, na 17 kutoka Mexico. Ana mihuri stempu kwa jumla?","[53, 63, 73, 83]",C,"Ili kujua jumla ya stempu ambazo Mark ana, tunahitaji kuongeza idadi ya stempu kutoka kila nchi.

Mark ana:
- 22 stempu kutoka Japani
- 34 stempu kutoka Kanada
- 17 stempu kutoka Mexico

Tukijumlisha hizi idadi:
22 + 34 + 17 = 73

Kwa hivyo, Mark ana jumla ya stempu 73. Jibu sahihi ni:
C) 73"
elementary_mathematics,Tambua suluhisho la mlinganyo x + 2.7 = 8.4 kutoka kwa nambari zilizotolewa.,"[11.1, 5.7, 3.7, 22.68]",B,"Ili kutatua mlinganyo \( x + 2.7 = 8.4 \), tunahitaji kumpata \( x \). Tunaweza kufanya hivyo kwa kutoa 2.7 kutoka pande zote mbili za mlinganyo.

\[
x + 2.7 - 2.7 = 8.4 - 2.7
\]

\[
x = 5.7
\]

Kwa hivyo, suluhisho la mlinganyo ni \( x = 5.7 \).

Jibu sahihi ni B) 5.7."
elementary_mathematics,Tafuta nambari inayofanya taarifa hii kuwa ya kweli: 0.32 g = _ cg.,"[32, 3.2, 3200, 320]",A,"Ili kubadilisha gramu (g) kuwa sentigramu (cg), tunahitaji kujua uhusiano kati ya vitengo hivi viwili. Tunajua kwamba:

1 gramu (g) = 100 sentigramu (cg)

Kwa hiyo, ili kubadilisha 0.32 gramu kuwa sentigramu, tunazidisha na 100:

0.32 g × 100 = 32 cg

Kwa hivyo, jibu sahihi ni:
A) 32"
elementary_mathematics,Pata suluhisho la 5.7(8) kiakili kwa kutumia mbinu ya Mali ya Usambazaji.,"[46.4, 456, 4.56, 45.6]",D,"Mbinu ya Mali ya Usambazaji inahusisha kugawa nambari kwa sehemu ndogo ambazo ni rahisi kuzidisha, kisha kuongeza matokeo hayo.

Hebu tutumie mbinu hii kutatua 5.7(8):

1. Tunagawanya 5.7 kuwa 5 na 0.7.
2. Tunazidisha kila sehemu na 8 kisha tunaongeza matokeo.

Kwanza, tunazidisha 5 na 8:
\[ 5 \times 8 = 40 \]

Kisha, tunazidisha 0.7 na 8:
\[ 0.7 \times 8 = 5.6 \]

Hatimaye, tunaongeza matokeo haya mawili:
\[ 40 + 5.6 = 45.6 \]

Kwa hivyo, jibu sahihi ni:
D) 45.6"
elementary_mathematics,"Ni nini uwiano kwa usemi huu 2,314 / 4?","[508, '508 r2', 578, '578 r2']",D,"Ili kupata uwiano wa usemi 2,314 / 4, tunahitaji kugawanya 2,314 kwa 4.

2,314 ÷ 4 = 578.5

Kwa hivyo, jibu sahihi ni:

D) 578 r2

Hii ni kwa sababu 578.5 inaweza kuandikwa kama 578 na baki ya 2 (578 r2)."
elementary_mathematics,"Rosa ana lengo la kukimbia jumla ya maili 100 mwezi huu. Kila siku alipokimbia, alikimbia maili 5. Je, Rosa anaweza kutumia usemi gani kubainisha ni maili ngapi amesalia kukimbia baada ya kukimbia kwa siku d?","['100 — 5d', '5d+ 100', '100 / 5d', '5d']",A,"Ili kubainisha ni maili ngapi Rosa amesalia kukimbia baada ya kukimbia kwa siku d, tunahitaji kujua ni maili ngapi tayari amekimbia na kisha kutoa kutoka kwenye lengo lake la maili 100.

Kila siku Rosa anakimbia maili 5, kwa hiyo baada ya siku d, Rosa atakuwa amekimbia maili 5d. Ili kupata maili zilizobaki, tunatoa maili ambazo tayari amekimbia kutoka kwenye lengo lake la maili 100.

Hivyo, usemi unaofaa ni:
A) 100 — 5d

Kwa hiyo, jibu sahihi ni A) 100 — 5d."
elementary_mathematics,Tambua usemi wa aljebra unaolingana na kishazi cha maneno: mara 4 ya makopo mengi kama Tom alivyokusanya.,"['4t', 't juu ya 4', 't − 4', 't + 4']",A,"Ili kutambua usemi wa aljebra unaolingana na kishazi cha maneno ""mara 4 ya makopo mengi kama Tom alivyokusanya,"" tunahitaji kuelewa kwamba tunazungumzia idadi ya makopo ambayo Tom alikusanya, t, na kuzidisha idadi hiyo kwa 4.

Kwa hivyo, usemi wa aljebra unaolingana na kishazi hiki ni:

A) 4t

Hii inamaanisha ""mara 4 ya makopo mengi kama Tom alivyokusanya."""
elementary_mathematics,"Andrew aliandika nambari 186,425 kwenye ubao. Katika nambari gani thamana ya nambari 6 ni sawa na mara 10 ya thamana ya nambari 6 katika nambari Andrew aliandika?","[681452, 462017, 246412, 125655]",B,"Ili kutatua tatizo hili, tunahitaji kwanza kuelewa thamani ya nambari 6 katika nambari 186,425 ambayo Andrew aliandika. Katika nambari hii, 6 iko katika nafasi ya maelfu, kwa hivyo thamani yake ni 6,000.

Sasa tunatafuta nambari ambapo thamani ya nambari 6 ni sawa na mara 10 ya thamani ya 6,000. Hii inamaanisha tunatafuta nambari ambapo thamani ya nambari 6 ni 60,000.

Tuchunguze chaguzi zilizotolewa:
A) 681452 - Hapa, 6 iko katika nafasi ya laki moja (100,000), kwa hivyo thamani yake ni 600,000.
B) 462017 - Hapa, 6 iko katika nafasi ya makumi ya maelfu (10,000), kwa hivyo thamani yake ni 60,000.
C) 246412 - Hapa, 6 iko katika nafasi ya maelfu (1,000), kwa hivyo thamani yake ni 6,000.
D) 125655 - Hapa, 6 iko katika nafasi ya mamia (100), kwa hivyo thamani yake ni 600.

Kwa hivyo, nambari ambapo thamani ya nambari 6 ni sawa na mara 10 ya thamani ya nambari 6 katika nambari 186,425 ni:
B) 462017

Thamani ya 6 katika nambari hii ni 60,000, ambayo ni mara 10 ya 6,000."
elementary_mathematics,123 /8 ni nini?,"['15 na salio la 7', '15 na salio la 3', '16 na salio la 5', '16 na salio la 1']",B,"Ili kujua majibu sahihi ya 123 kugawanywa kwa 8, tunahitaji kufanya mgawanyo huo na kupata jibu pamoja na salio.

123 ÷ 8 = 15.375

Hii ina maana kuwa 123 ikigawanywa kwa 8, tunapata 15 na salio. Ili kupata salio, tunachukua sehemu ya desimali (0.375) na kuizidisha na 8:

0.375 * 8 = 3

Kwa hivyo, 123 ÷ 8 ni sawa na 15 na salio la 3.

Jibu sahihi ni:
B) 15 na salio la 3"
elementary_mathematics,"Andika 8 na 2 juu ya 4 kama akisami ambayo nambari ya juu ni kubwa kuliko ya chini ,kwa njia rahisi zaidi.","['17 juu ya 2', '34 juu ya 4', '17 juu ya 4', '19 juu ya 2']",A,"Ili kubaini ni ipi kati ya chaguzi zinazowakilisha 8 na 2 juu ya 4 kama akisami ambayo nambari ya juu ni kubwa kuliko ya chini, tunahitaji kutafuta nambari ambayo ni kubwa kuliko 8 na 2 juu ya 4.

8 na 2 juu ya 4 inaweza kuandikwa kama:

\[ \frac{8 + 2}{4} \]

Kwanza, ongeza nambari za juu:

\[ 8 + 2 = 10 \]

Kisha, gawanya na nambari ya chini:

\[ \frac{10}{4} = 2.5 \]

Sasa, tunahitaji kutafuta chaguo ambalo lina nambari ya juu kubwa kuliko 2.5. Hebu tuangalie chaguzi:

A) 17 juu ya 2: \[ \frac{17}{2} = 8.5 \]
B) 34 juu ya 4: \[ \frac{34}{4} = 8.5 \]
C) 17 juu ya 4: \[ \frac{17}{4} = 4.25 \]
D) 19 juu ya 2: \[ \frac{19}{2} = 9.5 \]

Chaguo zote zina nambari ya juu kubwa kuliko 2.5, lakini tunatafuta njia rahisi zaidi. Njia rahisi zaidi ni ile ambayo ina nambari ya juu na ya chini ambayo ni rahisi kuelewa na kuhesabu.

Kwa hivyo, jibu rahisi zaidi ni:

C) 17 juu ya 4"
elementary_mathematics,"Ni usemi gani unaweza kutumika kuonyesha 270,240 ikiandikwa kwa njia iliyopanuliwa?","['200,000 + 7,000 + 200 + 4', '200,000 + 7,000 + 200 + 40', '200,000 + 70,000 + 200 + 40', '200,000 + 70,000 + 2,000 + 40']",C,"Ili kuandika namba 270,240 kwa njia iliyopanuliwa, tunahitaji kugawa kila tarakimu kulingana na nafasi yake katika namba hiyo. Hii inamaanisha tunapasua namba hiyo kulingana na maelfu, mamia, makumi, na kadhalika. Hapa kuna jinsi ya kuandika 270,240 kwa njia iliyopanuliwa:

270,240 = 200,000 + 70,000 + 200 + 40

Kwa hivyo, jibu sahihi ni:
A) 200,000 + 70,000 + 200 + 40"
elementary_mathematics,"Mfanyakazi kwenye mstari wa kusanyiko huchukua muda wa saa 7 kutengeneza sehemu 22. Kwa mwendo huo, anaweza kutengeneza sehemu ngapi katika muda wa saa 35?","['sehemu 220', 'sehemu 770', 'sehemu 4', 'sehemu 110']",D,"Ili kujua ni sehemu ngapi mfanyakazi anaweza kutengeneza katika muda wa saa 35, tunahitaji kwanza kujua kiwango chake cha uzalishaji kwa saa. Tunaweza kufanya hivi kwa kugawanya idadi ya sehemu anazotengeneza kwa muda wa saa 7.

Mfanyakazi hutengeneza sehemu 22 kwa saa 7. Kwa hiyo, kiwango chake cha uzalishaji kwa saa ni:

\[
\frac{22 \text{ sehemu}}{7 \text{ saa}} = 3.14 \text{ sehemu kwa saa}
\]

Sasa, tunataka kujua ni sehemu ngapi anaweza kutengeneza katika muda wa saa 35. Tunazidisha kiwango chake cha uzalishaji kwa saa na idadi ya saa:

\[
3.14 \text{ sehemu kwa saa} \times 35 \text{ saa} = 110 \text{ sehemu}
\]

Kwa hiyo, mfanyakazi anaweza kutengeneza sehemu 110 katika muda wa saa 35. Jibu sahihi ni:

D) sehemu 110"
