question	answer	opus	prompt
Lenaneo le letjha le ne le na le di-downloutu tse 60 kgweding ya pele. Palo ya di-downloutu kgweding ya bobedi e ne e le makgetlo a mararo ho feta di-downloutu tsa kgwedi ya pele, empa tsa fokotswa ka 30% ka kgwedi ya boraro. Ke di-downloutu tse kae kaofela tsa lenaneo le nang le tsona ka dikgweding tse tharo?	366	[TextBlock(text='420', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nLenaneo le letjha le ne le na le di-downloutu tse 60 kgweding ya pele. Palo ya di-downloutu kgweding ya bobedi e ne e le makgetlo a mararo ho feta di-downloutu tsa kgwedi ya pele, empa tsa fokotswa ka 30% ka kgwedi ya boraro. Ke di-downloutu tse kae kaofela tsa lenaneo le nang le tsona ka dikgweding tse tharo?\n'}]}]
Toula o ile lebakeng mme a reka mefuta e fapaneng ya di-pastries. O ile a reka ditosene tse 3 tsa di-donuts tse bitsang R68 tosene ka nngwe. Tosene tse 2 tsa dikuku tsa kopi tse nyane tse bitsang R80 tosene ka nngwe, le ditosene 6 tsa dikuku tsa cheese ka R55 tosene ka nngwe. Theko kaofela ke bokae? 	694	[TextBlock(text='694', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nToula o ile lebakeng mme a reka mefuta e fapaneng ya di-pastries. O ile a reka ditosene tse 3 tsa di-donuts tse bitsang R68 tosene ka nngwe. Tosene tse 2 tsa dikuku tsa kopi tse nyane tse bitsang R80 tosene ka nngwe, le ditosene 6 tsa dikuku tsa cheese ka R55 tosene ka nngwe. Theko kaofela ke bokae? \n'}]}]
Carlos o jala sefate sa sirilamunu. Sefate se tla bitsa R90 ho se jala. Selemo le selemo se tla hlahisa disirilamunu tse 7, tseo a ka di rekisang ka R1.5 se le seng. Ho bitsa R3 ka selemo ho tshella le ho fepa sefate. Ho tla nka dilemo tse kae pele a qala ho thola tjhelete ka sefate sa sirilamunu?	13	[TextBlock(text='6', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nCarlos o jala sefate sa sirilamunu. Sefate se tla bitsa R90 ho se jala. Selemo le selemo se tla hlahisa disirilamunu tse 7, tseo a ka di rekisang ka R1.5 se le seng. Ho bitsa R3 ka selemo ho tshella le ho fepa sefate. Ho tla nka dilemo tse kae pele a qala ho thola tjhelete ka sefate sa sirilamunu?\n'}]}]
Melanie ke morekisi ya tsamayang motseng. O rekisitse vacuum ya hae ya boraro ntlong e tala, tse ding tse 2 ntlong e kgubedu, le halofo ya tseo di neng di setse ntlong ya mmala wa lamunu. Haeba Melanie a na le di-vacuum tse setseng, o qadile ka tse kae?	18	[TextBlock(text='10', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nMelanie ke morekisi ya tsamayang motseng. O rekisitse vacuum ya hae ya boraro ntlong e tala, tse ding tse 2 ntlong e kgubedu, le halofo ya tseo di neng di setse ntlong ya mmala wa lamunu. Haeba Melanie a na le di-vacuum tse setseng, o qadile ka tse kae?\n'}]}]
Phaposing ya ho tantsha ya baithuti ba 20, 20% e ingodiseditse tantshe ya contemporary, 25% e setseng e ingodiseditse tantshe ya jazz, mme ba bang kaofela ba ingodiseditse tantshe ya hip-hop. Ke peresente e kae ya baithuti kaofela ba ingodiseditseng tantshe ya hip-hop?	60	[TextBlock(text='55', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nPhaposing ya ho tantsha ya baithuti ba 20, 20% e ingodiseditse tantshe ya contemporary, 25% e setseng e ingodiseditse tantshe ya jazz, mme ba bang kaofela ba ingodiseditse tantshe ya hip-hop. Ke peresente e kae ya baithuti kaofela ba ingodiseditseng tantshe ya hip-hop?\n'}]}]
Morekisi o batla ho etsa kgetho ya ho reka pakeng tsa maano a 2 a ho reka: mabenyane a bitsang R5,000 kapa disebediswa tsa motlakase tse bitsang R8,000. Moeletsi wa hae wa ditjhelete o akanya hore mmaraka wa mabenyane o tla ya hodimo ka 2.5% ha disebediswa tsa motlakase di tla nyoloha ka 1.2% ka kgwedi eo. Haeba morekisi a batla ho fumana phaello yohle ha kgwedi e fela ka ho etsa kgetho, phaello ena e tla ba bokae? 	125	[TextBlock(text='200', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nMorekisi o batla ho etsa kgetho ya ho reka pakeng tsa maano a 2 a ho reka: mabenyane a bitsang R5,000 kapa disebediswa tsa motlakase tse bitsang R8,000. Moeletsi wa hae wa ditjhelete o akanya hore mmaraka wa mabenyane o tla ya hodimo ka 2.5% ha disebediswa tsa motlakase di tla nyoloha ka 1.2% ka kgwedi eo. Haeba morekisi a batla ho fumana phaello yohle ha kgwedi e fela ka ho etsa kgetho, phaello ena e tla ba bokae? \n'}]}]
Diterene tse pedi di siya San Rafael ka nako e le nngwe. Ka bobedi di qala ho ya ka bophirima, di tsamaya ka dimaele tse 80. Letsatsi le hlahlamang, di ya ka leboya, di tsamaya ka dimaele tse 150. Terene e nngwe le e nngwe e tsamaile sebaka se sekae ka matsatsi a mabedi?	230	[TextBlock(text='230', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nDiterene tse pedi di siya San Rafael ka nako e le nngwe. Ka bobedi di qala ho ya ka bophirima, di tsamaya ka dimaele tse 80. Letsatsi le hlahlamang, di ya ka leboya, di tsamaya ka dimaele tse 150. Terene e nngwe le e nngwe e tsamaile sebaka se sekae ka matsatsi a mabedi?\n'}]}]
Jill o patalwa R20 ka hora ho ruta le R30 ho ba mokwetlisi wa cheerleading. Haeba a sebetsa dibeke tse 50 ka selemo, dihora tse 35 ka beke e le mosuwe le dihora tse 15 ka beke e le mokwetlisi, mokgolo wa hae ke bokae ka selemo?	57500	[TextBlock(text='42500', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nJill o patalwa R20 ka hora ho ruta le R30 ho ba mokwetlisi wa cheerleading. Haeba a sebetsa dibeke tse 50 ka selemo, dihora tse 35 ka beke e le mosuwe le dihora tse 15 ka beke e le mokwetlisi, mokgolo wa hae ke bokae ka selemo?\n'}]}]
Claire o etsa omelete ya mahe a 3 hoseng ho hong le ho hong bakeng sa dijo tsa hoseng. Ke ditosene tse kae tsa mahe tseo a tla di ja ka dibeke tse 4?	7	[TextBlock(text='84', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nClaire o etsa omelete ya mahe a 3 hoseng ho hong le ho hong bakeng sa dijo tsa hoseng. Ke ditosene tse kae tsa mahe tseo a tla di ja ka dibeke tse 4?\n'}]}]
Marissa o haeka bolelele ba dimaele tse 12. O nkile hora e le nngwe ho tsamaya dimaele tse 4 tsa pele, hape hora e nngwe ho tsamaya dimaele tse pedi tse latelang. Haeba a batla lebelo la hae e be dimaele tse 4 ka hora, ke lebelo le lekae (ka dimaele ka hora) leo a le hlokang ho tsamaya sebaka se setseng?	6	[TextBlock(text='6', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nMarissa o haeka bolelele ba dimaele tse 12. O nkile hora e le nngwe ho tsamaya dimaele tse 4 tsa pele, hape hora e nngwe ho tsamaya dimaele tse pedi tse latelang. Haeba a batla lebelo la hae e be dimaele tse 4 ka hora, ke lebelo le lekae (ka dimaele ka hora) leo a le hlokang ho tsamaya sebaka se setseng?\n'}]}]
Ke na le dilitara tse 10 tsa seno sa lamunu tse bobedi-borarong tsa metsi mme ke lakatsa ho a tshela ho dilitara tse 15 tsa seno sa penapole eo e leng boraro-bohlanong ba metsi. Empa ha ke a tshela, ke qhala litara e le nngwe ya seno sa lamunu. Ke metsi a makae a setseng ho dilitara tse 24?  	15	[TextBlock(text='8', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nKe na le dilitara tse 10 tsa seno sa lamunu tse bobedi-borarong tsa metsi mme ke lakatsa ho a tshela ho dilitara tse 15 tsa seno sa penapole eo e leng boraro-bohlanong ba metsi. Empa ha ke a tshela, ke qhala litara e le nngwe ya seno sa lamunu. Ke metsi a makae a setseng ho dilitara tse 24?  \n'}]}]
Raymond le Samantha ke bomotswala. Raymond o hlahile dilemo tse tsheletseng pele ho Samantha. Raymond o bile le mora a le dilemo di 23. Haeba Samantha a le dilemo di 31 jwale, mora wa Raymond o hlahile dilemo tse kae tse fetileng?	14	[TextBlock(text='8', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nRaymond le Samantha ke bomotswala. Raymond o hlahile dilemo tse tsheletseng pele ho Samantha. Raymond o bile le mora a le dilemo di 23. Haeba Samantha a le dilemo di 31 jwale, mora wa Raymond o hlahile dilemo tse kae tse fetileng?\n'}]}]
Billy o rekisa di-DVD. O na le bareki ba 8 ka Labobedi. Bareki ba hae ba 3 ba pele ba reka DVD e le nngwe moreki ka mong. Bareki ba 2 ba latelang ba reka di-DVD tse pedi moreki ka mong. Bareki ba hae ba 3 ba ho qetela ha ba reke di-DVD. Ke di-DVD tse kae tseo Billy a di rekisitseng ka Labobedi?	7	[TextBlock(text='5', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nBilly o rekisa di-DVD. O na le bareki ba 8 ka Labobedi. Bareki ba hae ba 3 ba pele ba reka DVD e le nngwe moreki ka mong. Bareki ba 2 ba latelang ba reka di-DVD tse pedi moreki ka mong. Bareki ba hae ba 3 ba ho qetela ha ba reke di-DVD. Ke di-DVD tse kae tseo Billy a di rekisitseng ka Labobedi?\n'}]}]
Kerese e qhbidiha ka disenthimitara tse 2 hora e nngwe le e nngwe ha e tuka. Ke disenthimitara tse kae ka bokgutshwane tseo kerese e tla di tuka ho tloha ho 1:00 mantsiboya ho fihla ho 5:00 mantsiboya.	8	[TextBlock(text='8', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nKerese e qhbidiha ka disenthimitara tse 2 hora e nngwe le e nngwe ha e tuka. Ke disenthimitara tse kae ka bokgutshwane tseo kerese e tla di tuka ho tloha ho 1:00 mantsiboya ho fihla ho 5:00 mantsiboya.\n'}]}]
Kyle o rekile buka e rekiswang haholo selemo se fetileng ka R19.50. Sena ke ka theolelo ya  25% ho tswa thekong ya nnete. Theko ya nnete ya buka e ne e le bokae?	26	[TextBlock(text='26', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nKyle o rekile buka e rekiswang haholo selemo se fetileng ka R19.50. Sena ke ka theolelo ya  25% ho tswa thekong ya nnete. Theko ya nnete ya buka e ne e le bokae?\n'}]}]
Marie o rekile dijo tsa kgoho e le nngwe tse bitsang R12, dipakana tse 5 tsa lebese tsa bitsang R3 ka nngwe, diapole tse 4 tse bitsang R1,50 ka nngwe, le mabokose a pizza. Marie o patetse R50 kaofela. Ke mabokose a makae a pizza ao Marie a a beeleditseng haeba lebokose ka nngwe le bitsa R8.50?	2	[TextBlock(text='2', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nMarie o rekile dijo tsa kgoho e le nngwe tse bitsang R12, dipakana tse 5 tsa lebese tsa bitsang R3 ka nngwe, diapole tse 4 tse bitsang R1,50 ka nngwe, le mabokose a pizza. Marie o patetse R50 kaofela. Ke mabokose a makae a pizza ao Marie a a beeleditseng haeba lebokose ka nngwe le bitsa R8.50?\n'}]}]
Mishka o rekile dipara tse 3 tsa marikgwe a makgutshwane, dipara tse 3 tsa marikgwe a matelele, le dipara tse 3 tsa dieta. Para e le nngwe ya borikgwe bo bokgutshwane e bitsa R16.50. Para e le nngwe ya borikgwe bo botelele e bitsa R22.50 ebe para e le nngwe ya dieta e bitsa R42. Mishka o sebedisitse diranta tse kae diaparong kaofela?	243	[TextBlock(text='280', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nMishka o rekile dipara tse 3 tsa marikgwe a makgutshwane, dipara tse 3 tsa marikgwe a matelele, le dipara tse 3 tsa dieta. Para e le nngwe ya borikgwe bo bokgutshwane e bitsa R16.50. Para e le nngwe ya borikgwe bo botelele e bitsa R22.50 ebe para e le nngwe ya dieta e bitsa R42. Mishka o sebedisitse diranta tse kae diaparong kaofela?\n'}]}]
Cynthia o ja lebejana-po le le leng bosiu bo bong le bo bong. O reka dikhathunu tsa lebejana-po ka mabejana-po a 15 khathunung ka nngwe ka theko ya R4.00 khathunu ka nngwe. Kamora matsatsi a 60, o tla ntsha bokae ho reka lebejana-po? 	16	[TextBlock(text='3600', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nCynthia o ja lebejana-po le le leng bosiu bo bong le bo bong. O reka dikhathunu tsa lebejana-po ka mabejana-po a 15 khathunung ka nngwe ka theko ya R4.00 khathunu ka nngwe. Kamora matsatsi a 60, o tla ntsha bokae ho reka lebejana-po? \n'}]}]
Henry o eme habedi leetong la hae la dimaele tse 60 la baesekele. Lekgetlo la pele o eme kamora dimaele tse 20. Lekgetlo la bobedi o eme dimaele tse 15 pele ho pheletso ya leeto. O tsamaile dimaele tse kae pakeng tsa ho ema ha hae ha pele le ho ema ha bobedi?	25	[TextBlock(text='25', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nHenry o eme habedi leetong la hae la dimaele tse 60 la baesekele. Lekgetlo la pele o eme kamora dimaele tse 20. Lekgetlo la bobedi o eme dimaele tse 15 pele ho pheletso ya leeto. O tsamaile dimaele tse kae pakeng tsa ho ema ha hae ha pele le ho ema ha bobedi?\n'}]}]
Gloria o reka dieta ha a tla kopana le para ya di-boots e lekanang tekanyetso ya hae ya dieta. Le ha ho le jwalo, o lokela ho kgetha dipakeng tsa di-boots le dipara tse pedi tsa dieta tse phahameng tseo bobedi di bitsang diranta tse hlano katlase ho di-boots. Haeba para e le nngwe ya dieta tse phahameng e bitsa R33 ha e nngwe e bitsa habedi ho feta moo, di-booots ke diranta tse kae?	104	[TextBlock(text='93', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nGloria o reka dieta ha a tla kopana le para ya di-boots e lekanang tekanyetso ya hae ya dieta. Le ha ho le jwalo, o lokela ho kgetha dipakeng tsa di-boots le dipara tse pedi tsa dieta tse phahameng tseo bobedi di bitsang diranta tse hlano katlase ho di-boots. Haeba para e le nngwe ya dieta tse phahameng e bitsa R33 ha e nngwe e bitsa habedi ho feta moo, di-booots ke diranta tse kae?\n'}]}]
Dilemo tsa Darrell le Allen di kabong ya 7:11. Haeba dilemo tsa bona kaofela e se e le 162, bala dilemo tsa Allen, dilemo tse 10 ho tloha jwale.	109	[TextBlock(text='77', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nDilemo tsa Darrell le Allen di kabong ya 7:11. Haeba dilemo tsa bona kaofela e se e le 162, bala dilemo tsa Allen, dilemo tse 10 ho tloha jwale.\n'}]}]
Gunter o leka ho bala dipompong ka hara setshelo. O botsa metswalle ya hae hore ba nahana hore di kae ka hara setshelo. E mong o re 80. E mong o re 20 ho feta halofo ya pele. Wa boraro o re 25% ho feta ya pele. Dikakanyo tsa bona ke dife?	80	[TextBlock(text='80\n100\n100', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nGunter o leka ho bala dipompong ka hara setshelo. O botsa metswalle ya hae hore ba nahana hore di kae ka hara setshelo. E mong o re 80. E mong o re 20 ho feta halofo ya pele. Wa boraro o re 25% ho feta ya pele. Dikakanyo tsa bona ke dife?\n'}]}]
John o hlokomela dintja tse 10. Ntja e nngwe le e nngwe e nka dihora tse 5 ka letsatsi ho tsamaya le ho hlokomela kgwebo ya bona. O nka dihora tse kae ho hlokomela dintja ka beke?	35	[TextBlock(text='350', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nJohn o hlokomela dintja tse 10. Ntja e nngwe le e nngwe e nka dihora tse 5 ka letsatsi ho tsamaya le ho hlokomela kgwebo ya bona. O nka dihora tse kae ho hlokomela dintja ka beke?\n'}]}]
Gretchen o na le 110 ya tjhelete ya tshepe. Ho na le tjhelete tse 30 tsa tshepe tsa kgauta ho feta tsa silifera. Gretchen o na le tjhelete ya tshepe ya kgauta e kae?	70	[TextBlock(text='70', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nGretchen o na le 110 ya tjhelete ya tshepe. Ho na le tjhelete tse 30 tsa tshepe tsa kgauta ho feta tsa silifera. Gretchen o na le tjhelete ya tshepe ya kgauta e kae?\n'}]}]
Siobhan o na le majwe a bohlokwa a 2 hanyane ho Aaron. Aaron o na le majwe a 5 kahodimo ho feta halofo ya majwe a Raymond. Haeba Raymond a na le majwe a 40, Siobhan o na le majwe a makae? 	23	[TextBlock(text='57', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nSiobhan o na le majwe a bohlokwa a 2 hanyane ho Aaron. Aaron o na le majwe a 5 kahodimo ho feta halofo ya majwe a Raymond. Haeba Raymond a na le majwe a 40, Siobhan o na le majwe a makae? \n'}]}]
Mike o bapala ping pong metsotso e 40. Metsotso e 20 e qalang, o hlaba dintlha tse 4. Metsotsong ya bobedi e 20, o hlaba dintlha tse 25% ho feta. O hlabile dintlha tse kae kaofela?	9	[TextBlock(text='35', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nMike o bapala ping pong metsotso e 40. Metsotso e 20 e qalang, o hlaba dintlha tse 4. Metsotsong ya bobedi e 20, o hlaba dintlha tse 25% ho feta. O hlabile dintlha tse kae kaofela?\n'}]}]
Terry o ja di-yogurt tse 2 ka letsatsi. Di sa le dinyehlisetsong di-yogurt tse 4 ka R5.00. O sebedisa bokae ho yogurt matsatsing a 30?	75	[TextBlock(text='300', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nTerry o ja di-yogurt tse 2 ka letsatsi. Di sa le dinyehlisetsong di-yogurt tse 4 ka R5.00. O sebedisa bokae ho yogurt matsatsing a 30?\n'}]}]
John o rera ho rekisa dibapadiswa tsa hae kaofela mme a sebedisa tjhelete ho reka dipapadi tsa video. O na le sete ya di-lego tse 13 mme a di rekisa ka R15 e le nngwe. A qetella a rekile dipapadi tsa video tse 8 ka R20 e le nngwe mme ha sala R5. Ke disete tse kae tsa di-lego tseo a sa ntseng a na le tsona? 	2	[TextBlock(text='2', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nJohn o rera ho rekisa dibapadiswa tsa hae kaofela mme a sebedisa tjhelete ho reka dipapadi tsa video. O na le sete ya di-lego tse 13 mme a di rekisa ka R15 e le nngwe. A qetella a rekile dipapadi tsa video tse 8 ka R20 e le nngwe mme ha sala R5. Ke disete tse kae tsa di-lego tseo a sa ntseng a na le tsona? \n'}]}]
John o matha dimaele tse 60 ka beke. O matha matsatsi a 3 ka beke. O matha dihora tse 3 letsatsi la pele le halofo jwalo ka matsatsi a mabedi a matha. O matha ka potlako e kae?	10	[TextBlock(text='10', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Answer only and the answer should only contain integers. \nJohn o matha dimaele tse 60 ka beke. O matha matsatsi a 3 ka beke. O matha dihora tse 3 letsatsi la pele le halofo jwalo ka matsatsi a mabedi a matha. O matha ka potlako e kae?\n'}]}]
