q_id,subject,split,question,translate_question,choice_A,translate_choice_A,choice_B,translate_choice_B,choice_C,translate_choice_C,choice_D,translate_choice_D,answer
5,elementary_mathematics,val,Solve the equation 124 = m + 34.,Tatua mlinganyo 124 = m + 34.,158,158,90,90,88,88,"4,216","4,216",B
6,elementary_mathematics,val,Zelma buys p pounds of bananas for 40 cents per pound. She pays the clerk with a twenty-dollar bill. The clerk subtracts the total cost of the bananas from the twenty-dollar bill to determine the amount of change to give Zelma. Which expression represents the amount of change Zelma should receive?,Zelma hununua paundi p za ndizi kwa senti 40 kwa kila paundi. Anamlipa karani noti ya dola ishirini. Karani anaondoa gharama ya jumla ya ndizi kutoka kwa noti hio ya dola ishirini ili kubaini fedha za ziada atakazompa Zelma. Usemi gani unawakilisha kiasi cha pesa ambacho Zelma anapaswa kupokea?,p - 20,p - 20,20 - 40p,20 - 40p,20 - 0.40p,20 - 0.40p,0.40p - 20,0.40p - 20,C
7,elementary_mathematics,val,Celia has a large container in which four different kinds of coins are thoroughly mixed. She wants to take a sample of her coins to estimate which kind of coin she has the most. Which of the following methods is the best way for her to select a sample?,Celia ana chombo kikubwa ambamo aina nne tofauti za sarafu zimechanganywa kabisa. Anataka kuchukua sampuli ya sarafu zake ili kukadiria ni aina gani ya sarafu anazo zaidi. Ni njia gani kati ya zifuatazo ndiyo njia bora kwake ya kuchagua sampuli?,taking one coin from the container,kuchukua sarafu moja kutoka kwenye chombo,taking coins until she has one of every kind,kuchukua sarafu mpaka awe na moja ya kila aina,taking ten coins of each type from the container,kuchukua sarafu kumi za kila aina kutoka kwenye chombo,taking thirty coins out of the container without looking,kuchukua sarafu thelathini kutoka kwenye chombo bila kuangalia,D
8,elementary_mathematics,val,In which situation can the expression 64 + 8 be used?,Ni katika hali gani ambayo usemi 64 + 8 unaweza kutumika?,There are 8 buses with 64 students on each bus.,Kuna mabasi 8 yenye wanafunzi 64 katika kila basi.,Ms. Vance has 8 pens and 64 pencils in a container.,Bi. Vance ana kalamu 8 na penseli 64 katika chombo.,There are 64 books in a bookcase and 8 books are removed.,Kuna vitabu 64 katika rafu ya vitabu na vitabu 8 vimeondolewa.,Mr. Juarez has 64 cups and puts an equal numberon each of 8 tables.,Bw. Juarez ana vikombe 64 na anaweka nambari sawa kwenye kila moja ya meza hizo 8.,D
9,elementary_mathematics,val,Which expression is equivalent to (5 + 2) x 8?,Usemi gani ni sawa na (5 + 2) x 8?,(8 x 5) + (8 x 2),(8 x 5) + (8 x 2),(5 x 8) + (5x 2),(5 x 8) + (5x 2),8 x (5x2),8 x (5x2),(5x8)x2,(5x8)x2,A
10,elementary_mathematics,val,"The number of points Jaden scored in a game is less than 45, and is also a multiple of 7. How many points could Jaden have scored?","Idadi ya pointi ambazo Jaden alifunga katika mchezo ni chini ya 45, na pia ni kigawe cha 7. Je, Jaden angeweza kufunga pointi ngapi?",17,17,35,35,52,52,70,70,B
11,elementary_mathematics,val,Which method can be used to solve 11 x 13?,Ni njia gani inaweza kutumika kutatua 11 x 13?,"Multiply 11 x 10 and 10 x 3, then add the two products.","Zidisha 11 x 10 na 10 x 3, kisha jumlisha matokeo hayo mawili.","Multiply 11 x 10 and 11 x 3, then add the two products.","Zidisha 11 x 10 na 11 x 3, kisha jumlisha matokeo hayo mawili.","Multiply 11 x 100 and 10 x 3, then add the two products.","Zidisha 11 x 100 na 10 x 3, kisha jumlisha matokeo hayo mawili.","Multiply 11 x 100 and 11 x 3, then add the two products.","Zidisha 11 x 100 na 11 x 3, kisha jumlisha matokeo hayo mawili.",B
12,elementary_mathematics,val,Wendy bought 30 packs of gum. Each pack had 5 pieces. She multiplied 30 × 5 to find the number of pieces of gum she bought. How many pieces of gum did Wendy buy?,"Wendy alinunua pakiti 30 za chingamu. Kila pakiti ilikuwa na vipande 5. Alizidisha 30 × 5 ili kupata idadi ya vipande vya chingamu alivyonunua. Je, Wendy alinunua vipande vingapi vya chingamu?",15,15,35,35,150,150,305,305,C
13,elementary_mathematics,val,"Jan scored 3 more points in the basketball game than Salah. Cindy scored 22 points, which was twice as many points as Jan. How many points did Salah score?","Jan alifunga pointi 3 zaidi katika mchezo wa mpira wa vikapu kuliko Salah. Cindy alifunga pointi 22, ambazo zilikuwa pointi mara dufu ya Jan. Salah alifunga pointi ngapi?",8,8,11,11,14,14,19,19,A
14,elementary_mathematics,val,The ticket prices to a play are $5.00 for teachers and $3.00 for students. How much will it cost for a group of 71 students and 5 teachers to see the play?,"Bei za tikiti za mchezo wa kuigiza ni $5.00 kwa walimu na $3.00 kwa wanafunzi. Je, itagharimu kiasi gani kwa kundi la wanafunzi 71 na walimu 5 kuuona mchezo huo?",$228.00,$228.00,$238.00,$238.00,$370.00,$370.00,$380.00,$380.00,B
15,elementary_mathematics,val,Use the equation below to answer the question. 0.75 × 6.5 = m Which expression shows one way to solve the equation?,Tumia mlinganyo ulio hapa chini kujibu swali. 0.75 × 6.5 = m Ni usemi gani unaonyesha njia moja ya kutatua mlinganyo?,"75 × 65 ÷ 1,000","75 × 65 ÷ 1,000","75 × 650 ÷ 1,000","75 × 650 ÷ 1,000",0.7 × 6 + 0.7 × 5 + 0.5 × 6 + 0.5 × 5,0.7 × 6 + 0.7 × 5 + 0.5 × 6 + 0.5 × 5,0.7 × 6 + 0.7 × 0.5 + 0.5 × 6 + 0.5 × 0.5,0.7 × 6 + 0.7 × 0.5 + 0.5 × 6 + 0.5 × 0.5,A
16,elementary_mathematics,val,Debnil has 6 teaspoons of salt. The ratio of teaspoons to tablespoons is 3 : 1. How many tablespoons of salt does Debnil have?,Debnil ana vijiko 6 vya chumvi. Uwiano wa vijiko vya chai kwa vijiko vya chakula ni 3 : 1. Debnil ana vijiko vingapi vya chumvi?,18-Jan,,2-Jan,,2,,18,,C
17,elementary_mathematics,val,"A scientist measured the diameters of four human hairs. The diameters, in millimeters, were 0.091, 0.169, 0.17, and 0.023. Which inequality correctly compares the diameters of two of the human hairs?","Mwanasayansi alipima kipenyo cha nywele nne za binadamu. Vipenyo, katika milimita, vilikuwa 0.091, 0.169, 0.17, na 0.023. Ni ukosefu gani wa usawa unaolinganisha kwa usahihi kipenyo cha nywele mbili kati ya hizo nne.",0.17 > 0.023,0.17 > 0.023,0.091 < 0.023,0.091 < 0.023,0.169 > 0.17,0.169 > 0.17,0.17 < 0.091,0.17 < 0.091,A
18,elementary_mathematics,val,"There are 7 days in a week. In the month of February, there are 28 days this year. How many times as many days are there in February than are in one week?","Kuna siku 7 kwa wiki. Katika mwezi wa Februari, kuna siku 28 mwaka huu. Je, kuna siku ngapi zaidi katika mwezi wa Februari kuliko katika wiki moja?",4 times,mara 4,7 times,mara 7,21 times,mara 21,35 times,mara 35,A
19,elementary_mathematics,val,Solve −2k = −34.8.,Tatua −2k = −34.8.,-69.6,-69.6,-17.4,-17.4,17.4,17.4,69.6,69.6,D
0,elementary_mathematics,test,What is the value of p in 24 = 2p?,Thamana ya p ni nini katika 24 = 2p?,p = 4,p = 4,p = 8,p = 8,p = 12,p = 12,p = 24,p = 24,C
1,elementary_mathematics,test,Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,Bi Perez aliendesha gari jumla ya maili 40 kwa siku 5. Aliendesha idadi sawa ya maili kila siku. Bi Perez aliendesha gari kwa maili ngapi kila siku?,5,5,7,7,8,8,9,9,C
2,elementary_mathematics,test,Find the quotient of −40 ÷ (−8).,Tatua uwiano wa −40 ÷ (−8).,1 over 5,1 juu ya 5,-5,-5,−1 over 5,−1 juu ya 5,5,5,D
3,elementary_mathematics,test,"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?","Timu ya soka ina $90.00 za kununua mipira ya soka. Ikiwa mpira mmoja wa soka utagharimu $15.60, ni idadi gani kubwa zaidi ya mipira ya soka ambayo timu inaweza kununua?",4,4,5,5,6,6,7,7,B
4,elementary_mathematics,test,You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,Wewe pamoja na rafiki zako watatu mnaenda kwenye tamasha. Gharama ya jumla ya tiketi nne ni $112. Andika na utatue mlinganyo ili kupata gharama ya tikiti moja t.,4t = 112; $448,4t = 112; $448,4t = 112; $28,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $448,t over 4 = 112; $28,t over 4 = 112; $28,B
5,elementary_mathematics,test,Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,Tumia usemi ulio hapa chini kujibu swali. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 Thamana ya usemi ni nini?,9,9,11,11,26,26,32,32,C
6,elementary_mathematics,test,Write 1 and 1 over 11 as a whole or mixed number in simplest form.,Andika 1 na 1 juu ya 11 kama nambari kamili au nambari mchanganyo kwa njia rahisi zaidi.,1.1 over 11,1.1 juu ya 11,11 over 11,11 juu ya 11,12 over 11,12 juu ya 11,11 over 12,11 juu ya 12,C
7,elementary_mathematics,test,Find the quotient of 2.16 ÷ 0.06.,Tatua uwiano wa 2.16 ÷ 0.06.,3.6,3.6,36,36,0.01272,0.01272,12.72,12.72,B
8,elementary_mathematics,test,Find the difference of 142.76 – 16.5.,Tatua utofauti wa 142.76 – 16.5.,159.26,159.26,2.224,2.224,"14,111","14,111",126.26,126.26,D
9,elementary_mathematics,test,Find the quotient of 5.04/0.7,Tatua uwiano wa 5.04/0.7,0.72,0.72,0.702,0.702,10.0571,10.0571,7.2,7.2,D
10,elementary_mathematics,test,Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,Jimmy na Kima wanaenda safarini. Wataendesha gari kwa siku tatu. Siku ya kwanza wataendesha maili 182. Siku ya pili wataendesha maili 439. Siku ya tatu wataendesha maili 217. Ni usemi gani unaokaribia kukadiria umbali ambao Jimmy na Kima wataendesha gari katika safari yao?,150 + 400 + 200,150 + 400 + 200,200 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 450 + 200,200 + 500 + 200,200 + 500 + 200,C
11,elementary_mathematics,test,What is the remainder of 21 divided by 7?,Nini salio la 21 kugawanywa na 7?,21,21,7,7,1,1,None of these,Hakuna hata moja kati ya hizi,D
12,elementary_mathematics,test,Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,"Maddie ataendesha baiskeli yake jumla ya maili 56 kwa siku 7. Ataendesha idadi hii hii ya maili kila siku. Je, Maddie ataendesha baiskeli maili ngapi kila siku?",8,8,9,9,49,49,63,63,A
13,elementary_mathematics,test,Find the number that makes the statement 48 over 88 = ? over 11 true.,Tafuta nambari inayofanya 48 juu ya 88 = ? juu ya 11 kuwa taarifa ya kweli.,6,6,11,11,8,8,5,5,A
14,elementary_mathematics,test,Which is the best buy?,Ni ununuzi gani bora zaidi?,10 bars of soap for $23.20,baa 10 za sabuni kwa $23.20,16 bars of soap for $36.48,baa 16 za sabuni kwa $36.48,13 bars of soap for $29.51,baa 13 za sabuni kwa $29.50,12 bars of soap for $27.60,baa 12 za sabuni kwa $27.60,C
15,elementary_mathematics,test,"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?","Mpigo wa moyo wa Trish anapokuwa katika hali ya kupumzika ni mapigo 50 kwa dakika. Kwa kila dakika ya kufanya mazoezi, mpigo wa moyo wake huongezeka mara 5 kwa dakika. Itachukua muda gani ili moyo wake upige mara 120 kwa dakika?",5 minutes,dakika 5,14 minutes,dakika 14,34 minutes,dakika 34,70 minutes,dakika 70,B
16,elementary_mathematics,test,"Find the median in the set of data 23, 13, 18, 29, 32, 25.","Tafuta nambari ya katikati katika seti ifuatayo ya data 23, 13, 18, 29, 32, 25.",18,18,24,24,25,25,29,29,B
17,elementary_mathematics,test,"Jack picks 60 apples from an apple tree. He uses 12 of them to make applesauce. He places the remaining apples equally into 6 gift baskets. Which equation can be used to determine the numberof apples, a, that Jack places into each gift basket?","Jack anachukua matufaha 60 kutoka kwa mti wa matufaha. Anatumia 12 kati ya hayo matufaha kutengeneza mchuzi wa tufaha. Anaweka matufaha yaliyobaki kwa usawa katika vikapu 6 vya zawadi. Ni mlinganyo gani unaweza kutumika kubainisha idadi ya matufaha, a, ambayo Jack anaweka kwenye kila kikapu cha zawadi?",(60/6)—12=a,(60/6)—12=a,(60—12)/6=a,(60—12)/6=a,(60-6)-12=a,(60-6)-12=a,(60+12)/6=a,(60+12)/6=a,B
18,elementary_mathematics,test,A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?,Ramani fulani hutumia kipimo cha inchi 1 sawa na maili 25. Ni maili ngapi zinawakilishwa na inchi 5 kwenye ramani hii?,5,5,25,25,50,50,125,125,D
19,elementary_mathematics,test,Simplify (2 + 5)^2 − 42.,Rahisisha (2 + 5)^2 − 42.,7,7,16,16,30,30,33,33,A
20,elementary_mathematics,test,Find the value of 4 ÷ 2 • 2 + 8 − 4.,Tafuta thamana ya 4 ÷ 2 • 2 + 8 − 4.,-12,-12,12,12,8,8,16,16,C
21,elementary_mathematics,test,A coach rounded the number of runners at a track meet to the nearest 10. The rounded number of runners is 400. Which number could be the actual number of runners at the track meet?,Mkufunzi mmoja alikata hesabu ya wakimbiaji kwenye mashindano ya mbio hadi karibu 10. Idadi ya wakimbiaji iliyofupishwa ni 400. Ni nambari gani inayoweza kuwa idadi halisi ya wakimbiaji katika shindano la mbio za riadha?,382,382,397,397,406,406,447,447,B
22,elementary_mathematics,test,−4 +  ( −3 )=,−4 +  ( −3 )=,-7,-7,-1,-1,1,1,7,7,A
23,elementary_mathematics,test,"Mark has a stamp collection. He has 22 stamps from Japan, 34 from Canada, and 17 from Mexico. How many stamps does he have in all?","Mark ina mkusanyiko wa stempu. Ana stempu 22 kutoka Japani, 34 kutoka Kanada, na 17 kutoka Mexico. Ana mihuri stempu kwa jumla?",53,53,63,63,73,73,83,83,C
24,elementary_mathematics,test,Identify a solution for the equation x + 2.7 = 8.4 from the given numbers.,Tambua suluhisho la mlinganyo x + 2.7 = 8.4 kutoka kwa nambari zilizotolewa.,11.1,11.1,5.7,5.7,3.7,3.7,22.68,22.68,B
25,elementary_mathematics,test,Find the number that makes the statement true: 0.32 g = _ cg.,Tafuta nambari inayofanya taarifa hii kuwa ya kweli: 0.32 g = _ cg.,32,32,3.2,3.2,"3,200","3,200",320,320,A
26,elementary_mathematics,test,Find the product of 5.7(8) mentally using the Distributive Property.,Pata suluhisho la 5.7(8) kiakili kwa kutumia mbinu ya Mali ya Usambazaji.,46.4,46.4,456,456,4.56,4.56,45.6,45.6,D
27,elementary_mathematics,test,"What is the quotient for the expression 2,314 / 4?","Ni nini uwiano kwa usemi huu 2,314 / 4?",508,508,508 r2,508 r2,578,578,578 r2,578 r2,D
28,elementary_mathematics,test,"Rosa has a goal of running a total of 100 miles this month. Each day that she ran, she ran 5 miles. Which expression could Rosa use to determine how many miles she has left to run after running for d days?","Rosa ana lengo la kukimbia jumla ya maili 100 mwezi huu. Kila siku alipokimbia, alikimbia maili 5. Je, Rosa anaweza kutumia usemi gani kubainisha ni maili ngapi amesalia kukimbia baada ya kukimbia kwa siku d?",100 — 5d,100 — 5d,5d+ 100,5d+ 100,100 / 5d,100 / 5d,5d,5d,A
29,elementary_mathematics,test,Identify the algebraic expression that matches the word phrase: 4 times as many cans as Tom collected.,Tambua usemi wa aljebra unaolingana na kishazi cha maneno: mara 4 ya makopo mengi kama Tom alivyokusanya.,4t,4t,t over 4,t juu ya 4,t − 4,t − 4,t + 4,t + 4,A
30,elementary_mathematics,test,"Andrew wrote the number 186,425 on the board. In which number is the value of the digit 6 exactly 10 times the value of the digit 6 in the number Andrew wrote?","Andrew aliandika nambari 186,425 kwenye ubao. Katika nambari gani thamana ya nambari 6 ni sawa na mara 10 ya thamana ya nambari 6 katika nambari Andrew aliandika?","681,452","681,452","462,017","462,017","246,412","246,412","125,655","125,655",B
31,elementary_mathematics,test,What is 123 / 8?,123 /8 ni nini?,15 remainder 7,15 na salio la 7,15 remainder 3,15 na salio la 3,16 remainder 5,16 na salio la 5,16 remainder 1,16 na salio la 1,B
32,elementary_mathematics,test,Write 8 and 2 over 4 as an improper fraction in simplest form.,"Andika 8 na 2 juu ya 4 kama akisami ambayo nambari ya juu ni kubwa kuliko ya chini ,kwa njia rahisi zaidi.",17 over 2,17 juu ya 2,34 over 4,34 juu ya 4,17 over 4,17 juu ya 4,19 over 2,19 juu ya 2,A
33,elementary_mathematics,test,"What expression can be used to show 270,240 written in expanded form?","Ni usemi gani unaweza kutumika kuonyesha 270,240 ikiandikwa kwa njia iliyopanuliwa?","200,000 + 7,000 + 200 + 4","200,000 + 7,000 + 200 + 4","200,000 + 7,000 + 200 + 40","200,000 + 7,000 + 200 + 40","200,000 + 70,000 + 200 + 40","200,000 + 70,000 + 200 + 40","200,000 + 70,000 + 2,000 + 40","200,000 + 70,000 + 2,000 + 40",C
34,elementary_mathematics,test,A worker on an assembly line takes 7 hours to produce 22 parts. At that rate how many parts can she produce in 35 hours?,"Mfanyakazi kwenye mstari wa kusanyiko huchukua muda wa saa 7 kutengeneza sehemu 22. Kwa mwendo huo, anaweza kutengeneza sehemu ngapi katika muda wa saa 35?",220 parts,sehemu 220,770 parts,sehemu 770,4 parts,sehemu 4,110 parts,sehemu 110,D
35,elementary_mathematics,test,"Abe found the mean and median of this list of numbers. 1, 3, 3 If the number 6 were added to the list, then","Abe alipata idadi ya wastani na nambari ya katikati kwa orodha hii. 1, 3, 3 Ikiwa nambari 6 iliongezwa kwenye orodha, basi",the mean would increase.,idadi ya wastani ingeongezeka,the mean would decrease.,idadi ya wastani ingepungua,the median would increase.,nambari ya katikati ingeongezeka,the median would decrease.,nambari ya katikati ingeongezeka,A
36,elementary_mathematics,test,"When n = 11, what is the value of 10 – (n + 6)?","Wakati n = 11, ni nini thamana ya 10 – (n + 6)?",-7,-7,5,5,7,7,27,27,A
37,elementary_mathematics,test,"Which expression represents the phrase below? 3 fewer than a number, p","Usemi gani unawakilisha kifungu hapa chini? 3 ni chache kuliko nambari, p",3-p,3-p,p+3,p+3,3/p,3/p,p-3,p-3,D
38,elementary_mathematics,test,A theater collected $6 for each ticket sold to a movie. The theater sold 500 tickets to the movie. The expression below can be used to find how much money the theater collected for the tickets. 6 × 500 Which expression can also be used to find how much money the theater collected for the tickets?,Jumba la sinema lilikusanya $6 kwa kila tikiti inayouzwa kwa filamu. Jumba hili liliuza tikiti 500 kwa sinema. Usemi ulio hapa chini unaweza kutumiwa kupata kiasi cha fedha ambacho jumba la sinema lilikusanya kwa ajili ya tiketi. 6 × 500 Usemi gani unaweza pia kutumika kupata pesa ngapi jumba la sinema lilikusanya kwa tikiti?,30 × 10^1,30 × 10^1,30 × 10^3,30 × 10^3,(6 × 5) × 10^2,(6 × 5) × 10^2,(6 × 5) × 10^3,(6 × 5) × 10^3,C
39,elementary_mathematics,test,Let 12-9+c=12. What value of c makes the equation true?,Kama 12-9 + c = 12. Ni thamana gani ya c inayofanya mlinganyo huo uwe wa kweli?,0,0,3,3,9,9,12,,C
40,elementary_mathematics,test,"The Sojourn family went on a vacation. They started with $2000. If they spent $150 each day, which expression represents how much money they had after x days?","Familia ya Sojourn ilienda likizo. Walianza na $2000. Ikiwa walitumia $150 kila siku, ni usemi gani unaowakilisha pesa walizokuwa nazo baada ya siku x?",1850x,1850x,2000 −150x,2000 −150x,150x,150x,2000 +150x,2000 +150x,B
41,elementary_mathematics,test,"A shelf has four books on it. The weight, in pounds, of each of the four books on the shelf is 2.5, 3.2, 2.7, 2.3 Which inequality represents the weight, w, of any book chosen from the shelf?","Rafu moja ina vitabu vinne. Uzito, katika paundi, wa kila moja ya vitabu hivyo vinne kwenye rafu ni 2.5, 3.2, 2.7, 2.3 Ni hali gani ya ukosefu wa usawa inawakilisha uzito, w, wa kitabu chochote kilichochaguliwa kutoka kwenye rafu?",w > 2.3,w > 2.3,w < 2.4,w < 2.4,w > 3.2,w > 3.2,w < 3.3,w < 3.3,D
42,elementary_mathematics,test,Which number has an absolute value greater than 5?,Nambari gani ina thamana kubwa kamili kuliko 5?,-6,-6,-5,-5,0,0,5,5,A
43,elementary_mathematics,test,What is the value of the expression 2(3(4^2 + 1)) - 2^3?,Thamana ya usemi huu ni gani 2(3(4^2 + 1)) - 2^3?,156,,110,,94,,48,,C
44,elementary_mathematics,test,"Gwen wrote the number pattern below on a piece of paper. 1, 5, 9, 13 What are the next two terms in Gwen’s pattern?","Gwen aliandika mtindo huu wa nambari kwenye kipande cha karatasi. 1, 5, 9, 13 Je, ni nambari gani mbili zinazofuata katika mtindo wa Gwen?","15, 17","15, 17","15, 19","15, 19","17, 19","17, 19","17, 21","17, 21",D
45,elementary_mathematics,test,If 3 cans of pears cost $2.37 how many cans of pears can you buy for $9.48?,Ikiwa makopo 3 ya matunda ya pea yanagharimu $2.37 ni makopo mangapi ya pea unaweza kununua kwa $9.48?,3 cans,makopo 3,12 cans,makopo 12,36 cans,makopo 36,13 cans,makopo 13,B
46,elementary_mathematics,test,"Order from greatest to least: 3, 3 and 1 over 8,3.8,3.18.","Orodhesha kutoka kubwa hadi ndogo: 3, 3 na 1 juu ya 8,3.8,3.18.","3.18, 3 and 1 over 8, 3.8,3","3.18, 3 na 1 juu ya 8, 3.8,3","3,3 and 1 over 8, 3.18, 3","3,3 na 1 juu ya 8, 3.18, 3","3.8, 3 and 1 over 8, 3.18, 3","3.8, 3 na 1 juu ya 8, 3.18, 3","3.8, 3.18, 3 and 1 over 8, 3","3.8, 3.18, 3 na 1 juu ya 8, 3",D
47,elementary_mathematics,test,Compute 22 / 2 + 9.,Hesabu 22 / 2 + 9.,10,10,11,11,20,20,2,2,C
48,elementary_mathematics,test,"The population of a certain city is 836,527. What is the population of this city rounded to the nearest ten thousand?","Idadi ya wakazi wa jiji fulani ni 836,527. Je, Idadi ya wakazi wa mji huu itakuwa ngapi ikiwa itafupishwa hadi karibu elfu kumi?","800,000","800,000","830,000","830,000","836,000","836,000","840,000","840,000",D
49,elementary_mathematics,test,Find the product of 5 • (−9).,Pata suluhisho la 5 • (−9).,14,14,-4,-4,45,45,-45,-45,D
50,elementary_mathematics,test,"Keiko spent the day bird watching and counted 34 more birds in the morning than in the afternoon. If she counted a total of 76 birds, how many birds did she count in the afternoon?","Keiko alitumia siku nzima kutazama ndege na alihesabu ndege 34 zaidi asubuhi kuliko alasiri. Ikiwa alihesabu jumla ya ndege 76, alihesabu ndege wangapi mchana?",21 birds,ndege 21,40 birds,ndege 40,42 birds,ndege 42,84 birds,ndege 84,A
51,elementary_mathematics,test,What is the value of 5 + 2 • 15 + (12 • 4)?,Ni nini thamana ya 5 + 2 • 15 + (12 • 4)?,78,78,83,83,131,131,153,153,B
