question	answer	prompt	gpt_4	verbalized
Programe nshya ifite amadosiye yakuyemo 60 mukwezi kwa mbere, umubare wamadosiye yakuyemo mukwezi kwa kabiri wariwikubye gatatu yumubare yukwezi kwa mbere, ariko byagabanyijeho 30% mukwezi kwa gatatu. Ni dosiye zingahe programe ya dawunilodize mu mezi atatu ?	366	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nPrograme nshya ifite amadosiye yakuyemo 60 mukwezi kwa mbere, umubare wamadosiye yakuyemo mukwezi kwa kabiri wariwikubye gatatu yumubare yukwezi kwa mbere, ariko byagabanyijeho 30% mukwezi kwa gatatu. Ni dosiye zingahe programe ya dawunilodize mu mezi atatu ?\n'}]	270	270
Toula yegiye ahobakorera imigati agura imigati itandukanye, yaguze udupaki 3 twacuminatubiri  kugiciro cya $68 kuri buri  karito ya cumi na tubiri, udupaki duto tubiri byatwaye $80 kuri buri gapaki. Nudukarito 6 twacumi natubiri udukeki dutoya kuri &55 kugakarito. Byose hamwe byatwaye angahe ?	694	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nToula yegiye ahobakorera imigati agura imigati itandukanye, yaguze udupaki 3 twacuminatubiri  kugiciro cya $68 kuri buri  karito ya cumi na tubiri, udupaki duto tubiri byatwaye $80 kuri buri gapaki. Nudukarito 6 twacumi natubiri udukeki dutoya kuri &55 kugakarito. Byose hamwe byatwaye angahe ?\n'}]	1256	1256
Carlos aligutera igiti cyi ndimu, Bizatwara $90 gutera icyo giti. Buri mwaka kizabyara indimu 7 ashobora kuzagurisha $1.5 buri ndimu. Bitwara $3 ku mwaka  mukukivomera nokugifumbira. Bizafata imyaka ingahe mbere yuko atangira kubona umusaruro wo kugiti cyi ndimu?	13	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nCarlos aligutera igiti cyi ndimu, Bizatwara $90 gutera icyo giti. Buri mwaka kizabyara indimu 7 ashobora kuzagurisha $1.5 buri ndimu. Bitwara $3 ku mwaka  mukukivomera nokugifumbira. Bizafata imyaka ingahe mbere yuko atangira kubona umusaruro wo kugiti cyi ndimu?\n'}]	5	5
Melanie ni umugore wumuzunguzaji, Yagurisheje kimwe cyagatatu kimashini isukura kunzu yicyatsi, izindi ebyiri kunzu itukura , igice  kizasigaye azigurisha kunzu ya oranje. Niba Melanie  afite imashini zisukura 5 zisigaye, nizingahe yatangiranye ?	18	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nMelanie ni umugore wumuzunguzaji, Yagurisheje kimwe cyagatatu kimashini isukura kunzu yicyatsi, izindi ebyiri kunzu itukura , igice  kizasigaye azigurisha kunzu ya oranje. Niba Melanie  afite imashini zisukura 5 zisigaye, nizingahe yatangiranye ?\n'}]	15	15
Mwishuri ryo kubyina rifite abanyeshuri 20, 20% biyandikishije mubyino zijyezweho, 25% yabasigaye biyandikishije mubyino ya jazz, abasigaye biyandikishije  mubyino ya hip-hop. Nibangahe kwijana kubanyishuri bose biyandikishije mubyino ya hip-hop?	60	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nMwishuri ryo kubyina rifite abanyeshuri 20, 20% biyandikishije mubyino zijyezweho, 25% yabasigaye biyandikishije mubyino ya jazz, abasigaye biyandikishije  mubyino ya hip-hop. Nibangahe kwijana kubanyishuri bose biyandikishije mubyino ya hip-hop?\n'}]	12	12
Umucuruzi arashaka guhitamo ibyo kugura hagati ya gahunda 2 zubugure. Imitako ifite agaciro ka &5000 cyangwa ibikoresho bya  elegitoronike bifite agac iro ka $8000. Umujyanama we mubyi mibare avugako isoko ryimitako rizazamuka kujyera 2.5% mu gihe isoko ryibikoresho bya elegitoroniki rizazamuka 1,2% mu kwezi kumwe. Niba umucuruzi ashaka kongera inyungu mumpera zu kwezi akoresheje amahitamo , nangahe yinyungu azaba afite ?	125	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUmucuruzi arashaka guhitamo ibyo kugura hagati ya gahunda 2 zubugure. Imitako ifite agaciro ka &5000 cyangwa ibikoresho bya  elegitoronike bifite agac iro ka $8000. Umujyanama we mubyi mibare avugako isoko ryimitako rizazamuka kujyera 2.5% mu gihe isoko ryibikoresho bya elegitoroniki rizazamuka 1,2% mu kwezi kumwe. Niba umucuruzi ashaka kongera inyungu mumpera zu kwezi akoresheje amahitamo , nangahe yinyungu azaba afite ?\n'}]	5075	5075
Gari ya moshi ibyiri zavuye San Rafael mugihe kimwe, Zerekeza uburengera zuba, zose zijyenda ibirometro 80.Umunsi ukurikiyeho zerekeje amajyaruguru, zijyenda kirometro 150. Ni kirometro zingana iki zajyezwe na buri gariya moshi muminsi ibiri ?	230	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nGari ya moshi ibyiri zavuye San Rafael mugihe kimwe, Zerekeza uburengera zuba, zose zijyenda ibirometro 80.Umunsi ukurikiyeho zerekeje amajyaruguru, zijyenda kirometro 150. Ni kirometro zingana iki zajyezwe na buri gariya moshi muminsi ibiri ?\n'}]	460	460
Jill yishyurwa $20 kwisaha mukwigisha na $30 zumutoza mukuru wabafana. Niba akora ibyumweru 50 mumwaka , amasaha 35  mucyumweru na amasaha 15 mucyumweru  nkumu tuzo mukuru, Na ngahe ahebwa kumwaka ?	57500	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nJill yishyurwa $20 kwisaha mukwigisha na $30 zumutoza mukuru wabafana. Niba akora ibyumweru 50 mumwaka , amasaha 35  mucyumweru na amasaha 15 mucyumweru  nkumu tuzo mukuru, Na ngahe ahebwa kumwaka ?\n'}]	54500	54500
Claire ateka umureti wamajyi 3 buri mugitondo yogusamura. Azarya amajyi angahe mubyumweru 4?	7	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nClaire ateka umureti wamajyi 3 buri mugitondo yogusamura. Azarya amajyi angahe mubyumweru 4?\n'}]	84	84
Marissa arigukora urujyendo rwa kirometro 12. Byamufashe isaha 1  kujyenda kirometro za mbere 4 , arojyera akoresha isaha 1  kujyenda izindi kirometro ebyiri.  Niba ashaka ko umuvuduko we waba kirometro 4 kwisaha , ni uhuhe muvuduko agomba gukoresha kujyenda kilometro zisigaye ?	6	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nMarissa arigukora urujyendo rwa kirometro 12. Byamufashe isaha 1  kujyenda kirometro za mbere 4 , arojyera akoresha isaha 1  kujyenda izindi kirometro ebyiri.  Niba ashaka ko umuvuduko we waba kirometro 4 kwisaha , ni uhuhe muvuduko agomba gukoresha kujyenda kilometro zisigaye ?\n'}]	6	6
Nfite litilo 10 zumutobe wa oranje wokunkwa, uyu ufite kimwe cya gatatu cya mazi kandi ndashaka kuwongera  kuri litilo 15 zumutobe wokunkwa  winanasi ufite bitatu byagatanu byamazi .Ariko mugihe narindi kuwusuka namenrye litilo 1 yumutobe wa oranje. Hasigaye amazi angana iki muri litiro 24 ?	15	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nNfite litilo 10 zumutobe wa oranje wokunkwa, uyu ufite kimwe cya gatatu cya mazi kandi ndashaka kuwongera  kuri litilo 15 zumutobe wokunkwa  winanasi ufite bitatu byagatanu byamazi .Ariko mugihe narindi kuwusuka namenrye litilo 1 yumutobe wa oranje. Hasigaye amazi angana iki muri litiro 24 ?\n'}]	7	7
Raymond na Samantha nababyara , Raymond yavutse imyaka 6 mbere ya Samantha. Raymond yarafite umuhungu muto ubwo yagiraga imyaka 23. Niba ubu Samantha afite  31, hashize imyaka ingahe umuhungu wa Raymond avutse ?	14	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nRaymond na Samantha nababyara , Raymond yavutse imyaka 6 mbere ya Samantha. Raymond yarafite umuhungu muto ubwo yagiraga imyaka 23. Niba ubu Samantha afite  31, hashize imyaka ingahe umuhungu wa Raymond avutse ?\n'}]	8	8
Billy agurisha ama DVD. Aba afiti abaguzi 8 kuwa kabiri. Abaguzi 3 bambere bagura DVD imwe buriwese. Abaguzibe bandi babiri bagura DVD ebyiri buri wese. Abaguzi be 3 banyuma  ntabwo bagura DVD. Ni DVD zingahe BIlly yagurishije kuwa kabiri ?	7	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nBilly agurisha ama DVD. Aba afiti abaguzi 8 kuwa kabiri. Abaguzi 3 bambere bagura DVD imwe buriwese. Abaguzibe bandi babiri bagura DVD ebyiri buri wese. Abaguzi be 3 banyuma  ntabwo bagura DVD. Ni DVD zingahe BIlly yagurishije kuwa kabiri ?\n'}]	10	10
Buje yashonje santimetelo 2 buri saha ijyenda yaka. Izaba ari santimetelo zingahe ho  ngufi buje izaba ari nyuma yo kwaka  guhera 1:00pm  kujyeza 5:00pm? 	8	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nBuje yashonje santimetelo 2 buri saha ijyenda yaka. Izaba ari santimetelo zingahe ho  ngufi buje izaba ari nyuma yo kwaka  guhera 1:00pm  kujyeza 5:00pm? \n'}]	8	8
Kyle yaguze igitabo cyagurishwaga cyane umwka ushize  kuri $19.50. Hano niwongeyeho ikatura rya 25% kugiciro ya mbere. Na ngahe yari igiciro yambere cyigitabo ?	26	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nKyle yaguze igitabo cyagurishwaga cyane umwka ushize  kuri $19.50. Hano niwongeyeho ikatura rya 25% kugiciro ya mbere. Na ngahe yari igiciro yambere cyigitabo ?\n'}]	15.6	15
Marie yatumije inkoko yokurya ya $12, udupaki 5 twamata twa $3 buri gapaki, marakuja 4  za $1.50 buri marakuja nandi makarito ya pizza. Marie yishyuye yose hamwe  $50. Ni amakarito angahe ya pizza Marie yatumeji niba buri karito yagurishwaga $8.50?	2	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nMarie yatumije inkoko yokurya ya $12, udupaki 5 twamata twa $3 buri gapaki, marakuja 4  za $1.50 buri marakuja nandi makarito ya pizza. Marie yishyuye yose hamwe  $50. Ni amakarito angahe ya pizza Marie yatumeji niba buri karito yagurishwaga $8.50?\n'}]	2	2
Mishka yaguze amakabutura 3 , amakariso 3  ni nkweto 3 . ikabutura imwe yaguzwe $ 16.50. ikariso imwe yaguzwe $22.50 na urukweto rumwe rugurwa $42.  Namadolali angahe Mishka yakoresheje mukugura iyi myambaro yose ?	243	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nMishka yaguze amakabutura 3 , amakariso 3  ni nkweto 3 . ikabutura imwe yaguzwe $ 16.50. ikariso imwe yaguzwe $22.50 na urukweto rumwe rugurwa $42.  Namadolali angahe Mishka yakoresheje mukugura iyi myambaro yose ?\n'}]	229	229
Cynthia arya ice krimu buri nimugoroba. Yaguze udu karito 15  twa ice krimu kuri $4.00 buri gakarito. Nyuma yiminsi 60, nangahe azaba akoresheje kuri  ice krimu ? 	16	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nCynthia arya ice krimu buri nimugoroba. Yaguze udu karito 15  twa ice krimu kuri $4.00 buri gakarito. Nyuma yiminsi 60, nangahe azaba akoresheje kuri  ice krimu ? \n'}]	3600	3600
Henry yahagaze  inshuro ebyiri ari kujyendesha igare kirometero 60. ubwa mbere yahagaze nyuma ya kirometero 20. Yongeye guhagarara kirometero 15 mbere yuko arangize urujyendo rwe. Yajyenze kirometero zingahe hagati yaho yahagaze  bwa mbere naho yahagaze bwa nyuma ?	25	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nHenry yahagaze  inshuro ebyiri ari kujyendesha igare kirometero 60. ubwa mbere yahagaze nyuma ya kirometero 20. Yongeye guhagarara kirometero 15 mbere yuko arangize urujyendo rwe. Yajyenze kirometero zingahe hagati yaho yahagaze  bwa mbere naho yahagaze bwa nyuma ?\n'}]	25	25
Gloria agura inkweto iyo abonye umuguru ujyanye namafaranga ateganyijwe yokugura inkweto, agomba guhitamo hagati yinkweto zisazwe nizindi zifite talo zamafaranga  amadolali atanu 5  hasi yigiciro  cy'inkweto zisazwe. Niba umuguru winkweto za talo ari $33 nizindi ari inshuro ebyiri yizambere. Nangahe baguru umuguru wa bote ?	104	"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nGloria agura inkweto iyo abonye umuguru ujyanye namafaranga ateganyijwe yokugura inkweto, agomba guhitamo hagati yinkweto zisazwe nizindi zifite talo zamafaranga  amadolali atanu 5  hasi yigiciro  cy'inkweto zisazwe. Niba umuguru winkweto za talo ari $33 nizindi ari inshuro ebyiri yizambere. Nangahe baguru umuguru wa bote ?\n""}]"	66	66
Imyaka ya Darrell na  Allen nimwijyereranya 7:11. niba imyaka yabo yose ari 162,  bara imyaka ya Allen imyaka 10  guhera ubu.	109	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nImyaka ya Darrell na  Allen nimwijyereranya 7:11. niba imyaka yabo yose ari 162,  bara imyaka ya Allen imyaka 10  guhera ubu.\n'}]	116	116
Gunter arikujyerajyeza kubara ibishyimbo mwijage, yabajije inshuti ze kumubwira umubare wibishyimbo  bakeka kuba muri iyo jage. umwe yavuze 80, undi avuga  20 arenze kimwe cyakabiri  cyuwambere.  uwagatatu yavuze  25% kurusha uwambere .  Wafatira kurikangahe kubujyereranye bwabo ? 	80	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nGunter arikujyerajyeza kubara ibishyimbo mwijage, yabajije inshuti ze kumubwira umubare wibishyimbo  bakeka kuba muri iyo jage. umwe yavuze 80, undi avuga  20 arenze kimwe cyakabiri  cyuwambere.  uwagatatu yavuze  25% kurusha uwambere .  Wafatira kurikangahe kubujyereranye bwabo ? \n'}]	125	125
John yita kubwa 10. buri bwa ifata amasaha 5 kumunsi kujyenda no kwita kubuchuruzi bwazo, Na masaha angahe akoresha  mucyumweru  mukwita kubwa ?	35	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nJohn yita kubwa 10. buri bwa ifata amasaha 5 kumunsi kujyenda no kwita kubuchuruzi bwazo, Na masaha angahe akoresha  mucyumweru  mukwita kubwa ?\n'}]	35	35
Gretchen afite ibiceri 110, hari ibindi biceri 30 byazahabu kurusha ibiceri bya feda, Nibi ceri bingahe bya zahabu  Gretchen  afite?	70	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nGretchen afite ibiceri 110, hari ibindi biceri 30 byazahabu kurusha ibiceri bya feda, Nibi ceri bingahe bya zahabu  Gretchen  afite?\n'}]	140	140
Siobhan afite imitako 2 kurusha Aaron. Aaron afite imitako 5 kurusha  kimwe cyakabiri kimitako Raymond afite.  Ni ba Raymond afite imitako 40, ni imitako ingahe  Siobhan afite ? 	23	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nSiobhan afite imitako 2 kurusha Aaron. Aaron afite imitako 5 kurusha  kimwe cyakabiri kimitako Raymond afite.  Ni ba Raymond afite imitako 40, ni imitako ingahe  Siobhan afite ? \n'}]	47	47
Mike akina ping pong iminota 40, muminota yambere 20 yatsinze amanota 4. Muminota yindi 20 yatsinze 25% ayandi manota. na manota angahe yose hamwe yatsinze ?	9	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nMike akina ping pong iminota 40, muminota yambere 20 yatsinze amanota 4. Muminota yindi 20 yatsinze 25% ayandi manota. na manota angahe yose hamwe yatsinze ?\n'}]	8	8
Terry arya yogati 2 ku munsi. Ubu baragurisha yogati 4 ku $5.00 Na ngahe akoresha kuri yogati  muminsi 30 ?	75	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nTerry arya yogati 2 ku munsi. Ubu baragurisha yogati 4 ku $5.00 Na ngahe akoresha kuri yogati  muminsi 30 ?\n'}]	60	60
John aratenganya kugurisha ibikinisho bye byose kandi agakoresha amafaranga  kugura  ibikinisho bya  videwo. Afite  amaseti 13 ya lego kandi azigurisha  $15 buri set.  Yarangije aguze  videwo 8 zimikino kuri $20 buri videwo kandi asigaje 5. Ni lego zingahe za maseti asigaranye ?	2	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nJohn aratenganya kugurisha ibikinisho bye byose kandi agakoresha amafaranga  kugura  ibikinisho bya  videwo. Afite  amaseti 13 ya lego kandi azigurisha  $15 buri set.  Yarangije aguze  videwo 8 zimikino kuri $20 buri videwo kandi asigaje 5. Ni lego zingahe za maseti asigaranye ?\n'}]	0	0
John yiruka kirometero 60 mucyumweru. Yiruka iminsi 3 mucyumweru. Yiruka amasaha 3  ku munsi wa mbere  nigice kurusha  indi minsi  ibiri yiruka. Yiruka umuvuduko ungana iki ?	10	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nJohn yiruka kirometero 60 mucyumweru. Yiruka iminsi 3 mucyumweru. Yiruka amasaha 3  ku munsi wa mbere  nigice kurusha  indi minsi  ibiri yiruka. Yiruka umuvuduko ungana iki ?\n'}]	20	20
Dana ashobora kwiruka kumuvuduko inshyuro enye kurusha iyo ajyenda, ariko ashobora gusimbuka kumuvuduko kimwe cya kabiri  cyuko yirukanga.  Niba ashobora  gusimbuka  kirometero 3 kwisaha, ni kirometero zingahe ashobora kujyenda  mumasaha atandatu niba akoresheje  kimwe  cya gatatu kigihe cyokwiruka na bibiri bya gatatu byigihe cyo kujyenda?	18	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nDana ashobora kwiruka kumuvuduko inshyuro enye kurusha iyo ajyenda, ariko ashobora gusimbuka kumuvuduko kimwe cya kabiri  cyuko yirukanga.  Niba ashobora  gusimbuka  kirometero 3 kwisaha, ni kirometero zingahe ashobora kujyenda  mumasaha atandatu niba akoresheje  kimwe  cya gatatu kigihe cyokwiruka na bibiri bya gatatu byigihe cyo kujyenda?\n'}]	18	18
Iphone  ya  Brandon ishaje inshuro enye kurusha iphone ya Ben. Iphone ya Ben ishaje inshuro ebyiri kurusha iphone ya suzy. Niba Iphone ya Suzy ari umwaka 1 , iphone ya Brandon  ifite imyaka ingahe ?	8	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nIphone  ya  Brandon ishaje inshuro enye kurusha iphone ya Ben. Iphone ya Ben ishaje inshuro ebyiri kurusha iphone ya suzy. Niba Iphone ya Suzy ari umwaka 1 , iphone ya Brandon  ifite imyaka ingahe ?\n'}]	8	8
Ikiyoka kinini, perg , cyicaye hejuru yumusozi wa farbo, gihumeka  umuriro ku kintu icyo aricyo  cyose  kiri hagati ya metro 1000. Polly yashoboraga guta javelin ya zahabu, intwaro yonyine izwi  yashoboraga  gukubita igisato, intera ya metero 400, neza numuriro winzoka. Ariko mugihe polly yafashe ibuye  rya safiro, yashoboraga kujugunya icumu inshuro eshatu  ugereranije nogudafata ibuye ryamabuye yagaciro. Niba  afasha ibuye ryagaciro , ni kure hangana iki kure yumuriro winzoka  polly yashoboraga kuhagarara kandi agashobora gukubita  inzoka akoresheje icumu rya javelin ?	200	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nIkiyoka kinini, perg , cyicaye hejuru yumusozi wa farbo, gihumeka  umuriro ku kintu icyo aricyo  cyose  kiri hagati ya metro 1000. Polly yashoboraga guta javelin ya zahabu, intwaro yonyine izwi  yashoboraga  gukubita igisato, intera ya metero 400, neza numuriro winzoka. Ariko mugihe polly yafashe ibuye  rya safiro, yashoboraga kujugunya icumu inshuro eshatu  ugereranije nogudafata ibuye ryamabuye yagaciro. Niba  afasha ibuye ryagaciro , ni kure hangana iki kure yumuriro winzoka  polly yashoboraga kuhagarara kandi agashobora gukubita  inzoka akoresheje icumu rya javelin ?\n'}]	1200	1200
Nyogokuru Jones yatetse pome 5 ryifunguro rya sasita ryumugabo ukora bubyumuriro. Yakase pie mubice 8 nuko yohereza pie 5 kumeza yabashitsi ngo bashobore kwihereza. mumpera  zumugoroba nyuma ko abashitsi  bafashe nukurya ibice byabo bya pie, hasigaye pie 14. Nibice bingahe byafashwe nabashitsi?	26	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nNyogokuru Jones yatetse pome 5 ryifunguro rya sasita ryumugabo ukora bubyumuriro. Yakase pie mubice 8 nuko yohereza pie 5 kumeza yabashitsi ngo bashobore kwihereza. mumpera  zumugoroba nyuma ko abashitsi  bafashe nukurya ibice byabo bya pie, hasigaye pie 14. Nibice bingahe byafashwe nabashitsi?\n'}]	3	3
Ukurikije amakuru yimirire myiza , umufuka wifiliriti ufite karori 250  kuri buri serivise. Niba igikapu cya 300g gifite serivise 5, ni garama zingahe ushobora kurya  niba intego yawe ya karorine  ya buri munsi  ari 2000 kandi ukaba umaze kurya karoreni 1800?	48	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUkurikije amakuru yimirire myiza , umufuka wifiliriti ufite karori 250  kuri buri serivise. Niba igikapu cya 300g gifite serivise 5, ni garama zingahe ushobora kurya  niba intego yawe ya karorine  ya buri munsi  ari 2000 kandi ukaba umaze kurya karoreni 1800?\n'}]	100	100
