Unnamed: 0	question	answer	gpt-4
10	A new procedure is repeated 60 times in the first month. The number of repetitions in the second month is three times more than in the previous month. Then the calculation is repeated for the remaining 30% in the third month. After all, how many times do we repeat the procedure in three months?	366	240 times
11	Toula bought several bags of bread from the bakery. She bought three bags of twelve loaves of bread for $68, two bags of twelve small cakes for $80, and six bags of twelve small cakes for $55. How many bags did she buy?	694	toula bought 11 bags.
12	carlos wants to plant a single lemon tree. the average annual yield is 90 f. a year a tree will produce about 7 lemons that we will harvest if it costs 1.5 f per ton. the life expectancy of the tree is 3 f years. how many years does carlos have to wait for his lemon tree to be able to generate income.	13	3 years
13	Melanie is a housewife. When she bought the white house, she sold a third of the cats, then sold two of the red houses, and finally sold the remaining third of the orange house. If Melanie had 5 cats, how many cats did she own?	18	melanie owned 15 cats.
14	If a dance studio has 20 dancers, 20% of them are new dancers, 25% are jazz dancers, and the rest are hip hop dancers. How many of them are hip hop dancers?	60	12 dancers.
15	A seller chooses between two options: buy a piece of furniture that costs $5000 or buy a piece of furniture that costs $8000. if the seller calculates a financial gain of 2.5% on the sale of a piece of furniture as well as 1.2% on the sale of a piece of furniture in a month, if the seller makes a decision to increase the price of a piece of furniture to make money in the next month, how much will his profit increase?	125	$40.
16	Two buses travel to San Rafael in one hour. We continue to drive to the end of the tunnel and then they both run about 80 miles. The next day, they travel to the end of the tunnel for about 150 miles. What is the distance between the buses that ran those two days?	230	0 miles
17	Jill's tuition is $20 an hour, and Bud's tuition is $30 an hour. If she works 35 hours a week teaching and 15 hours a week caring for the kids, how much does she make a year?	57500	$52,000
18	To put it another way, Claire gets up three o'clock every morning. How many times a dozen o'clock does she have to eat for four weeks?	7	84 times
19	Marissa walks the 12 miles in one go. She takes an hour to walk the 4 miles of the U.S., and then another hour to walk the next two miles. If she wants half of her sister's mileage, she walked the 4 miles an hour before, how much of her sister's mileage (that's one mile an hour) should she use to calculate the remaining distance?	6	6 miles
20	There are 10 gallons of water, about two-thirds of the way. Doesn't anyone want to mix 15 gallons of pineapple water, or maybe a gallon of water? How many gallons of water are left in 24 gallons?	15	9 gallons
21	Raymond and Samantha are cousins. Raymond gave birth to Samantha a year before she was 23 years old. If Samantha is now 31 years old, how old are Raymond's children?	14	10 years old.
22	Billy sells DVDs. On Tuesday, he has 8 customers. 3 first customers buy one DVD, the next 2 customers buy 2, and the last 3 buy nothing. How many DVDs did Billy sell on Tuesday?	7	9 dvds
23	one of the drill holes has collapsed to a depth of about 2 centimeters per hour. how many centimeters does the drill hole miss when measured from 13H to 17H?	8	16 centimeters
24	Kyle bought the book more than it sold last year at $19.50, even though we returned 25% of the book's sales. How much did your book cost?	26	$26.00
25	Marie managed to buy a 12-dollar house, five 3-dollar apple cartons, three apples for $1.50 each, and a bag of pizza. Marie managed to buy everything for $50 each. If a bag of pizza costs $8.50, how many bags did Marie manage to buy?	2	5 bags
26	Marie bought 3 pairs of shorts, 3 pairs of socks, and 3 pairs of shoes. A pair of shorts cost $16.50, a pair of socks cost $22.50 and a pair of shoes cost $42. How much did Mishka pay to buy everything?	243	marie paid $243.
27	Cynthia eats the glass as a snack every night. She buys cartons of 15 snacks each, which cost $4.00 each. After 60 days of eating, how many bottles will she have to buy?	16	120 bottles
28	Henry's two trips were unsuccessful and he had to drive 60 miles. His first rest was 20 miles, and he rested 15 miles before completing the trip. How many miles did he drive between the two rest stops?	25	25 miles
29	Instead of buying shoes, Gloria found a pair of shoes that would increase her price. But she had to choose between a pair of shoes or two pairs of high-heeled shoes, both of which cost five dollars less than the price of the shoes. If the price of one pair of high-heeled shoes was $33 and the price of the other pair was twice as much, how much was the price of the shoes?	104	$76
30	Darell and Allen's ages are equal to 7:11 since the sum of their ages is now 162, making Allen's age ten years.	109	allen is 99 years old.
31	Gunter tries to count the number of holes in each hole. He asks his friends to calculate the number of holes in the hole. One of them says 80. The other says he gave half as much as the one who gave 20. The third says he gave 25% more than the one who gave? What is the number of half as much as they gave?	80	10
32	Jean takes care of ten dogs. Does a dog need 0.5 hours a day to walk and do anything else? How many hours does Jean take a day to take care of the dogs?	35	5 hours
33	Gretchen has 110 medals. The gold medals outnumber the silver medals by 30. How many gold medals does Gretchen have?	70	70 gold medals.
34	Siobhan has two fewer legs than Aron. Aron has ten more legs than Raymond. If Fekke has 40 legs like Raymond, how many legs does Siobhan have?	23	38 legs
35	Mike scored 4 points in the first 20 games. He scored 25% more points in the next 20 games. How many points did he score in total?	9	mike scored a total of 105 points.
36	Terry eats 2 yogurts a day on Sundays, and we sell 4 yogurts for $5. How much would you pay for 30 yogurts?	75	$37.50
37	Jean wanted to sell all the furniture and then used the money to buy video games, including 13 lego games, which she sold for $15 each. Finally, she bought 8 video games that sold for $20 each, which sold for $5 each. How many lego games are there?	2	13 lego games
38	Jean runs 60 miles a day every week. She runs 3 times a week. The first day she ran for 3 hours, the other two times she ran twice as little. Is Lann her doctor?	10	no.
39	A running horse is three times as fast as a walking horse, and if it stops it is twice as fast as a running horse. If it stops at a speed of 3 miles per hour, how many miles can it run in one hour, if you know how it does 1/3 of its running time and 2/3 of its walking time?	18	9 miles
40	Brandon's iPhone is three times as old as Ben's. Ben's iPhone is twice as old as Suzy's. If Suzy's iPhone is 1 year old, how old is Brandon's iPhone?	8	6 years old
41	Perg, the giant snowflake, flew over Farbo's moon and plunged the snowflake 1,000 feet into the air. Polly could have won the gold medal, a weapon that could have captured the snowflake, with a 400-foot cannon, very close to the fire. If Polly could have captured the sapphire moon, I could have thrown it at least three times. If Polly could have captured the sandstone, with the cannon, Polly would have stood in front of the fire, and could have captured the snowflake.	200	polly could not have captured the snowflake.
42	Mrs. Jones cooked ten apple cakes to light the fire. Then she cut an eight-thousand-dollar cake and spread the cakes on the dining-table for someone to eat. When it was time for breakfast, all the cows had eaten their food, and there were fourteen thousand. How many thousand cows were there?	26	14
43	According to a nutritionist, one bag of potato chips produces 250 calories of protein. If a 300-g bag produces 5 calories of protein, how many potato chips would you eat if you didn't know how many calories you would eat a day in 2000 if you had eaten 1,800 calories?	48	60 potato chips
44	Charlie wants to sell his meat-packing boxes. A hundred meat-packing boxes will make him make 10 brown meat-packing boxes. A book of meat-packing boxes costs $10. Since he makes and sells 20 meat-packing boxes, how many people know that a meat-packing bowl costs $2.00?	20	the information provided does not allow for determining how many people know the cost of a meat-packing bowl.
45	Meredith is currently self-employed and her healthcare consulting firm gives her clients a four-hour workday, based on a thorough review of the entire document. Last week, she wrote five letters to the editor and two-fifths to the editor. Alarba wrote twice as much as she did on Tuesday.	104	meredith wrote seven letters to the editor last week.
46	When she went to work at the coffee shop, Candice made 80 little notes that she would write for the rest of the day in her bag. One day, she stopped to buy a large box of these notes. When she finished her work, she had 220 copies of each of these notes. If she had only 23 little notes left to write, how many notes would she have had to buy?	163	197 notes.
47	Jean bought the red carpets for twice the price of the red carpets. The red carpets were 50% more expensive than the red carpets. She bought the red carpets for $200 and the red carpets for $40 each. How much did Jean buy?	800	jean bought the red carpets for $240.
48	To maintain the records of her childhood, Tracy used a 4-foot-long iron bar. The bar was cut into 6-inch-long pieces. How many pieces were there?	8	8 pieces
49	Richard lives in a house in a 15-story building. There are 8 houses in the building. If we know that 3/4 of the building is occupied by us, how many houses are there that are not occupied by us?	30	5 houses
50	Lloyd was the sole owner. His brothers made 252 eggs a day and sold them for $2 a dozen. How many eggs would Lloyd have had?	294	lloyd would have had 252 eggs.
51	Tom's boat can run up to 10 miles per hour. If it hits the sea between 13H and 16H, then it will take its way back home at a speed of 6 miles per hour. How long will it take to get back?	5	it will take 10/6 hours to get back.
52	Uriah's pocket was too heavy for him. he had to turn over a 15-pound sheet. a book weighing 1/4 of a pound and a child's pencil weighing 1/2 of a pound. if he had 30 books, how many would be left to solve the pencils?	15	29 books.
53	A catamaran maker sets up shop to make large and small catamaran spirits. A large catamaran spirits costs $60, and a small catamaran spirits costs $40. Alxamis made 6 small catamaran spirits and 4 small catamaran spirits, but he did not make 12 small catamaran spirits and did not make large catamaran spirits. The day he had more than he used to, how many catamaran spirits did he make?	40	10
54	Doubtfire's daughters danced at the burning of the animals and became the mothers of 7 kittens who were brought to the house to be trained to care for them. When we returned home, their mother called them and told them how their two kittens had been adopted. She said that Patchy's kittens were three times the number of kittens that the women had taken into care of, and Trixie, the other cat, had 12 kittens. How many kittens has the family of Doubtfire adopted now?	40	the family has adopted 15 kittens.
55	John had three pairs of shoes to eat, two pairs of shoes to wear, and two pairs of shoes to wear. How many pairs of shoes did John wear?	14	4 pairs of shoes.
56	Pierre wants to go to the movies every week. He buys a ticket for $7 and $7 for everyone else's tickets. If he has $42 a week, how many times can he go to the movies?	3	pierre can go to the movies 3 times a week.
57	A large luggage carrier is preparing to sell a luxury car that costs less than 5000 livres. A large carrier made of identical boilers whose design costs 15 livres each. If you add the driver's design and the empty carrier together, it costs 3755 livres. How many boilers can we make a large car that does not exceed its capacity?	83	19 boilers.
58	Stéphane buys a piece of fruit from a vending machine. His bill for all the lime he buys is $40.00 . but in order to convince him to stay, he increases the price of our bill by 25% so he increases the price by $3.00 that same year. Stéphane may raise the price by $4.00 that same year. If we calculate the price of everything, how much did Stéphane save?	57	stéphane saved $1.00.
59	A single grape has 6 bunches of 20 berries, and 67 berries are removed and planted in small trees. How many berries are in total?	187	120 berries
60	A bunch of twenty-five eggs is only one egg, twenty-five eggs are not, two eggs are all good. How many eggs are good?	17	one egg is good.
61	Janet bought her daughter a car from a factory. She spent $500 to buy the equipment, then spent $800 to build a car factory, and she spent 10% of that money to maintain it. How much did she spend?	1430	$1380
62	If, for example, Marky had rented the same place for 40 years, he would have earned $50,000 a year. If he had worked for 20 years, he would have earned 5% a year. If he had rented the same place for 30 years, how much money would he have made?	25000	$1,500,000
63	Athena records that one company sells all of its products for $140 a month. If the company manages the equipment that sells the products, it calculates the cost of the products for the first quarter of the year, and then subtracts 10% of the other quarter for the rest of the year. How much does it cost to use the equipment that allows it to see all the products?	1596	$1,512
64	Sophie wanted to go on a trip with her daughter and wanted to ban the practice of running because her water tank was always full. She ran 100 miles before filling it with water and then added 4 pairs of shoes to complete the race. When the race was over, she didn't know how to use the 12 pairs of shoes. How many miles could Sophie have run if only one was filled?	300	200 miles
65	Jim spends two hours watching TV and then cuts the screen time down to half an hour. This is done three times a week. How many hours does he spend watching TV a week?	36	4.5 hours
66	A basketball team assembled three teams to compete. One team won a women's championship, one won a men's championship, and one won a five-a-side tournament. The teams also won a four-a-side tournament. How many points did all the teams win?	48	the question does not provide enough information to determine the number of points won by all the teams.
67	A jeweler opened a jewelry box. The box contained 175 diamond rings, 35 rubies more than twice the size of diamonds and emeralds more than twice the size of rubies. How many jewelry boxes were there?	595	1
68	Men are twice as likely to marry as women, according to Dr. Wertz. If there are 60 women and 5 children per teacher, how many children are there?	36	300 children
69	Bailey received a monthly donation of $8 for the first 8 weeks. Now she needs to earn $100 for the next 8 weeks. And how much money did Bailey get for her donation?	60	$164
70	During the week, Judy teaches five times a week. On Sundays, she teaches eight times a week. If she teaches 15 students for $15.00 each, how much money does she make per week?	7425	$1,125.00
71	Celian cooks two recipes based on two cooking methods. One of them has 20 recipes, the other one is twice as long as the first. How many recipes does Celian have to learn to cook two recipes?	60	2
72	Tommy collects money for a charity that sells brownies for $3 each and cheese cakes for $4. Since Tommy sells 43 brownies and 23 cheese cakes, how much money does Tommy make?	221	$259
73	Shiela bought two sets of equipment so that she could call a replacement that would cost her $150 a month for three months. Even if we had a 2% increase, how much money would Shiela have to pay each month for 3 months?	255	$153
74	Artie sells three different types of soup: soups, petunias, and begonias. He sells soups for $2.74 a jar, petunias for $1.87 a jar, and begonias for $2.12 a jar. His taste is impeccable, and Artie is close to the market. He sells 12 pots of soup, 9 pots of petunias, and 17 pots of begonias.	88	$83.35
75	Luc Daffy builds high-rise buildings with sand from the sea. He calculates that the area of the roof of the house is half the area of the ground. If you add all the areas, what would be their width if you knew the width of the highest wall of 16 feet of wet concrete?	60	8 feet
76	Cecilia always buys a puppy. According to the veterinarian's recommendation, she must feed the puppy one bowl of food every 180 days. If she does, she must feed him 2 bowls of food every day for the rest of his life. Considering that her diet consists of 110 bowls, how many bowls of food does Cecilia feed the puppy each year?	5	730 bowls
77	Raymond's salary is twice as low as Sarah's, and Sarah's salary is three times that of David's. Knowing that Sarah earns 400 pounds, how much more do David and Raymond earn?	100	david earns 133.33 pounds, and raymond earns 200 pounds, so together they earn 333.33 pounds more.
78	Vincent had the option of buying 3 bottles of flowers for $2.50 or a bottle of 2 for $1. How much money could he have saved if he had bought 18 bottles that sold more easily?	6	$3.00
79	Jean bought a dog and went to the grocery store to buy it for $100. The grocery store gave her a 30% discount because she was a new customer. When did the dog's food arrive?	70	the question does not provide information about when the dog's food arrived.
80	Two women each get 1/6 of 24 liters of water. Then one man gets 6 liters of water. How many liters of water is that?	10	10 liters
81	Charlie has 10 tapes. He bought another 21 that the family collected and used 23 of them to celebrate his birthday. Now, he gives his sister 9 and uses 28 of them to save the tapes that we write prayers and dedicate to our loved ones. How many tapes are left?	17	1 tape
82	Grace weighs 25 pounds. Alex weighs less than twice as much as Grace weighs four times. How many pounds is the sum of your two weights?	623	the sum of their weights is 145 pounds.
83	We planted 3 rose bushes. One plant produced 25 roses and the rose had 8 flowers. All in all, how many flowers did you get?	600	33 flowers
84	a professional footballer has played 22 matches. he has won the championship 8 times. how many times has he won?	15	8 times
85	Gene wears an old-fashioned shirt. He wears an old-fashioned shirt to go to bed. He wears an old-fashioned shirt to go to bed. He wears an old-fashioned shirt to go to bed. He wears an old-fashioned shirt to go to bed. He wears an old-fashioned shirt to go to bed. He wears an old-fashioned shirt to go to bed. He wears an old-fashioned shirt to go to bed.	44	gene wears an old-fashioned shirt to go to bed.
86	Greg adjusted his time machine so that it would rotate 3 times a day. When the machine started to rotate, it would rotate until Greg would say no. He didn't register a rotation, so it rotated three times. The second time it rotated three times. The third time it rotated twice as fast as the second time. How many times did the whole thing rotate?	22	12 times
87	A law firm pays its employees $600 a month. Dafy wants to increase the company's interest rate to 10% of her salary. Sylvie is celebrating her fifth anniversary with the firm last December. How much is a year's salary after three years?	9360	$7,920
88	Marilyn's company's turnover was more than ten times that of Harald's company. Although they sold 88,000 units of the company's products together, how many units of the company's products did Harald sell?	8000	8000 units
89	Christina holds a birthday party and wants to give a girl a gift of 0.75 sweets; since 1/4 of the girls didn't show up and she was 16 and one sweets cost 2$, how many did she sell to buy a sweets gift?	24	8
90	Ted Tyrannosaur wants to build a steam cooker in the dinosaur meatpacking plant. Imagine that it would cost 10 pounds for an adult dinosaur to cook meat for a younger dinosaur. If 20 adults and 10 children came to the meatpacking plant, how many pounds of steam would Ted have to build in order to feed everyone?	225	230 pounds
91	Marcia has three times as many pets as Cindy does. Marcia has twice as many pets as Cindy does. Cindy has four pets. How many pets do we have?	28	the statements are contradictory, but based on cindy having four pets, the total number of pets cannot be accurately determined from the conflicting information provided.
92	Emilie has three children named Amy, Jackson, Corey and Jack. Amy is 5 years older than Jackson and Corey is 2 years younger. Since Jacques is 10 years old and Corey is 1 year older, how old is Jackson?	4	8 years old
93	In the morning, Lee ran the 400 meters and won the race by more than two seconds over Gerald, but when Gerald changed his diet, he increased his speed by 10%. If Lee ran the 400 meters and won the race by 38 seconds, how many seconds does Gerald run without changing his diet?	36	418 seconds
94	If in one area, the number of households exceeds the number of households of twelve if you add the number of dogs to the number of cats. if in one area there are two cats and sixty dogs, how many households are there in the area?	348	13
95	Of the 200 girls who made CM2, 2/5 are boys and 2/3 of the girls are scouts. What is the percentage of girls who are not scouts?	40	20%
96	Harry fell asleep at nine o'clock last night. His friend Jacques slept for two-thirds of that time. If you don't count Jacques, how many hours did Harry spend asleep?	3	9 hours
97	Freda doesn't cook the tomatoes she saves to make the sauce, the tomatoes are about the same size as the sauce. She cooks 16-ounce buckets and takes 3 tomatoes each. Freda's last sauce cooking resulted in 32 ounces of sauce. How many tomatoes did Freda cook?	12	6 tomatoes
98	We are a group of women who live on a narrow strip of land. One of the women will be able to cross the 15 kilometers long road and then the other 20 women will cross the 15 kilometers long road. 5 women will take a detour to avoid crossing the narrow road. if the 30 kilometers long road had a fixed base, how many women will cross the 15 kilometers long road?	5	21 women will cross the 15 kilometers long road.
99	Marie loves to play. She once received a gift from a farmer who gave her more than enough potatoes. She once had 40 potatoes at the farmhouse in the countryside 2. She now collects one potato at the farmhouse to give to her friends who are nearby. How many potatoes does Marie have?	58	41
100	One day, 4 friends went to visit Jérôme. the first person knocked 20 times before Jérôme opened the door, the second person knocked 1/4 as many times as the first person knocked, the third person knocked 10 times as many as the third person knocked. If you know how the third person knocked 60 times, how many times did the dog shake?	175	the dog shook 0 times.
101	Solo has read 4 pages of a science book, 20 pages of a book that teaches everything about humans and their habitats, 7 pages of a history book and 8 pages of a history book that covers everything. At the end of the day, he has read 15 pages. If he had the resources to finish high school, how many pages would he have read on a Sunday?	6	15 pages
102	Jean likes to drink a glass of water for breakfast, lunch, and dinner. If she doesn't want to go to bed, she drinks a glass of water every night. If she wants to go to bed, she drinks a glass of water every night. If she wants to go to bed, she drinks a glass of water every night. If she wants to go to bed, she drinks a glass of water every night. If she wants to go to bed, she drinks a glass of water every night. If she wants to go to bed, she drinks a glass of water every night. If she wants to go to bed, she drinks a glass of soda every night. How many glasses of water does Jean drink a day?	26	4
103	If the city stretches for 42 miles and if the sea level rises and the sea level sinks, how many steps will it take to destroy the entire city?	140	the question does not provide enough information to calculate the number of steps it would take to destroy the city due to sea level changes.
104	Poppy wanted to make a bronze statue that would cost 1000 bronzes. she had to cut a third of the bronze to make the statue. then her mother cut a third of the remaining bronze to make the statue. how much bronze was left to complete the process of cutting bronze to make the statue?	500	444⅔ bronzes
105	Cody eats three times as many biscuits as Amir does. If Amir eats five biscuits, how many biscuits do we both eat?	20	35 biscuits
106	Jean has 3 boyets. One boyet is 5×6×4. The sides are 1 inch wide. How many boyets can three boyets make together?	72	54 boyets
107	Every afternoon, Frankie watches a TV that has already done its programming. On Tuesdays and Thursdays, he watches a TV show that has already done its programming for an hour. After watching 30 episodes of the show. On Thursdays, he finishes, he finishes his programming and then he watches one episode of the show and one episode of the show. Finally, he watches until midnight because his ears are tired and he watches two episodes of the show. If he watches all 7 episodes of the show, how many episodes of the show do he watch?	3	frankie watches 9 episodes of the show.
108	Henri was preparing cookies that a cook had prepared for him. He wanted to make something twice as good as he had made before, but in the evening, he realized that he had made 15 more cookies than he had expected. After adding 5 biscuits, they were no longer refrigerated and now there were 110 biscuits. How many biscuits had Henri made before?	50	henri had made 45 biscuits before.
109	A gas station sells gasoline for $3.00 a barrel. A company offers a refund of $0.20 a barrel if the container is not filled. If someone buys 10 barrels of gasoline, how many times does the price of gasoline go up before it goes down?	28	0 times
110	Marcel and Béatrice meet us to find out what is the best thing to eat besides fruit juices. Now they've forgotten everything we've found there. The funny thing is, since one day Béatrice found two large and 24 small black peppers, and Marcel has three large and 14 small black peppers. If each of us eats his own peppers, how much is half of what we eat?	45	8.5 peppers
111	Julia's boat sank and she found herself in the river. The boat began to sink 2 liters of water that flowed ten feet towards the shore. It took eleven minutes for the boat to sink. The shore was 64 feet deep, how many liters of water did the boat sink?	16	the information provided does not allow for a calculation of the volume of water that caused the boat to sink in liters. the boat sinking is not directly related to the volume of water in liters based on the depth of the shore or the distance to the shore.
112	one room usually has one white notebook which we distribute to 4 teachers who use this room every day. no one says he teaches 2 classes every Sunday and uses the same white notebook. if we turn the notebook on three times in one class, how many times do we turn the notebook on in one day?	24	12 times
113	Every Sunday, Ryan plants two flowers in his small garden. If you know how 5 flowers grow, how many flowers will the 15 plants have?	25	30 flowers
114	Jamal's telescope can hold up to six times as many birds as the forest of Brittany. The forest of Brittany can hold up to 50 times as many birds as the forest of plants, even if the canals are located in the same area where the animals are. If Jamal's telescope of the 1800s can hold a statue, how many statues can we find?	6	1 statue
115	After we bought some tablets, Shasha checked how much the sale had increased the price by 50% in the last few months. She now sells the remaining tablets. She had 10 2×4×10 tablets that she had bought 10 years ago and bought five 4×4×10 tablets that were worth 16 fps each. Given how much she had sold, how much was the increase compared to the original?	90	the increase was 100%.
116	Katy makes a cup of coffee with a cup of water, a few cups of sugar, a few cups of coffee, a few cups of coffee, a few cups of coffee, a few cups of coffee, a few cups of coffee, a few cups of coffee, a few cups of coffee, a few cups of coffee, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups of water, a few cups	42	katy makes a highly diluted and possibly very sweet coffee.
117	For each of her three children, Jean bought two pairs of shoes that cost $60 each. What's the difference?	360	there is no difference in cost per child; each child's shoes cost the same amount.
118	A customs official at the main port of departure for each of the Seaside warehouses counted two cases of women entering without being checked, one day there were 5 women inside. the next day, other cases of women entering again increased the number of women to 30. counted the number of cases of women entering the country for the second time, taking into account the total number of cases of 5 women.	4	25 cases
119	Adrien's total salary was 30% more than Lylah's salary. Three years earlier, the salary had risen to more than 40% of what she had previously earned. While Adrien and Lylah's salary had risen, and Adrien had earned $40,000 three years earlier, their salary had risen three years earlier.	95200	lylah's salary three years earlier was $28,571.43.
120	Miguel uses 2 cartoons a day to create his paintings. If a cartoon uses 30 cartoons, how many cartoons does the moon use?	240	the question contains a mistake or is not clear. it's not possible to accurately answer how many cartoons the moon uses based on the information provided.
121	Let's throw out Morisette and Kael. Morisette has 5 apples, and Kael has 8 apples. Kael has twice as many as Morisette, and Kael has twice as many as Morisette.	27	impossible, given the initial conditions.
122	Sadie slept for 8 hours a night. The next two nights she slept 2 hours more than usual because of her husband's illness. The rest of the nights she slept 1 hour more than usual. How many hours did she sleep in total?	48	sadie slept for 65 hours in total.
123	Rosie runs at a speed of 10 miles per hour for 3 hours. Then she runs at 5 miles per hour. How many miles would she run for 7 hours?	50	55 miles
124	Jennie comes to help her mother in the office of her company. She already has a list of 60 letters to make stamps and other stamped letters. Now she has made a list of a third of the letters to make stamps. if the list of 30 letters is there, how many were there when Jennie started working?	10	90 letters.
125	Julia is preparing for a dinner party at their house. So she decides to make ragout. She checks that there are no more couscous, and buys a pack of couscous. Later, her husband buys another pack of 5 couscous and gives it to Julia. When she cooks, Julia uses 3 couscous to cook the meal. When she cooks the first meal, she uses 12 couscous. How many couscous are in the package that Julia forgot?	10	17 couscous
126	Dylan had the experience of cooking shrimp and cooking fish in order to make a small cake with shrimp on one occasion. He bought 38 more shrimp sausages and 6 more fish sausages than he bought from the shrimps. How much did it cost to make all the sausages?	82	the question does not provide enough information to calculate the cost of making all the sausages.
127	When we moved to another school, Amy outnumbered Lily's 20 friends. If Lily has 50 friends, how many friends do Lily and Amy have?	120	130 friends
128	Well's mother sells toys, powders, and candy at the grocery store. A box of one toys can be a third box of candy, a fifth box of candy. We sent Dillon to the store to buy 4 toys, 20 toys, and 10 candies. How much money would it cost if each box was worth $15?	880	$540
129	A hospital treats about 500 people a day. The average patient is treated in a tent for 24 hours. Doctors pay the hospital an hourly fee of $150, and $200 per patient. How much does the hospital make per page?	10000	$3,800
130	Nissa hired 60 workers to manage the estate in Santa's hometown of her department store. The three of them took a break from their day jobs when the children left them, especially since the other 10 had quit their day jobs when the children left them. How many workers were left?	30	47 workers were left.
131	In May, Joseph's net worth was $500. This was followed by a decline in June. What is the sum of his net worth over the two months?	940	insufficient information to calculate the sum.
132	Pam and Fred went to a ticketing convention. Pam walked around the block twice, Fred did it four times. Eventually, one of them said that he had made two tickets. If each ticket came with 6 tickets, how many of the tickets were used?	60	12 tickets were used.
133	Altine, Walt walked 4 kilometers. In fact, he walked four times more than he ever walked altine. The distance between Altine and the city is 41 kilometers. How many kilometers did Walt walk altine?	13	1 kilometer
134	Tom showered 4 times a month. If a shower cost him $15, how much would it cost him a year?	720	$720
135	On Brian's map, Bobby has 5 video cameras, which is three times as many as Brian's video cameras. If Brian has 20 video cameras, but he has 5 damaged video cameras, now how many does Bobby have?	40	15
136	The rest of the world's population is 27 million. About one-third of them live in an area as large as Scotland. About two-thirds of Scotland's population are women. How many of Scotland's population are women?	6	1.8 million
137	Rory lost two stones worth $7.50 each, two packets of chips worth $1.50 each, and two packets of cookies worth $1.00 each. The finder's fee was 20%, and Rory also lost $5.00.	29	$22.00
138	In the past, Marc did a 75-question test. his average was 5 questions per hour. Tay also did a 100-question test where he did the same. If Marc took 8 hours for the first test and 6 hours for the second, how many questions did he not answer?	105	marc did not answer 25 questions.
139	In a heat exchanger, there are more than twenty-two times the number of shallow cylinders and four times the number of shallow cylinders. If there are twelve shallow cylinders, how many shallow cylinders are there?	70	there are twelve shallow cylinders.
140	Out of the remaining twenty wheels, twelve are automatic, four are manual, and the rest can be either manual or manual. What is the category of automatic wheels?	20	automatic wheels.
141	There are 700 slaves in a factory. The number of slaves is double the number of slaves, and the number of slaves is double the number of slaves. The number of slaves is equal to the number of slaves.	400	700
142	Jordan spends two hours doing video poetry. He has a freelance job that pays him $10 an hour. How much money does it make if his poetry is used at work?	140	$20
143	It costs $2 for a bag, $3 for a hat, $3 for a lamp, $3 for a cup, and $4 for a secret pocket. If he makes a 10% increase in everything he buys and doesn't eat, how much is it all worth?	16	$14.30
144	Kim set up a mailroom, and counted the amount of mail she could get from her clients. She had three clients, but, hoping to negotiate with five other clients, she sent her mail. Two bottles of toilet paper and a pack of mail would be able to wash each client's house. She would have to spend $2 for a bottle of toilet paper and $5 for a pack of mail. That's all. I don't know how her weekly income would be $92.	20	kim would need 3 bottles of toilet paper and 3 packs of mail for each client. the cost for one client would be $16 ($6 for toilet paper and $10 for mail). with 8 clients, her total cost would be $128. to have a weekly income of $92, her total revenue from 8 clients must be $220 ($128 for costs plus $92 for income).
