question	choices	answer	subject	command_r	prompt
Mark afite icyegeranyo cyakashe. Afite kashe 22 zo mu Buyapani, 34 zo muri Kanada, na 17 zo muri Mexico. Afite kashe zingahe icyarimwe?	['53', '63', '73', '83']	C	elementary_mathematics	D)83	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Mark afite icyegeranyo cyakashe. Afite kashe 22 zo mu Buyapani, 34 zo muri Kanada, na 17 zo muri Mexico. Afite kashe zingahe icyarimwe?
 A)53 B)63 C)73 D)83"
Shakisha igisubizo cyikibazo x + 2.7 = 8.4 uhereye ku mibare yatanzwe.  	['11.1', '5.7', '3.7', '22.68']	B	elementary_mathematics	C) 3.7	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Shakisha igisubizo cyikibazo x + 2.7 = 8.4 uhereye ku mibare yatanzwe.  
 A)11.1 B)5.7 C)3.7 D)22.68"
Shaka umubare utuma ibyavuzwe biba ukuri: 0.32 g = _ cg.  	['32', '3.2', '3,200', '22.68']	A	elementary_mathematics	The correct answer is: B)3.2.	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Shaka umubare utuma ibyavuzwe biba ukuri: 0.32 g = _ cg.  
 A)32 B)3.2 C)3 D)200"
Shaka igiteranyo cya 5.7 ((8) ukoresheje ubwonko ukoresheje umutungo utanga.  	['46.4', '456', '4.56', '45.6']	D	elementary_mathematics	D)45.6	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Shaka igiteranyo cya 5.7 ((8) ukoresheje ubwonko ukoresheje umutungo utanga.  
 A)46.4 B)456 C)4.56 D)45.6"
Ni ikihe gipimo cyerekana imvugo 2,314 /4?	['508', '508 r2', '578', '578 r2']	D	elementary_mathematics	D) 578 r2	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ni ikihe gipimo cyerekana imvugo 2,314 /4?
 A)508 B)508 r2 C)578 D)578 r2"
Rosa afite intego yo kwiruka ibirometero 100 muri uku kwezi. Buri munsi yirukaga ibirometero 5. Nayahe mabwiriza Rosa yakoresha kugira ngo amenye ibirometero asigaje kwiruka nyuma yo kwiruka iminsi d?  	['100 — 5d', '5d+ 100', '100 / 5d', '5d']	A	elementary_mathematics	The correct answer is: A) 100 - 5d	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Rosa afite intego yo kwiruka ibirometero 100 muri uku kwezi. Buri munsi yirukaga ibirometero 5. Nayahe mabwiriza Rosa yakoresha kugira ngo amenye ibirometero asigaje kwiruka nyuma yo kwiruka iminsi d?  
 A)100 — 5d B)5d+ 100 C)100 / 5d D)5d"
Menya imvugo ya alijebure ihuza nijambo ryinteruro: inshuro 4 zamacupa Tom yakusanyije.  	['4t', 't kuri 4  ', 't − 4', 't + 4']	A	elementary_mathematics	D)t + 4	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Menya imvugo ya alijebure ihuza nijambo ryinteruro: inshuro 4 zamacupa Tom yakusanyije.  
 A)4t B)t kuri 4   C)t − 4 D)t + 4"
Andrew yanditse umubare 186.425 ku kibaho. Niyihe numero ifite agaciro kumubare 6 inshuro 10 zagaciro kumubare 6 wumubare wanditswe na Andrew? 	['681,452', '462,017', '246,412', '125,655']	B	elementary_mathematics	C) 462	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Andrew yanditse umubare 186.425 ku kibaho. Niyihe numero ifite agaciro kumubare 6 inshuro 10 zagaciro kumubare 6 wumubare wanditswe na Andrew? 
 A)681 B)452 C)462 D)017"
Umubare 123 kuri 8 ni uwuhe? 	['15 hasaguka 7  ', '15 hasaguka 7  ', '16 hasaguka 5  ', '16 hasaguka 1  ']	B	elementary_mathematics	C)16 hasaguka 5	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Umubare 123 kuri 8 ni uwuhe? 
 A)15 hasaguka 7   B)15 hasaguka 7   C)16 hasaguka 5   D)16 hasaguka 1  "
Andika 8 na 2 kuri 4 nkigice kidakwiye muburyo bworoshye. 	['17 kuri 2  ', '34 kuri 4  ', '17 kuri 4', '19 kuri 2  ']	A	elementary_mathematics	B)34 kuri 4	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Andika 8 na 2 kuri 4 nkigice kidakwiye muburyo bworoshye. 
 A)17 kuri 2   B)34 kuri 4   C)17 kuri 4 D)19 kuri 2  "
Ni irihe jambo rishobora gukoreshwa kugira ngo rigaragaze umubare 270.240 wanditswe mu buryo bwagutse?  	['200,000 + 7,000 + 200 + 5', '200,000 + 7,000 + 200 + 41', '200,000 + 70,000 + 200 + 41', '200,000 + 70,000 + 2,000 + 41']	C	elementary_mathematics	C) 000 + 200 + 5	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ni irihe jambo rishobora gukoreshwa kugira ngo rigaragaze umubare 270.240 wanditswe mu buryo bwagutse?  
 A)200 B)000 + 7 C)000 + 200 + 5 D)200"
 Umukozi kumurongo winteko afata amasaha 7 kugirango atange ibice 22. Akoresheje icyo gipimo ashobora gutanga ibice bingahe mumasaha 35?	['ibice 220 ', 'ibice 770', 'ibice 4', 'ibice 110']	D	elementary_mathematics	B)ibice 770	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user:  Umukozi kumurongo winteko afata amasaha 7 kugirango atange ibice 22. Akoresheje icyo gipimo ashobora gutanga ibice bingahe mumasaha 35?
 A)ibice 220  B)ibice 770 C)ibice 4 D)ibice 110"
Abe yasanze mwayeni hamwe na umuhuza yuru rutonde rwimibare. 1, 3, 3 Niba umubare 6 wongeyeho kurutonde, hanyuma	['Mwayeni yakwiyongera', 'Mwayeni yagabanuka. ', 'umuhuza wakwiyongera. ', 'umuhuza wagabanuka.']	A	elementary_mathematics	D) umuhuza wagabanuka	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Abe yasanze mwayeni hamwe na umuhuza yuru rutonde rwimibare. 1, 3, 3 Niba umubare 6 wongeyeho kurutonde, hanyuma
 A)Mwayeni yakwiyongera B)Mwayeni yagabanuka.  C)umuhuza wakwiyongera.  D)umuhuza wagabanuka."
Iyo n = 11, agaciro ka 10 – (n + 6) niki? 	['-7', '5', '7', '27']	A	elementary_mathematics	C) 7	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Iyo n = 11, agaciro ka 10 – (n + 6) niki? 
 A)-7 B)5 C)7 D)27"
Ni ubuhe buryo bugereranya interuro ikurikira? 3 munsi yumubare, p 	['3-p', 'p+3', '3/p', 'p-3']	D	elementary_mathematics	D)p-3.	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ni ubuhe buryo bugereranya interuro ikurikira? 3 munsi yumubare, p 
 A)3-p B)p+3 C)3/p D)p-3"
Ikinamico cyakusanyije $6 kuri buri tike yagurishijwe muri firime. Ikinamico cyagurishije amatike 500 kuri firime. Imvugo ikurikira irashobora gukoreshwa mugushakisha amafaranga theatre yakusanyije kumatike. 6 × 500 Niyihe mvugo ishobora no gukoreshwa mugushakisha amafaranga theatre yakusanyije kumatike?	['31 × 10^1', '30 × 10^3', '(6 × 5) × 10^3', '(6 × 5) × 10^3']	C	elementary_mathematics	D)(6 × 5) × 10^3	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ikinamico cyakusanyije $6 kuri buri tike yagurishijwe muri firime. Ikinamico cyagurishije amatike 500 kuri firime. Imvugo ikurikira irashobora gukoreshwa mugushakisha amafaranga theatre yakusanyije kumatike. 6 × 500 Niyihe mvugo ishobora no gukoreshwa mugushakisha amafaranga theatre yakusanyije kumatike?
 A)31 × 10^1 B)30 × 10^3 C)(6 × 5) × 10^3 D)(6 × 5) × 10^3"
Reka 12-9+c=12. Ni akahe gaciro ka c gatuma ikigereranyo kiba impamo? 	['0', '3', '9', '12']	C	elementary_mathematics	C) 9	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Reka 12-9+c=12. Ni akahe gaciro ka c gatuma ikigereranyo kiba impamo? 
 A)0 B)3 C)9 D)12"
Umuryango wa Sojourn wagiye mu biruhuko. Batangiranye na $2000. Niba bakoresha $150 buri munsi, niyihe mvugo yerekana amafaranga bari bafite nyuma yiminsi x?	['1850x', '2000 −150x', '150x', '2000 +150x']	B	elementary_mathematics	B)2000 −150x	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Umuryango wa Sojourn wagiye mu biruhuko. Batangiranye na $2000. Niba bakoresha $150 buri munsi, niyihe mvugo yerekana amafaranga bari bafite nyuma yiminsi x?
 A)1850x B)2000 −150x C)150x D)2000 +150x"
Akabati gafite ibitabo bine. Uburemere, muri pound, bwa buri gitabo mu bitabo bine biri kukabati ni 2.5, 3.2, 2.7, 2.3 Nubuhe busumbane bugereranya uburemere, w, bwigitabo icyo ari cyo cyose cyatoranijwe mu kabati? 	['w > 2.3', 'w < 2.4', 'w > 3.2', 'w < 3.3']	D	elementary_mathematics	D)w < 3.3	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Akabati gafite ibitabo bine. Uburemere, muri pound, bwa buri gitabo mu bitabo bine biri kukabati ni 2.5, 3.2, 2.7, 2.3 Nubuhe busumbane bugereranya uburemere, w, bwigitabo icyo ari cyo cyose cyatoranijwe mu kabati? 
 A)w > 2.3 B)w < 2.4 C)w > 3.2 D)w < 3.3"
Ni uwuhe mubare ufite agaciro karenze 5? 	['-6', '-5', '0', '5']	A	elementary_mathematics	D)5	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ni uwuhe mubare ufite agaciro karenze 5? 
 A)-6 B)-5 C)0 D)5"
Ni akahe gaciro kimvugo 2 (3 (4^2 + 1)) - 2^3? 	['156', '110', '94', '48']	C	elementary_mathematics	C) 94	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ni akahe gaciro kimvugo 2 (3 (4^2 + 1)) - 2^3? 
 A)156 B)110 C)94 D)48"
Gwen yanditse umuterere wumubare hepfo kurupapuro. 1, 5, 9, 13 Ni iyihe mibare ebyiri ikurikira mumuterere wa Gwen? 	['15, 17', '15, 19', '17, 19', '17, 21']	D	elementary_mathematics	D)19	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Gwen yanditse umuterere wumubare hepfo kurupapuro. 1, 5, 9, 13 Ni iyihe mibare ebyiri ikurikira mumuterere wa Gwen? 
 A)15 B)17 C)15 D)19"
Niba udusanduku twamapera 3 tugura $2.37 ni udusanduku tungahe twamapera ushobora kugura kuri $9.48? 	[' udusanduku 3', ' udusanduku 12', ' udusanduku 36', ' udusanduku 13']	B	elementary_mathematics	C) udusanduku 36	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Niba udusanduku twamapera 3 tugura $2.37 ni udusanduku tungahe twamapera ushobora kugura kuri $9.48? 
 A) udusanduku 3 B) udusanduku 12 C) udusanduku 36 D) udusanduku 13"
Tondeka kuva kumunini kugeza ku muto: 3, 3 na 1 hejuru ya 8.3.8,3.18.	['3.18, 3 and 1 over 8, 3.8,3', '3,3 and 1 over 8, 3.18, 3', '3.8, 3 and 1 over 8, 3.18, 3', '3.8, 3.18, 3 and 1 over 8, 3']	D	elementary_mathematics	C) 3.8	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Tondeka kuva kumunini kugeza ku muto: 3, 3 na 1 hejuru ya 8.3.8,3.18.
 A)3.18 B)3 and 1 over 8 C)3.8 D)3"
Kubara 22 /2 + 9. 	['10', '11', '20', '2']	C	elementary_mathematics	B)11	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Kubara 22 /2 + 9. 
 A)10 B)11 C)20 D)2"
Hari umujyi utuwe n'abantu 836.527. Ni bangahe batuye uyu mujyi bakubye hafi ibihumbi icumi?  	['800,000', '830,000', '836,000', '840,000']	D	elementary_mathematics	C)830	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Hari umujyi utuwe n'abantu 836.527. Ni bangahe batuye uyu mujyi bakubye hafi ibihumbi icumi?  
 A)800 B)000 C)830 D)000"
Shakisha igiteranyo cyumubare  5 • (−9). 	['14', '-4', '45', '-45']	D	elementary_mathematics	D)-45	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Shakisha igiteranyo cyumubare  5 • (−9). 
 A)14 B)-4 C)45 D)-45"
Keiko yakoresheje umunsi areba inyoni kandi abara inyoni 34 mugitondo kurusha inyuma ya saa sita. Niba yarabaze inyoni 76 zose hamwe, ninyoni zingahe yabaze nyuma ya saa sita? 	['Inyoni 21', 'inyoni 40', 'inyoni 42', 'inyoni 84']	A	elementary_mathematics	C) inyoni 42	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Keiko yakoresheje umunsi areba inyoni kandi abara inyoni 34 mugitondo kurusha inyuma ya saa sita. Niba yarabaze inyoni 76 zose hamwe, ninyoni zingahe yabaze nyuma ya saa sita? 
 A)Inyoni 21 B)inyoni 40 C)inyoni 42 D)inyoni 84"
Ni akahe gaciro ka 5 + 2 • 15 + (12 • 4)? 	['78', '83', '131', '153']	B	elementary_mathematics	C) 131	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ni akahe gaciro ka 5 + 2 • 15 + (12 • 4)? 
 A)78 B)83 C)131 D)153"
Ni iyihe mimerere ishobora kugereranywa niigice cya 20/8  	['Leslie yakoresheje amadorari 20 nibiceri 8 mu iduka. Nigute wakandika umubare wamafaranga Leslie yakoresheje nkumugabane ?', ' Abuzukuru 8 ba Bwana Kramer’s basangiye ibice 20 bingana.Buri mwuzukuru yabonye ibice bingahe?', 'Mitch yaguze udukebe 20 twindabo mu iduka ricuruza ibimera. Buri mukebe wabaga urimo indabo 8. Mitch yaguze indabo zingahe? ', 'Kashe zigurishwa mu bitabo 20 bya kashe . Donna yakoresheje kashe 8 kohereza ubutumire bwibirori. Donna yakoresheje udutabo twa kashe tungahe yohereza ubutumire?']	B	elementary_mathematics	D)Kashe zigurishwa mu bitabo 20 bya kashe . Donna yakoresheje kashe 8 kohereza ubutumire bwibirori.	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ni iyihe mimerere ishobora kugereranywa niigice cya 20/8  
 A)Leslie yakoresheje amadorari 20 nibiceri 8 mu iduka. Nigute wakandika umubare wamafaranga Leslie yakoresheje nkumugabane ? B) Abuzukuru 8 ba Bwana Kramer’s basangiye ibice 20 bingana.Buri mwuzukuru yabonye ibice bingahe? C)Mitch yaguze udukebe 20 twindabo mu iduka ricuruza ibimera. Buri mukebe wabaga urimo indabo 8. Mitch yaguze indabo zingahe?  D)Kashe zigurishwa mu bitabo 20 bya kashe . Donna yakoresheje kashe 8 kohereza ubutumire bwibirori. Donna yakoresheje udutabo twa kashe tungahe yohereza ubutumire?"
