question	choices	answer	subject	command_r	prompt	verbalized
Khangela inani eliphakathi kule sethi yedatha 23, 13,18,29,32,25.	['18', '24', '25', '29']	B	elementary_mathematics	C) 25	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Khangela inani eliphakathi kule sethi yedatha 23, 13,18,29,32,25.
 A)18 B)24 C)25 D)29"	C
UJack uchola ii-apile emthini wee-apile. Usebenzisa eli12 ukwenza isosi ye-apile. Ubeka ezishiyekileyo ngokulingana kwiibhasikithi yezisipho. yeyiphi i-ekhweyishini engasetyenziswa ukujonga inani lee-apile uJack azibeke kwibhasikithi nganye yesipho? 	['(60/6)—12=a', '(60—12)/6=a', '(60-6)-12=a', '(60+12)/6=a']	B	elementary_mathematics	The answer is D)(60+12)/6=a	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: UJack uchola ii-apile emthini wee-apile. Usebenzisa eli12 ukwenza isosi ye-apile. Ubeka ezishiyekileyo ngokulingana kwiibhasikithi yezisipho. yeyiphi i-ekhweyishini engasetyenziswa ukujonga inani lee-apile uJack azibeke kwibhasikithi nganye yesipho? 
 A)(60/6)—12=a B)(60—12)/6=a C)(60-6)-12=a D)(60+12)/6=a"	A
Imephu ethile esebenzisa isikeyile se-intshi enye ilingangana neemayile ezingama25. Zingaphi iimayile ezimelwe zii-intshi ezi5 kwimephu?	['5', '25', '50', '125']	D	elementary_mathematics	C) 50	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Imephu ethile esebenzisa isikeyile se-intshi enye ilingangana neemayile ezingama25. Zingaphi iimayile ezimelwe zii-intshi ezi5 kwimephu?
 A)5 B)25 C)50 D)125"	C
Yenza lila (2+5)^2-42.	['7', '16', '30', '33']	A	elementary_mathematics	C) 30	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Yenza lila (2+5)^2-42.
 A)7 B)16 C)30 D)33"	C
khangela ivelu ka4/ 2.2=8-4.	['-12', '12', '8', '16']	C	elementary_mathematics	The correct answer is B) 12.	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: khangela ivelu ka4/ 2.2=8-4.
 A)-12 B)12 C)8 D)16"	B
Umqeqeshi ujikeleze inani lababaleki 	['382', '397', '406', '447']	B	elementary_mathematics	C)406	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Umqeqeshi ujikeleze inani lababaleki 
 A)382 B)397 C)406 D)447"	C
Ngubanu u-4 +(-3)=	['7', '-1', '1', '7']	A	elementary_mathematics	The correct answer is B)-1	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ngubanu u-4 +(-3)=
 A)7 B)-1 C)1 D)7"	B
UMark unengqokolela yezitampu. Unezitampu izingama22 ezisukaJaphani, ezingama34 zisuka eKhanada, kwaye ezili17 zisuka eMexico. Zingaphi izitampu anazo zizozonke?	['53', '63', '73', '83']	C	elementary_mathematics	C)73	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: UMark unengqokolela yezitampu. Unezitampu izingama22 ezisukaJaphani, ezingama34 zisuka eKhanada, kwaye ezili17 zisuka eMexico. Zingaphi izitampu anazo zizozonke?
 A)53 B)63 C)73 D)83"	C
Jonga isisombululo se-ekhweyishini x+2.7=8.4 kumanani owanikiweyo?	['11.1', '5.7', '3.7', '22.68']	B	elementary_mathematics	C) 3.7	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Jonga isisombululo se-ekhweyishini x+2.7=8.4 kumanani owanikiweyo?
 A)11.1 B)5.7 C)3.7 D)22.68"	C
Khangela inani elenziwa ingxelo ibe yinyani: 0.32 g = cg.	['32', '3.2', '3,200', '320']	A	elementary_mathematics	C)3	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Khangela inani elenziwa ingxelo ibe yinyani: 0.32 g = cg.
 A)32 B)3.2 C)3 D)200"	C
Fumana imveliso ka 5.7(8) ngokwase ngqondweni usebenzisa ipropati eyabayo.	['46.4', '456', '4.56', '45.6']	D	elementary_mathematics	D) 45.6	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Fumana imveliso ka 5.7(8) ngokwase ngqondweni usebenzisa ipropati eyabayo.
 A)46.4 B)456 C)4.56 D)45.6"	D
Ngubani ikhothiyenti ye-expreshini 2,314?4?	['508', '508 r2', '578', '578 r2']	D	elementary_mathematics	D) 578 r2	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ngubani ikhothiyenti ye-expreshini 2,314?4?
 A)508 B)508 r2 C)578 D)578 r2"	D
URosa unegowuli lokubaleka iimayile ezili100 kule  nyanga.Imini nemini ayibalekileyo, ubaleke iimaylie ezisi5. Yeyiphi i-expreshini uRosa engayisebenzisa ukubonakalisa ukuba zingaphi iimayile ashiyeke nazo ukuzibaleka emveni ebaleke iintsuku?	['100 — 5d', '5d+ 100', '100 / 5d', '5d']	A	elementary_mathematics	D) 5d	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: URosa unegowuli lokubaleka iimayile ezili100 kule  nyanga.Imini nemini ayibalekileyo, ubaleke iimaylie ezisi5. Yeyiphi i-expreshini uRosa engayisebenzisa ukubonakalisa ukuba zingaphi iimayile ashiyeke nazo ukuzibaleka emveni ebaleke iintsuku?
 A)100 — 5d B)5d+ 100 C)100 / 5d D)5d"	D
Khangela i-expreshini ye-aljebhra ehambelana negama ufreyizi: amatyeli ama-4 kakhulu njengendlela aqokolele ngayo iitoti uTom.	['4t', 't ngaphezulu kuka-4', 't - 4', 't + 4']	A	elementary_mathematics	D)t + 4	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Khangela i-expreshini ye-aljebhra ehambelana negama ufreyizi: amatyeli ama-4 kakhulu njengendlela aqokolele ngayo iitoti uTom.
 A)4t B)t ngaphezulu kuka-4 C)t - 4 D)t + 4"	D
UAndrew  ubhale inani u186,425 ebhodini. Leliphi inani elinexabiso lika 6 eliphindaphindwe ka10 kwixabiso lika6 elibhalwe nguAndrew?	['681,452', '462,017', '246,412', '125,655']	B	elementary_mathematics	C) 462	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: UAndrew  ubhale inani u186,425 ebhodini. Leliphi inani elinexabiso lika 6 eliphindaphindwe ka10 kwixabiso lika6 elibhalwe nguAndrew?
 A)681 B)452 C)462 D)017"	C
Ngubani u123/8?	['15 intsalela 7', '15 intsalela 3', '16 intsalela 5', '16 intsalela 1']	B	elementary_mathematics	The answer is D) 16 intsalela 1	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ngubani u123/8?
 A)15 intsalela 7 B)15 intsalela 3 C)16 intsalela 5 D)16 intsalela 1"	D
Bhala u8 kunye no3 ngaphezulu kuka4 njenge improper fraction  ngendlela elula.	['U17 ngaphezu kuka-2', 'u34 ngaphezu kuka-4', 'u17 ngaphezu kuka 4', '19 ngaphezu kuka 2']	A	elementary_mathematics	C)u17 ngaphezu kuka 4	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Bhala u8 kunye no3 ngaphezulu kuka4 njenge improper fraction  ngendlela elula.
 A)U17 ngaphezu kuka-2 B)u34 ngaphezu kuka-4 C)u17 ngaphezu kuka 4 D)19 ngaphezu kuka 2"	C
Sesiphi isakhiwo esingasetyenziswa ukubonisa 270,240 ebhalwe ngendlela embaxa?	['200,000 + 7,000 + 200 + 4', '200,000 + 7,000 + 200 + 40', '200,000 + 70,000 + 200 + 40', '200,000 + 70,000 + 2,000 + 40']	C	elementary_mathematics	C) 000 + 200 + 4	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Sesiphi isakhiwo esingasetyenziswa ukubonisa 270,240 ebhalwe ngendlela embaxa?
 A)200 B)000 + 7 C)000 + 200 + 4 D)200"	C
Umsebenzi kumgca wendibano uthatha iiyure ezi7 ukuvelisa amalungu ali22. Kweli zinga mangaphi amalungu angawavelisa kwii yure ezinga35?	['220 yeenxalenye', '770 yeenxalenye', '4 yeenxalenye', '110 yeenxalenye']	D	elementary_mathematics	B) 770 yeenxalenye	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Umsebenzi kumgca wendibano uthatha iiyure ezi7 ukuvelisa amalungu ali22. Kweli zinga mangaphi amalungu angawavelisa kwii yure ezinga35?
 A)220 yeenxalenye B)770 yeenxalenye C)4 yeenxalenye D)110 yeenxalenye"	B
UAbe ufumene inani eliyi-mini kunye nenani eliphakathi kolu luhlu lwamanani .U1,3,3 ukuba inani lesi6 belifakiwe kuluhlu, ngoko	['inani eliphkathi linganyuka', 'inani eliphakathi lingehla', 'imidiyen inganyuka', 'imidiyeni inganyuka']	A	elementary_mathematics	D) imidiyeni inganyuka	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: UAbe ufumene inani eliyi-mini kunye nenani eliphakathi kolu luhlu lwamanani .U1,3,3 ukuba inani lesi6 belifakiwe kuluhlu, ngoko
 A)inani eliphkathi linganyuka B)inani eliphakathi lingehla C)imidiyen inganyuka D)imidiyeni inganyuka"	D
Xa n=11, ngubani ixabiso  lika 10-(n+6)?	['-7', '5', '7', '27']	A	elementary_mathematics	B) 5	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Xa n=11, ngubani ixabiso  lika 10-(n+6)?
 A)-7 B)5 C)7 D)27"	B
Kokuphi ukwakhiwa ukumele ibinzana nezantsi?ezi3 embalwa kunenani,p	['3-p', 'p+3', '3/p', 'p-3']	D	elementary_mathematics	C) 3/p	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Kokuphi ukwakhiwa ukumele ibinzana nezantsi?ezi3 embalwa kunenani,p
 A)3-p B)p+3 C)3/p D)p-3"	C
Iholo yeqonga iqokolele iidola ezi6 yetikiti ngalinye elithengiswe kwimuvi Iholo leqonga lithengise amatikiti angama500 kwimuvi, Ukwakhiwa okungezantsi kungasetyenziswa ukukhangela ukuba ingakanani imali eqokolelelwe liholo leqonga yaamatikiti. u6 x500 kokuphi ukwakhiwa okungasetyenziswa nako ukukhangela ingakanani imali  yamatikiti eqokelelwe liholo leqonga? 	['30 × 10^1', '30 × 10^3', '(6 × 5) × 10^2', '(6 × 5) × 10^3']	C	elementary_mathematics	D)(6 × 5) × 10^3	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Iholo yeqonga iqokolele iidola ezi6 yetikiti ngalinye elithengiswe kwimuvi Iholo leqonga lithengise amatikiti angama500 kwimuvi, Ukwakhiwa okungezantsi kungasetyenziswa ukukhangela ukuba ingakanani imali eqokolelelwe liholo leqonga yaamatikiti. u6 x500 kokuphi ukwakhiwa okungasetyenziswa nako ukukhangela ingakanani imali  yamatikiti eqokelelwe liholo leqonga? 
 A)30 × 10^1 B)30 × 10^3 C)(6 × 5) × 10^2 D)(6 × 5) × 10^3"	D
yeka u12-9+c=12. Ngubani ivelu ka-c eyenza i-ikhweyishini ebeyinyani?	['0', '3', '9', '12']	C	elementary_mathematics	C is the correct answer.	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: yeka u12-9+c=12. Ngubani ivelu ka-c eyenza i-ikhweyishini ebeyinyani?
 A)0 B)3 C)9 D)12"	C
Usapho lwakwaSojourn luye kuhambo. Baqale ngeedola ezingama2000. Ukuba bachithe iidola eli150 ngosuku ngalunye, kokuphi ukwakhiwa okumele ukuba yimalini ababenayo emveni kweentsuku ?	['1850x', '2000 −150x', '150x', '2000 +150x']	B	elementary_mathematics	B)2000 −150x	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Usapho lwakwaSojourn luye kuhambo. Baqale ngeedola ezingama2000. Ukuba bachithe iidola eli150 ngosuku ngalunye, kokuphi ukwakhiwa okumele ukuba yimalini ababenayo emveni kweentsuku ?
 A)1850x B)2000 −150x C)150x D)2000 +150x"	B
Ishelfu ineencwadi eziNe kuyo. Ubunzima, kwiiphawunzi, incwadi nganye kwishelfu ngu2.5, 3,2,2.7,2.3 kokuphi ukungalingani okumele ubunzima, uw, yencwadi nayiphi na ekhethiwe kwishelfu?	['w > 2.3', 'w < 2.4', 'w > 3.2', 'w < 3.3']	D	elementary_mathematics	D)w < 3.3	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ishelfu ineencwadi eziNe kuyo. Ubunzima, kwiiphawunzi, incwadi nganye kwishelfu ngu2.5, 3,2,2.7,2.3 kokuphi ukungalingani okumele ubunzima, uw, yencwadi nayiphi na ekhethiwe kwishelfu?
 A)w > 2.3 B)w < 2.4 C)w > 3.2 D)w < 3.3"	D
Leliphi inani ilinevelu enkulu kuno5?	['-6', '-5', '0', '5']	A	elementary_mathematics	D) 5	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Leliphi inani ilinevelu enkulu kuno5?
 A)-6 B)-5 C)0 D)5"	D
Ngubani ivelu yokwakhiwa u2(3(4^2 +1))-2^3?	['156', '110', '94', '48']	C	elementary_mathematics	C) 94	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ngubani ivelu yokwakhiwa u2(3(4^2 +1))-2^3?
 A)156 B)110 C)94 D)48"	C
UGwen ubhale umngca manani ngezantsi kwicezwana lephepha. U1,5,9,13   zeziphiiithemzi ezilandelayo kumngca manani kaGwen?	['15, 17', '15, 19', '17, 19', '17,21']	D	elementary_mathematics	C) 15	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: UGwen ubhale umngca manani ngezantsi kwicezwana lephepha. U1,5,9,13   zeziphiiithemzi ezilandelayo kumngca manani kaGwen?
 A)15 B)17 C)15 D)19"	C
Ukuba iinkonkxa ezi3 zamapere zibiza iidola ezi2.37 zingaphi iinkonkxa zamaper onako ukuzithenga ngeedola ezingama9.48?	['Iitoti ezzi-3', 'iitoti ezili-12', 'iitoti ezingam-36', 'iitoti ezili-13']	B	elementary_mathematics	D)iitoti ezili-13	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ukuba iinkonkxa ezi3 zamapere zibiza iidola ezi2.37 zingaphi iinkonkxa zamaper onako ukuzithenga ngeedola ezingama9.48?
 A)Iitoti ezzi-3 B)iitoti ezili-12 C)iitoti ezingam-36 D)iitoti ezili-13"	D
Odola kwenkulu ukuya kwencinane: 3, 3 kunye no1 ngaphezulu kuka8,3.8,3.18.	['3.18,3 kunye 1 ngaphezu kuka 8,3.8,3', '3,3 kunye 1 ngaphezu kuka 8, 3.18,3', '3.8,3 kunye 1 ngaphezu kuka 8,3.18,3', '3.8,3.18,3 kunye 1 ngaphezu kuka 8,3']	D	elementary_mathematics	C) 3.8	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Odola kwenkulu ukuya kwencinane: 3, 3 kunye no1 ngaphezulu kuka8,3.8,3.18.
 A)3.18 B)3 kunye 1 ngaphezu kuka 8 C)3.8 D)3"	C
Bala u22/ 2 +9.	['10', '11', '20', '2']	C	elementary_mathematics	The correct answer is B) 11	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Bala u22/ 2 +9.
 A)10 B)11 C)20 D)2"	B
Abemi besixeko esithile bangama836,527. Ngubani inani lamebemi xa bequlelwe kumawaka alishumi?	['800,000', '830,000', '836,000', '840,000']	D	elementary_mathematics	C) 830	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Abemi besixeko esithile bangama836,527. Ngubani inani lamebemi xa bequlelwe kumawaka alishumi?
 A)800 B)000 C)830 D)000"	C
Khangela iprodakthi ka5.(-9).	['14', '-4', '45', '-45']	D	elementary_mathematics	D)-45	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Khangela iprodakthi ka5.(-9).
 A)14 B)-4 C)45 D)-45"	D
UKeiko uchitha imini ebukele iintaka kwaye ubale iintaka ezingam34 ezininzi ekuseni kunasemalanga. Ukuba ubale iintaka ezingama76 zizonke, zingaphi iintaka azibalileyo emalanga?	['iintaka ezingama-21', 'iintaka ezingama-40', 'iintaka ezingama-42', 'iintaka ezingama-84']	A	elementary_mathematics	D)iintaka ezingama-84	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: UKeiko uchitha imini ebukele iintaka kwaye ubale iintaka ezingam34 ezininzi ekuseni kunasemalanga. Ukuba ubale iintaka ezingama76 zizonke, zingaphi iintaka azibalileyo emalanga?
 A)iintaka ezingama-21 B)iintaka ezingama-40 C)iintaka ezingama-42 D)iintaka ezingama-84"	D
Ngubani ivelu ka5+2. 15+ (12.4)?	['78', '83', '131', '153']	B	elementary_mathematics	C)131	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Ngubani ivelu ka5+2. 15+ (12.4)?
 A)78 B)83 C)131 D)153"	C
