subject,question,choices,answer,output
elementary_mathematics,Jimmy na Kima wanaenda safarini. Wataendesha gari kwa siku tatu. Siku ya kwanza wataendesha maili 182. Siku ya pili wataendesha maili 439. Siku ya tatu wataendesha maili 217. Ni usemi gani unaokaribia kukadiria umbali ambao Jimmy na Kima wataendesha gari katika safari yao?,"['150 + 400 + 200', '200 + 400 + 200', '200 + 450 + 200', '200 + 500 + 200']",C,"Ili kupata usemi unaokaribia kukadiria umbali ambao Jimmy na Kima wataendesha gari, tunaweza kuzungusha kila idadi ya maili walizoendesha kila siku hadi kwenye namba ya karibu iliyokadiriwa.

Siku ya kwanza: 182 maili, tunaweza kuizungusha hadi 200.
Siku ya pili: 439 maili, tunaweza kuizungusha hadi 450.
Siku ya tatu: 217 maili, tunaweza kuizungusha hadi 200.

Hivyo, usemi unaokaribia ni:
200 + 450 + 200

Jibu ni:
C) 200 + 450 + 200"
elementary_mathematics,Nini salio la 21 kugawanywa na 7?,"[21, 7, 1, 'Hakuna hata moja kati ya hizi']",D,Jibu ni C) 1. Kwa sababu 21 kugawanywa na 7 ni sawa na 3.
elementary_mathematics,"Maddie ataendesha baiskeli yake jumla ya maili 56 kwa siku 7. Ataendesha idadi hii hii ya maili kila siku. Je, Maddie ataendesha baiskeli maili ngapi kila siku?","[8, 9, 49, 63]",A,"Ili kupata idadi ya maili ambazo Maddie ataendesha baiskeli kila siku, tunagawanya jumla ya maili alizoendesha kwa idadi ya siku.

Jumla ya maili = 56
Idadi ya siku = 7

Maili kwa siku = 56 ÷ 7 = 8

Hivyo, Maddie ataendesha baiskeli maili 8 kila siku. Jibu ni A) 8."
elementary_mathematics,Tafuta nambari inayofanya 48 juu ya 88 = ? juu ya 11 kuwa taarifa ya kweli.,"[6, 11, 8, 5]",A,"Ili kutatua swali hili, tunahitaji kutafuta nambari ambayo inapowekwa mahali pa swali, inafanya uwiano wa kwanza (48 juu ya 88) kuwa sawa na uwiano wa pili (? juu ya 11).

Tuanze kwa kusimplify uwiano wa kwanza:
48/88

Tunaweza kugawanya namba zote mbili kwa GCD yao ambayo ni 8:
48 ÷ 8 = 6
88 ÷ 8 = 11

Hivyo, uwiano wa kwanza unakuwa:
6/11

Sasa, tunahitaji uwiano wa pili uwe sawa na 6/11. Kwa hiyo, tunatafuta nambari ambayo ikiwekwa juu ya 11 itatoa 6/11. Kwa maneno mengine, tunatafuta x ambapo:
x/11 = 6/11

Kwa kuwa denominators zote mbili ni 11, numerators lazima ziwe sawa:
x = 6

Hivyo, jibu ni:
A) 6"
elementary_mathematics,Ni ununuzi gani bora zaidi?,"['baa 10 za sabuni kwa $23.20', 'baa 16 za sabuni kwa $36.48', 'baa 13 za sabuni kwa $29.50', 'baa 12 za sabuni kwa $27.60']",C,"Ili kubaini ununuzi bora zaidi, tunahitaji kuhesabu gharama ya kila baa moja ya sabuni kwa kila chaguo.

A) Gharama ya kila baa moja ya sabuni:
   $23.20 / 10 = $2.32 kwa baa

B) Gharama ya kila baa moja ya sabuni:
   $36.48 / 16 = $2.28 kwa baa

C) Gharama ya kila baa moja ya sabuni:
   $29.50 / 13 = $2.27 kwa baa

D) Gharama ya kila baa moja ya sabuni:
   $27.60 / 12 = $2.30 kwa baa

Kutoka kwa mahesabu haya, chaguo C, ambapo kila baa moja ya sabuni inagharimu $2.27, ndio ununuzi bora zaidi kwa sababu una gharama ya chini kwa kila baa."
elementary_mathematics,"Mpigo wa moyo wa Trish anapokuwa katika hali ya kupumzika ni mapigo 50 kwa dakika. Kwa kila dakika ya kufanya mazoezi, mpigo wa moyo wake huongezeka mara 5 kwa dakika. Itachukua muda gani ili moyo wake upige mara 120 kwa dakika?","['dakika 5', 'dakika 14', 'dakika 34', 'dakika 70']",B,"Mpigo wa moyo wa Trish anapokuwa katika hali ya kupumzika ni mapigo 50 kwa dakika. Kwa kila dakika ya kufanya mazoezi, mpigo wa moyo wake huongezeka kwa mapigo 5 kwa dakika.

Tunataka kujua itachukua muda gani mpigo wa moyo wake kufikia mapigo 120 kwa dakika. Kwa hiyo, tunahitaji kutafuta tofauti kati ya mapigo 120 na mapigo ya awali ya 50, na kugawanya tofauti hiyo kwa ongezeko la mapigo kwa dakika.

Tofauti ya mapigo ya moyo = 120 - 50 = 70

Ongezeko la mapigo kwa dakika = 5

Muda unaohitajika (dakika) = Tofauti ya mapigo / Ongezeko kwa dakika = 70 / 5 = 14

Jibu ni B) dakika 14."
elementary_mathematics,"Tafuta nambari ya katikati katika seti ifuatayo ya data 23, 13, 18, 29, 32, 25.","[18, 24, 25, 29]",B,"Ili kupata nambari ya katikati (median) katika seti ya data, kwanza unahitaji kupanga data hiyo kwa utaratibu kutoka kwa thamani ndogo zaidi hadi kubwa zaidi. Seti ya data uliyotoa ni: 23, 13, 18, 29, 32, 25.

Tukipanga data hii kwa utaratibu kutoka ndogo hadi kubwa tunapata:
13, 18, 23, 25, 29, 32.

Kwa kuwa kuna idadi sawa ya data points (6, ambayo ni namba shufwa), median itakuwa wastani wa thamani mbili za katikati. Hizi ni 23 na 25.

Kupata wastani wa 23 na 25:
(23 + 25) / 2 = 48 / 2 = 24.

Hivyo, nambari ya katikati katika seti hii ya data ni 24.

Jibu ni: B) 24."
elementary_mathematics,"Jack anachukua matufaha 60 kutoka kwa mti wa matufaha. Anatumia 12 kati ya hayo matufaha kutengeneza mchuzi wa tufaha. Anaweka matufaha yaliyobaki kwa usawa katika vikapu 6 vya zawadi. Ni mlinganyo gani unaweza kutumika kubainisha idadi ya matufaha, a, ambayo Jack anaweka kwenye kila kikapu cha zawadi?","['(60/6)—12=a', '(60—12)/6=a', '(60-6)-12=a', '(60+12)/6=a']",B,"Ili kupata idadi ya matufaha, a, ambayo Jack anaweka kwenye kila kikapu cha zawadi, tunahitaji kwanza kupunguza idadi ya matufaha aliyotumia kutengeneza mchuzi wa tufaha kutoka kwa jumla ya matufaha aliyochukua. Jack alianza na matufaha 60 na alitumia 12 kutengeneza mchuzi. Hivyo, matufaha yaliyobaki ni:

60 - 12 = 48

Kisha, tunagawanya matufaha yaliyobaki kwa idadi ya vikapu vya zawadi ili kupata idadi ya matufaha kwa kila kikapu. Kuna vikapu 6, hivyo:

48 / 6 = 8

Hivyo, mlinganyo unaofaa kutumika ni:

(60 - 12) / 6 = a

Jibu ni B) (60 - 12) / 6 = a."
elementary_mathematics,Ramani fulani hutumia kipimo cha inchi 1 sawa na maili 25. Ni maili ngapi zinawakilishwa na inchi 5 kwenye ramani hii?,"[5, 25, 50, 125]",D,"Kwa kila inchi moja kwenye ramani, kuna maili 25. Kwa hiyo, kama una inchi 5, unazidisha 25 kwa 5:

25 maili/inchi × 5 inchi = 125 maili.

Hivyo, jibu ni D) 125."
elementary_mathematics,Rahisisha (2 + 5)^2 − 42.,"[7, 16, 30, 33]",A,"Kwanza tunahesabu ndani ya mabano:

(2 + 5) = 7

Kisha tunapandisha matokeo kwa kipeo cha pili:

7^2 = 49

Hatimaye, tunapunguza 42 kutoka 49:

49 - 42 = 7

Jibu ni A) 7."
elementary_mathematics,Tafuta thamana ya 4 ÷ 2 • 2 + 8 − 4.,"[-12, 12, 8, 16]",C,"Ili kupata jibu sahihi, tunahitaji kufuata sheria za upangilio wa operesheni za kihesabu (PEMDAS/BODMAS), ambapo tunafanya kazi na mabano, nguvu (exponents), kuzidisha na kugawanya (kutoka kushoto kwenda kulia), na mwishowe kujumlisha na kutoa (kutoka kushoto kwenda kulia).

Hebu tufanye hesabu kwa hatua:

1. Hakuna mabano au nguvu za hesabu, hivyo tunaendelea na kuzidisha na kugawanya.
2. Tunaanza na kugawanya na kuzidisha kutoka kushoto kwenda kulia:
   - 4 ÷ 2 = 2
   - 2 • 2 = 4

   Sasa, badala ya 4 ÷ 2 • 2, tuna 2 • 2 ambayo ni 4.

3. Sasa tunajumlisha na kutoa kutoka kushoto kwenda kulia:
   - 4 + 8 = 12
   - 12 - 4 = 8

Hivyo, jibu la hesabu 4 ÷ 2 • 2 + 8 − 4 ni 8.

Chaguo sahihi ni C) 8."
elementary_mathematics,Mkufunzi mmoja alikata hesabu ya wakimbiaji kwenye mashindano ya mbio hadi karibu 10. Idadi ya wakimbiaji iliyofupishwa ni 400. Ni nambari gani inayoweza kuwa idadi halisi ya wakimbiaji katika shindano la mbio za riadha?,"[382, 397, 406, 447]",B,"Mkufunzi alikata hesabu ya wakimbiaji hadi karibu 10, hii inamaanisha kuwa idadi halisi ya wakimbiaji ilikuwa karibu na 400 kwa kiwango cha makumi. Hii ina maana kwamba idadi halisi ya wakimbiaji inaweza kuwa kati ya 395 na 405, kwa sababu hesabu hizi zote zikikatwa hadi karibu 10 zitatoa 400.

Kati ya majibu yaliyotolewa:
A) 382 - Hii si sahihi kwa sababu ikikatwa hadi karibu 10 itakuwa 380.
B) 397 - Hii ni sahihi kwa sababu ikikatwa hadi karibu 10 itakuwa 400.
C) 406 - Hii si sahihi kwa sababu ikikatwa hadi karibu 10 itakuwa 410.
D) 447 - Hii si sahihi kwa sababu ikikatwa hadi karibu 10 itakuwa 450.

Kwa hivyo, jibu sahihi ni:
B) 397"
elementary_mathematics,−4 +  ( −3 )=,"[-7, -1, 1, 7]",A,"To solve the expression −4 + (−3), you add the two numbers together. Since both numbers are negative, their absolute values will be added, and the result will also be negative:

−4 + (−3) = −4 − 3 = −7

Thus, the correct answer is:
A) -7"
elementary_mathematics,"Mark ina mkusanyiko wa stempu. Ana stempu 22 kutoka Japani, 34 kutoka Kanada, na 17 kutoka Mexico. Ana mihuri stempu kwa jumla?","[53, 63, 73, 83]",C,"Ili kupata jumla ya stempu alizonazo Mark, tunahitaji kujumlisha idadi ya stempu kutoka kila nchi:

Stempu kutoka Japani = 22
Stempu kutoka Kanada = 34
Stempu kutoka Mexico = 17

Jumla ya stempu = 22 + 34 + 17 = 73

Hivyo, jibu ni C) 73."
elementary_mathematics,Tambua suluhisho la mlinganyo x + 2.7 = 8.4 kutoka kwa nambari zilizotolewa.,"[11.1, 5.7, 3.7, 22.68]",B,"Ili kupata suluhisho la mlinganyo x + 2.7 = 8.4, tunahitaji kutatua kwa x kwa kuondoa 2.7 kutoka pande zote za mlinganyo:

x + 2.7 = 8.4
x = 8.4 - 2.7
x = 5.7

Hivyo, suluhisho la mlinganyo ni x = 5.7.

Jibu ni B) 5.7."
elementary_mathematics,Tafuta nambari inayofanya taarifa hii kuwa ya kweli: 0.32 g = _ cg.,"[32, 3.2, 3200, 320]",A,"Ili kubadilisha gramu (g) kuwa sentigramu (cg), tunatumia kigezo kwamba 1 gramu ni sawa na 100 sentigramu. Hivyo, tunaweza kubadilisha 0.32 gramu kuwa sentigramu kwa kuzidisha na 100.

\[ 0.32 \, \text{g} \times 100 = 32 \, \text{cg} \]

Jibu ni:
A) 32"
elementary_mathematics,Pata suluhisho la 5.7(8) kiakili kwa kutumia mbinu ya Mali ya Usambazaji.,"[46.4, 456, 4.56, 45.6]",D,"Ili kupata suluhisho la 5.7(8) kwa kutumia mbinu ya Mali ya Usambazaji, tunaweza kufuata hatua zifuatazo:

1. Tumia mali ya usambazaji (distributive property) kwenye zoezi: 5.7(8) inaweza kuandikwa kama (5 + 0.7) × 8.

2. Sasa, tumia mali ya usambazaji kusambaza 8 kwa kila kipengele ndani ya mabano:
   - 5 × 8 = 40
   - 0.7 × 8 = 5.6

3. Jumlisha matokeo ya hapo juu:
   - 40 + 5.6 = 45.6

Kwa hiyo, jibu la 5.7(8) ni 45.6, ambayo ni chaguo D) 45.6."
elementary_mathematics,"Ni nini uwiano kwa usemi huu 2,314 / 4?","[508, '508 r2', 578, '578 r2']",D,"Ili kupata uwiano wa 2,314 / 4, tunahitaji kugawanya 2,314 kwa 4. Hapa ni mahesabu yake:

2,314 ÷ 4 = 578 r2

Hii inamaanisha kuwa 2,314 inagawanyika mara 578 katika 4, na kubaki na masalio (remainder) ya 2. Kwa hiyo, jibu sahihi ni:

D) 578 r2"
elementary_mathematics,"Rosa ana lengo la kukimbia jumla ya maili 100 mwezi huu. Kila siku alipokimbia, alikimbia maili 5. Je, Rosa anaweza kutumia usemi gani kubainisha ni maili ngapi amesalia kukimbia baada ya kukimbia kwa siku d?","['100 — 5d', '5d+ 100', '100 / 5d', '5d']",A,"Rosa ana lengo la kukimbia jumla ya maili 100. Kila siku anapokimbia, anakimbia maili 5. Ili kubainisha ni maili ngapi amesalia kukimbia baada ya siku d, tunaweza kutumia usemi:

100 - 5d

Hii ni kwa sababu kila siku Rosa anapokimbia, anapunguza maili 5 kutoka kwenye lengo lake la maili 100. Kwa hiyo, baada ya siku d, atakuwa amekimbia jumla ya maili 5d. Kwa hiyo, maili zilizosalia ni 100 minus maili alizokimbia, ambazo ni 5d.

Kwa hiyo, jibu sahihi ni:
A) 100 - 5d"
elementary_mathematics,Tambua usemi wa aljebra unaolingana na kishazi cha maneno: mara 4 ya makopo mengi kama Tom alivyokusanya.,"['4t', 't juu ya 4', 't − 4', 't + 4']",A,"Usemi wa aljebra unaolingana na kishazi cha maneno ""mara 4 ya makopo mengi kama Tom alivyokusanya"" ni:

A) 4t

Hii inamaanisha kuwa idadi ya makopo ambayo Tom alikusanya (t) inazidishwa mara nne."
elementary_mathematics,"Andrew aliandika nambari 186,425 kwenye ubao. Katika nambari gani thamana ya nambari 6 ni sawa na mara 10 ya thamana ya nambari 6 katika nambari Andrew aliandika?","[681452, 462017, 246412, 125655]",B,"Katika nambari 186,425, nambari 6 iko katika nafasi ya maelfu, hivyo thamani yake ni 6,000.

Ili kupata nambari ambayo thamani ya nambari 6 ni mara 10 ya 6,000, tunahitaji thamani ya 60,000 kwa nambari 6. Hii inamaanisha kwamba nambari 6 lazima iwe katika nafasi ya makumi ya maelfu.

Tuchunguze chaguo zilizotolewa:
A) 681,452 - Hapa, 6 iko katika nafasi ya laki, hivyo thamani yake ni 600,000.
B) 462,017 - Hapa, 6 iko katika nafasi ya elfu kumi, hivyo thamani yake ni 60,000.
C) 246,412 - Hapa, 6 iko katika nafasi ya elfu, hivyo thamani yake ni 6,000.
D) 125,655 - Hapa, 6 iko katika nafasi ya mia, hivyo thamani yake ni 600.

Chaguo B (462,017) ndilo linalofaa kwa sababu thamani ya nambari 6 ni 60,000, ambayo ni mara 10 ya thamani ya nambari 6 katika nambari 186,425."
elementary_mathematics,123 /8 ni nini?,"['15 na salio la 7', '15 na salio la 3', '16 na salio la 5', '16 na salio la 1']",B,"Ili kupata jibu la swali hili, tunahitaji kugawanya 123 kwa 8 na kupata thamani ya mgawanyo na salio.

123 ÷ 8 = 15 na salio la 3

Hii ni kwa sababu 8 inaingia mara 15 katika 123, na kubaki na 3 ambayo haiwezi kugawanywa na 8.

Hivyo, jibu ni:
B) 15 na salio la 3"
elementary_mathematics,"Andika 8 na 2 juu ya 4 kama akisami ambayo nambari ya juu ni kubwa kuliko ya chini ,kwa njia rahisi zaidi.","['17 juu ya 2', '34 juu ya 4', '17 juu ya 4', '19 juu ya 2']",A,"Kwanza, tunabadilisha namba iliyochanganywa 8 na 2 juu ya 4 kuwa akisami. Namba iliyochanganywa inamaanisha kuwa kuna sehemu nzima na sehemu ya kikasirani. Hapa, 8 ni sehemu nzima na 2/4 ni sehemu ya kikasirani.

Tunaweza kuibadilisha sehemu nzima kuwa kikasirani kwa kuzidisha na kikasirani cha sehemu ya chini (ambacho ni 4 katika kesi hii):
\[ 8 \times \frac{4}{4} = \frac{32}{4} \]

Kisha tunajumlisha kikasirani cha sehemu ya juu na kikasirani tulichopata kutoka kwa sehemu nzima:
\[ \frac{32}{4} + \frac{2}{4} = \frac{34}{4} \]

Hivyo, 8 na 2 juu ya 4 kama akisami ni \(\frac{34}{4}\). Lakini swali linataka akisami ambayo nambari ya juu ni kubwa kuliko ya chini, na pia kwa njia rahisi zaidi. Tunaweza kurahisisha \(\frac{34}{4}\) kwa kugawanya nambari ya juu na ya chini kwa 2:
\[ \frac{34 \div 2}{4 \div 2} = \frac{17}{2} \]

Hivyo, jibu sahihi ni:
A) 17 juu ya 2."
elementary_mathematics,"Ni usemi gani unaweza kutumika kuonyesha 270,240 ikiandikwa kwa njia iliyopanuliwa?","['200,000 + 7,000 + 200 + 4', '200,000 + 7,000 + 200 + 40', '200,000 + 70,000 + 200 + 40', '200,000 + 70,000 + 2,000 + 40']",C,"Usemi unaofaa kuonyesha namba 270,240 ikiandikwa kwa njia iliyopanuliwa ni:

270,000 + 200 + 40

Hii inamaanisha kwamba kila tarakimu inawakilishwa na thamani yake ya nafasi katika namba. Kwa mfano, katika namba 270,240:

- 2 ina thamani ya 200,000 (lakini hii haijaorodheshwa kwenye chaguo zilizotolewa)
- 7 ina thamani ya 70,000 (lakini hii pia haijaorodheshwa kwenye chaguo zilizotolewa)
- 0 ina thamani ya 0,000 (hii pia haijaorodheshwa)
- 2 ina thamani ya 200
- 4 ina thamani ya 40
- 0 ina thamani ya 0

Kwa bahati mbaya, hakuna chaguo lililotolewa ambalo linawakilisha namba 270,240 kwa usahihi kulingana na njia iliyopanuliwa. Chaguo zilizotolewa zina makosa au hazikamiliki. Kwa mfano, chaguo (C) ""000 + 200 + 4"" linaeleza 204 tu, ambayo si sahihi kwa namba 270,240."
elementary_mathematics,"Mfanyakazi kwenye mstari wa kusanyiko huchukua muda wa saa 7 kutengeneza sehemu 22. Kwa mwendo huo, anaweza kutengeneza sehemu ngapi katika muda wa saa 35?","['sehemu 220', 'sehemu 770', 'sehemu 4', 'sehemu 110']",D,"Ili kupata idadi ya sehemu ambazo mfanyakazi anaweza kutengeneza katika saa 35, tunaweza kutumia uwiano wa moja kwa moja kulingana na muda na idadi ya sehemu alizotengeneza awali.

Kwanza, tunajua kwamba mfanyakazi hutengeneza sehemu 22 katika saa 7. Hivyo, tunaweza kupata idadi ya sehemu anazoweza kutengeneza kwa saa moja kwa kugawanya idadi ya sehemu kwa idadi ya saa:
\[ \text{Sehemu kwa saa} = \frac{22 \text{ sehemu}}{7 \text{ saa}} \approx 3.14 \text{ sehemu kwa saa} \]

Kisha, tunazidisha idadi ya sehemu anazoweza kutengeneza kwa saa moja na idadi ya saa tunazotaka kujua, ambayo ni saa 35:
\[ \text{Sehemu katika saa 35} = 3.14 \text{ sehemu kwa saa} \times 35 \text{ saa} \approx 110 \text{ sehemu} \]

Hivyo, jibu ni:
D) sehemu 110"
elementary_mathematics,"Abe alipata idadi ya wastani na nambari ya katikati kwa orodha hii. 1, 3, 3 Ikiwa nambari 6 iliongezwa kwenye orodha, basi","['idadi ya wastani ingeongezeka', 'idadi ya wastani ingepungua', 'nambari ya katikati ingeongezeka', 'nambari ya katikati ingeongezeka']",A,"Tuanze kwa kuchambua orodha ya awali ambayo ni 1, 3, 3.

1. **Idadi ya wastani (mean)**: Hii ni wastani wa nambari zote kwenye orodha. Kwa hivyo, tunapata:
   \[
   \text{Mean} = \frac{1 + 3 + 3}{3} = \frac{7}{3} \approx 2.33
   \]

2. **Nambari ya katikati (median)**: Hii ni nambari iliyo katikati ya orodha iliyopangwa. Kwa orodha ya 1, 3, 3, nambari ya katikati ni 3.

Sasa, tuchunguze kinachotokea ikiwa nambari 6 inaongezwa kwenye orodha. Orodha mpya itakuwa 1, 3, 3, 6.

1. **Idadi ya wastani (mean) mpya**: 
   \[
   \text{Mean mpya} = \frac{1 + 3 + 3 + 6}{4} = \frac{13}{4} = 3.25
   \]
   Kwa hivyo, idadi ya wastani imeongezeka kutoka 2.33 hadi 3.25.

2. **Nambari ya katikati (median) mpya**: Kwa orodha ya 1, 3, 3, 6, nambari za katikati ni 3 na 3 (kwa kuwa kuna idadi sawa ya nambari kabla na baada ya nambari hizi mbili). Hivyo, median ni:
   \[
   \text{Median mpya} = \frac{3 + 3}{2} = 3
   \]
   Nambari ya katikati haijabadilika; bado ni 3.

Kwa hivyo, majibu sahihi ni:

A) Idadi ya wastani ingeongezeka.  
C) Nambari ya katikati ingebaki vilevile (hakuna chaguo kinachosema h"
elementary_mathematics,"Wakati n = 11, ni nini thamana ya 10 – (n + 6)?","[-7, 5, 7, 27]",A,"Ili kupata thamani ya 10 – (n + 6) wakati n = 11, tunaweza kufuata hatua zifuatazo:

1. Weka thamani ya n katika mlinganyo:
   \( n + 6 = 11 + 6 = 17 \)

2. Toa thamani hii kutoka 10:
   \( 10 - 17 = -7 \)

Kwa hiyo, jibu ni A) -7."
elementary_mathematics,"Usemi gani unawakilisha kifungu hapa chini? 3 ni chache kuliko nambari, p","['3-p', 'p+3', '3/p', 'p-3']",D,"Kifungu ""3 ni chache kuliko nambari, p"" kinaweza kutafsiriwa kwa Kiingereza kama ""3 is less than a number p."" Kwa hiyo, kifungu hiki kinaweza kuonyeshwa kwa kutumia ishara za hisabati kama ""3 < p"". Hata hivyo, kama tunataka kuandika kifungu hiki kama equation au expression, tunaweza kusema kuwa tofauti kati ya nambari p na 3 ni kiasi ambacho p ni kikubwa zaidi kuliko 3. Hii inaweza kuandikwa kama \( p - 3 \).

Kwa hiyo, jibu sahihi ni:
D) p-3"
