question	choices	answer	subject	command_r+	prompt
Jimmy na Kima bakeyi mobembo. Batamboli mpo na mikolo misato. Mokolo ya liboso, basali 182 kilometele. Mokolo ya mibale, batamboli 439 kilometele. Mokolo ya misato, basali 217 kilometele. Operation ya pembeni nini ya kokanisa motango ya kilometele ya kotambola ya Jimmy na Kima na ntango ya mobembo na bango ?	['150 + 400 + 200', '200 + 400 + 200', '200 + 450 + 200', '200 + 500 + 200']	C	elementary_mathematics	C)200 + 450 + 200	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Jimmy na Kima bakeyi mobembo. Batamboli mpo na mikolo misato. Mokolo ya liboso, basali 182 kilometele. Mokolo ya mibale, batamboli 439 kilometele. Mokolo ya misato, basali 217 kilometele. Operation ya pembeni nini ya kokanisa motango ya kilometele ya kotambola ya Jimmy na Kima na ntango ya mobembo na bango ?
 A)150 + 400 + 200 B)200 + 400 + 200 C)200 + 450 + 200 D)200 + 500 + 200"
pesa Oyo etikali na bo kaboli ya 21 na 7?	['21', '7', '1', 'ata Moko te ya bi yano Oyo epesami']	D	elementary_mathematics	C)1	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: pesa Oyo etikali na bo kaboli ya 21 na 7?
 A)21 B)7 C)1 D)ata Moko te ya bi yano Oyo epesami"
Maddie akatisi 56 kilometele na velo na mikolo 7. Atambolaka motango ya kilometele moko mikolo nyoso. Motango boni ya kilometele ya kotambola ya Maddie mikolo nyoso ?	['8', '9', '49', '63']	A	elementary_mathematics	D)63	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Maddie akatisi 56 kilometele na velo na mikolo 7. Atambolaka motango ya kilometele moko mikolo nyoso. Motango boni ya kilometele ya kotambola ya Maddie mikolo nyoso ?
 A)8 B)9 C)49 D)63"
Tiya motango ya kolakisa bosolo ya kondima ya 48 likolo 88 = ? likolo 11.	['6', '11', '8', '5']	A	elementary_mathematics	B)11	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Tiya motango ya kolakisa bosolo ya kondima ya 48 likolo 88 = ? likolo 11.
 A)6 B)11 C)8 D)5"
Kopesa ya kitoko nini kati na kolakisa oyo elandi nsima ?	['Biteni 10 ya sabuni na 23,20 $', 'Biteni 16 ya sabuni na 36, 48 $', 'Biteni 13 ya sabuni na 29,51 $', 'Biteni 12 ya sabuni na 27,60 $']	C	elementary_mathematics	C)Biteni 16 ya sabuni na 36	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Kopesa ya kitoko nini kati na kolakisa oyo elandi nsima ?
 A)Biteni 10 ya sabuni na 23 B)20 $ C)Biteni 16 ya sabuni na 36 D)48 $"
Fréquence ya motema ya Trish na kopema ekokani na kobeta 50 na minute. Mpo na minute nyoso ya mosala, abakisi kobeta 5 na minute. Ngonga boni esengeli na ye kokoma na rythme ya kobeta 120 na minute ?	['5 minutes', '14 minutes', '34 minutes', '70 minutes']	B	elementary_mathematics	C)34 minutes	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Fréquence ya motema ya Trish na kopema ekokani na kobeta 50 na minute. Mpo na minute nyoso ya mosala, abakisi kobeta 5 na minute. Ngonga boni esengeli na ye kokoma na rythme ya kobeta 120 na minute ?
 A)5 minutes B)14 minutes C)34 minutes D)70 minutes"
Sala calcul ya médiane na lisanga ya ba donnée oyo elandi nsima	['18', '24', '25', '29']	B	elementary_mathematics	B)24	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Sala calcul ya médiane na lisanga ya ba donnée oyo elandi nsima
 A)18 B)24 C)25 D)29"
Na nzete ya pommier Jack abuki mbuma 60. Alambi compote na pomme 12 mpe atiyi mbuma etikali pembeni na kitunga ya libonza ya kokokana.  Equation nini ekoki kotiyama mpo na kotala motongo ya pomme etiyami na Jack na kitunga moko na moko ?	['(60/6)—12=a', '(60—12)/6=a', '(60-6)-12=a', '(60+12)/6=a']	B	elementary_mathematics	A	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Na nzete ya pommier Jack abuki mbuma 60. Alambi compote na pomme 12 mpe atiyi mbuma etikali pembeni na kitunga ya libonza ya kokokana.  Equation nini ekoki kotiyama mpo na kotala motongo ya pomme etiyami na Jack na kitunga moko na moko ?
 A)(60/6)—12=a B)(60—12)/6=a C)(60-6)-12=a D)(60+12)/6=a"
Mpo na carte lambda esalemi na ebuteli ya 1 pouce = 25 kilometele. Motuya boni ya kilometele elakisami na pouce 5 likolo ya carte ?	['5', '25', '50', '125']	D	elementary_mathematics	D)125	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Mpo na carte lambda esalemi na ebuteli ya 1 pouce = 25 kilometele. Motuya boni ya kilometele elakisami na pouce 5 likolo ya carte ?
 A)5 B)25 C)50 D)125"
komisa Pete opération (2 + 5)^2 - 42.	['7', '16', '30', '33']	A	elementary_mathematics	C)30	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: komisa Pete opération (2 + 5)^2 - 42.
 A)7 B)16 C)30 D)33"
pesa valeur ya 4 ÷ 2 - 2 + 8 - 4.	['-12', '12', '8', '16']	C	elementary_mathematics	C)8	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: pesa valeur ya 4 ÷ 2 - 2 + 8 - 4.
 A)-12 B)12 C)8 D)16"
Entraîneur moko abongisi motango ya bapoti na mbangu ya athlétisme mpo na ba zomi ya pembeni. Motango bakokisi ya bapoti ezali 400. Motango ya solo ekozala nini ya bapoti na athlétisme ?	['382', '397', '406', '447']	B	elementary_mathematics	406	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Entraîneur moko abongisi motango ya bapoti na mbangu ya athlétisme mpo na ba zomi ya pembeni. Motango bakokisi ya bapoti ezali 400. Motango ya solo ekozala nini ya bapoti na athlétisme ?
 A)382 B)397 C)406 D)447"
−4 +  ( −3 )=	['-7', '-1', '1', '7']	A	elementary_mathematics	A) -7	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: −4 +  ( −3 )=
 A)-7 B)-1 C)1 D)7"
Marc azali na lisanga ya biloko ya timbre esangani na 22 timbre ebimi na Japon, 34 na Canada mpe 17 na Mexique. Motuya boni ya timbre azali na yango nyoso ?	['53', '63', '73', '83']	C	elementary_mathematics	C)73	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Marc azali na lisanga ya biloko ya timbre esangani na 22 timbre ebimi na Japon, 34 na Canada mpe 17 na Mexique. Motuya boni ya timbre azali na yango nyoso ?
 A)53 B)63 C)73 D)83"
Pesa solution Na ekwation x + 2,7 = 8,4 na Nzela ya mitango Oyo mipesami	['11,1', '5,7', '3,7', '22,68']	B	elementary_mathematics	C)5	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Pesa solution Na ekwation x + 2,7 = 8,4 na Nzela ya mitango Oyo mipesami
 A)11 B)1 C)5 D)7"
motango nini ya kotala mpo na kondima oyo elandi : 0,32 g = _ cg ?	['32', '3,2', '3,200', '320']	A	elementary_mathematics	B)3	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: motango nini ya kotala mpo na kondima oyo elandi : 0,32 g = _ cg ?
 A)32 B)3 C)2 D)3"
Luka produit ya 5,7(8) Na kosalela formule ya distributivité ya kalculi ya mutu	['46.4', '456', '4,56', '45,6']	D	elementary_mathematics	D)56	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Luka produit ya 5,7(8) Na kosalela formule ya distributivité ya kalculi ya mutu
 A)46.4 B)456 C)4 D)56"
Quotient nini ya maloba 2.314 /4 ? 	['508', '508 r2', '578', '578 r2']	D	elementary_mathematics	B)508 r2	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Quotient nini ya maloba 2.314 /4 ? 
 A)508 B)508 r2 C)578 D)578 r2"
Mpo na sanza oyo, Rosa atiyi ndelo na ntina ya kopota na ntaka nyoso ya kilometele 100. Mikolo nyoso epai wapi asali mbangu na ye, asali kilometele 5. Maloba nini Rosa akoki kosalela mpo ya kotala motongo ya kilometele etikali ya kosala na nsima ya kopota mikolo mibale ?	['100 — 5j', '5j+ 100', '100 / 5j', ' 5j']	A	elementary_mathematics	C)100 / 5j	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Mpo na sanza oyo, Rosa atiyi ndelo na ntina ya kopota na ntaka nyoso ya kilometele 100. Mikolo nyoso epai wapi asali mbangu na ye, asali kilometele 5. Maloba nini Rosa akoki kosalela mpo ya kotala motongo ya kilometele etikali ya kosala na nsima ya kopota mikolo mibale ?
 A)100 — 5j B)5j+ 100 C)100 / 5j D) 5j"
monisa expression ya algèbre oyoeza ndenge Moko na phrase : mbala 4 koleka mulongi ya linzanza koleka tom	['4f', 'f sur 4', 'f-4', 'f+4']	A	elementary_mathematics	A)4f	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: monisa expression ya algèbre oyoeza ndenge Moko na phrase : mbala 4 koleka mulongi ya linzanza koleka tom
 A)4f B)f sur 4 C)f-4 D)f+4"
Andrew akomi motango 186 425 na etanda. Na kati ya motango oyo elandi, elakisi motango ya valeur ya chiffre 6 ezali mbala 10 ya valeur ya chiffre 6 na motango ekomami na Andrew. 	['681 452', '462 017', '246 412', '125 655']	B	elementary_mathematics	A)681 452	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Andrew akomi motango 186 425 na etanda. Na kati ya motango oyo elandi, elakisi motango ya valeur ya chiffre 6 ezali mbala 10 ya valeur ya chiffre 6 na motango ekomami na Andrew. 
 A)681 452 B)462 017 C)246 412 D)125 655"
Nini eza représenter 122/8?	['15 Oyo Tikali 7', '15 Oyo etikali 3', '16 Oyo etikali 5', '16 Oyo etikali 1']	B	elementary_mathematics	C)16 Oyo etikali 5	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Nini eza représenter 122/8?
 A)15 Oyo Tikali 7 B)15 Oyo etikali 3 C)16 Oyo etikali 5 D)16 Oyo etikali 1"
koma 8 PE 2 likola ya 4 na ndange ya ezaleli ya Pete makasi ya eteni ya bokaboli impropre	['17 sur 2', '34 sur 4', '17 sur 4', '19 sur 2']	A	elementary_mathematics	C)17 sur 4	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: koma 8 PE 2 likola ya 4 na ndange ya ezaleli ya Pete makasi ya eteni ya bokaboli impropre
 A)17 sur 2 B)34 sur 4 C)17 sur 4 D)19 sur 2"
Maloba nini bakoki kosalela mpo ya koloba 270, 240 na lolenge ya kolimbola	['200.000 + 7.000 + 200 + 4', '200.000 + 7.000 + 200 + 40', '200.000 + 70.000 + 200 + 40', '200.000 + 70.000 + 2.000 + 40']	C	elementary_mathematics	B)200.000 + 7.000 + 200 + 40	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Maloba nini bakoki kosalela mpo ya koloba 270, 240 na lolenge ya kolimbola
 A)200.000 + 7.000 + 200 + 4 B)200.000 + 7.000 + 200 + 40 C)200.000 + 70.000 + 200 + 40 D)200.000 + 70.000 + 2.000 + 40"
Na singa ya bosali, mosali Moko Azo sala 7 heures PONA ko sala 22 bitenies. Na lolenge Wana, Akoki kosala ba unités boni Na 35 heures?	['220 unités', '770 unités', '4 unités', '110 unités']	D	elementary_mathematics	B)770 unités	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Na singa ya bosali, mosali Moko Azo sala 7 heures PONA ko sala 22 bitenies. Na lolenge Wana, Akoki kosala ba unités boni Na 35 heures?
 A)220 unités B)770 unités C)4 unités D)110 unités"
Abe azwi moyenne na mpe médiane ya kolandana ya motuya oyo elandi : 1,3,3. Soki motango 6 ebakisami na liste, na ntango wana	['Moyenne ekomata.', 'Moyenne ekokita.', 'Médiane ekomata', 'Médiane ekokita.']	A	elementary_mathematics	C)Médiane ekomata	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Abe azwi moyenne na mpe médiane ya kolandana ya motuya oyo elandi : 1,3,3. Soki motango 6 ebakisami na liste, na ntango wana
 A)Moyenne ekomata. B)Moyenne ekokita. C)Médiane ekomata D)Médiane ekokita."
Na ntango n= 11, motuya nini ya 10 - (n + 6) ?	['-7', '5', '7', '27']	A	elementary_mathematics	C)7	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Na ntango n= 11, motuya nini ya 10 - (n + 6) ?
 A)-7 B)5 C)7 D)27"
proposition Nini ezo lobela phrazi Oyo? 3 Na se ya matongo, p.	['3-p', 'p+3', '3/p', 'p-3']	D	elementary_mathematics	p-3	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: proposition Nini ezo lobela phrazi Oyo? 3 Na se ya matongo, p.
 A)3-p B)p+3 C)3/p D)p-3"
Na cinema ntalo ya billet ya film moko ezali na 6 $. Maloba elandi nsima bakoki kosalela mpo ya kozwa mosolo oyo cinema azwi na koteka ba billet : 6 x 500. Likanisi mosusu nini bakoki kosalela na calcul ya mosolo na caisse ya cinema mpo na ba billet ?	['30 × 10^1', '30 × 10^3', '(6 × 5) × 10^2', '(6 × 5) × 10^3']	C	elementary_mathematics	C) (6 x 5) x 10^2	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Na cinema ntalo ya billet ya film moko ezali na 6 $. Maloba elandi nsima bakoki kosalela mpo ya kozwa mosolo oyo cinema azwi na koteka ba billet : 6 x 500. Likanisi mosusu nini bakoki kosalela na calcul ya mosolo na caisse ya cinema mpo na ba billet ?
 A)30 × 10^1 B)30 × 10^3 C)(6 × 5) × 10^2 D)(6 × 5) × 10^3"
To tia 12-9+c=12. pesa valeur ya cpona ekwation ezala solo?	['0', '3', '9', '12']	C	elementary_mathematics	C)9	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: To tia 12-9+c=12. pesa valeur ya cpona ekwation ezala solo?
 A)0 B)3 C)9 D)12"
Libota ya Sojourn bakeyi vaccances na mosolo ya kobanda na 2000 $. Soki abebisi 150 $ na mokolo, maloba nini elakisi mosolo oyo azali na yango na nsima ya x mikolo ?	['1850x', '2000-150x', '150x', '2000 +150x']	B	elementary_mathematics	A)1850x	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Libota ya Sojourn bakeyi vaccances na mosolo ya kobanda na 2000 $. Soki abebisi 150 $ na mokolo, maloba nini elakisi mosolo oyo azali na yango na nsima ya x mikolo ?
 A)1850x B)2000-150x C)150x D)2000 +150x"
Étagère moko ezali na buku minei. Kilo ya buku ya kolandana, moko na moko na buku minei na étagère ezali 2,5; 3,2; 2,7; 2,3. Bokeseni ya koloba ya poids, p, ya buku moko baponi na étagère ?	['w > 2.3', 'w < 2,4', 'w > 3,2', 'w < 3,3']	D	elementary_mathematics	A)w > 2.3	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Étagère moko ezali na buku minei. Kilo ya buku ya kolandana, moko na moko na buku minei na étagère ezali 2,5; 3,2; 2,7; 2,3. Bokeseni ya koloba ya poids, p, ya buku moko baponi na étagère ?
 A)w > 2.3 B)w < 2 C)4 D)w > 3"
Motango nini ezali na motuya ya ndelo te likolo na 5 ?	['-6', '-5', '0', '5']	A	elementary_mathematics	C)0	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Motango nini ezali na motuya ya ndelo te likolo na 5 ?
 A)-6 B)-5 C)0 D)5"
pesa valeur ya phrazi 2(3(4^2+1))-2^3?	['156', '110', '94', '48']	C	elementary_mathematics	B)110	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: pesa valeur ya phrazi 2(3(4^2+1))-2^3?
 A)156 B)110 C)94 D)48"
likolo ya likasa Moko ya papier, Gwen a sali lolenge ya mitango Oyo elandi : 1,5,9,13. ba motango Oyo mibale ekolanda Na motif ya Gwen eza Nini?	['15.17', '15,19', '17,19', '17,21']	D	elementary_mathematics	C)19	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: likolo ya likasa Moko ya papier, Gwen a sali lolenge ya mitango Oyo elandi : 1,5,9,13. ba motango Oyo mibale ekolanda Na motif ya Gwen eza Nini?
 A)15.17 B)15 C)19 D)17"
Soki conserve ya poire ezali na ntalo ya 2,37 $, motuya boni ya conserve ya poire bokoki kosomba na 9,48 $ ?	['3 conserves', '12 conserves', '36 conserves', '13 conserves']	B	elementary_mathematics	C)36 conserves	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Soki conserve ya poire ezali na ntalo ya 2,37 $, motuya boni ya conserve ya poire bokoki kosomba na 9,48 $ ?
 A)3 conserves B)12 conserves C)36 conserves D)13 conserves"
bongisa kobanda mokolo ti Na lelo : 3,3 PE 1 likolo ya 8,3.8, 3;18.	['3.18, 3 et 1 sur 8, 3.8,3', '3,3 et 1 sur 8, 3.18, 3', '3.8, 3 et 1 sur 8, 3.18, 3', '3.8, 3.18, 3 et 1 sur 8, 3']	D	elementary_mathematics	C)3.8	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: bongisa kobanda mokolo ti Na lelo : 3,3 PE 1 likolo ya 8,3.8, 3;18.
 A)3.18 B)3 et 1 sur 8 C)3.8 D)3"
Sala calcul ya 22 / 2 + 9	['10', '11', '20', '2']	C	elementary_mathematics	B)11	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Sala calcul ya 22 / 2 + 9
 A)10 B)11 C)20 D)2"
Engumba moko ezali na 836 527 bato. Motuya boni ya bato ya engumba na ntango motuya ya bato bakokisi na ba zomi ya ba mille oyo ya pembeni ? 	['800 000', '830,000', '836 000', '840 000']	D	elementary_mathematics	D)836 000	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Engumba moko ezali na 836 527 bato. Motuya boni ya bato ya engumba na ntango motuya ya bato bakokisi na ba zomi ya ba mille oyo ya pembeni ? 
 A)800 000 B)830 C)000 D)836 000"
Luka biloko ya 5 - (-9).	['14', '-4', '45', '-45']	D	elementary_mathematics	A)14	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Luka biloko ya 5 - (-9).
 A)14 B)-4 C)45 D)-45"
Keiko alekisi mokolo mobimba na kotala ba ndeke. Na ntongo atangi 34 ndeke koleka na nsima ya nzanga. Na kondima ete atangi 76 ndeke na nyoso, motuya boni ya ndeke atangi na nsima ya nzanga ? 	['21 ndeke', ' 40 ndeke', ' 42 ndeke', '84 ndeke']	A	elementary_mathematics	42 ndeke	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Keiko alekisi mokolo mobimba na kotala ba ndeke. Na ntongo atangi 34 ndeke koleka na nsima ya nzanga. Na kondima ete atangi 76 ndeke na nyoso, motuya boni ya ndeke atangi na nsima ya nzanga ? 
 A)21 ndeke B) 40 ndeke C) 42 ndeke D)84 ndeke"
pesa valeur ya 5 + 2 - 15 + (12 - 4) ?	['78', '83', '131', '153']	B	elementary_mathematics	B)83	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: pesa valeur ya 5 + 2 - 15 + (12 - 4) ?
 A)78 B)83 C)131 D)153"
Likambo nini ekoki représenté na fraction 20/8 ?	"[""Leslie abebisi 20 dollars na 8 centime na magasin. Ndenge nini mosolo Leslie abebisi bakokoma n'a lolenge ya fraction ?"", 'Bana ya mike 8 ya M. Kramer bakaboli 20 crackers ya kokokana. Motuya boni ya crackers mwana moko azwi ?)', 'Mitch asombi 20 banc ya fulele na magasin ya milona. Pot nyoso ezali na fulele 8. motuya boni ya fulele Mitch asombi na nyoso ?', 'Ba timbre etekami na carnet ya 20 timbre. Donna akosalela 8 timbre mpo ya kotinda ba invitation ya fête. Motuya boni ya carnet ya timbre Donna asaleli mpo ya kotinda ba invitation ?']"	B	elementary_mathematics	C)Mitch asombi 20 banc ya fulele na magasin ya milona. Pot nyoso ezali na fulele 8. motuya boni ya fulele Mitch asombi na nyoso ?	"presemble: You are a highly knowledgeable and intelligent artificial intelligence model answers multiple-choice questions about elementary_mathematics. Return the correct option only
user: Likambo nini ekoki représenté na fraction 20/8 ?
 A)Leslie abebisi 20 dollars na 8 centime na magasin. Ndenge nini mosolo Leslie abebisi bakokoma n'a lolenge ya fraction ? B)Bana ya mike 8 ya M. Kramer bakaboli 20 crackers ya kokokana. Motuya boni ya crackers mwana moko azwi ?) C)Mitch asombi 20 banc ya fulele na magasin ya milona. Pot nyoso ezali na fulele 8. motuya boni ya fulele Mitch asombi na nyoso ? D)Ba timbre etekami na carnet ya 20 timbre. Donna akosalela 8 timbre mpo ya kotinda ba invitation ya fête. Motuya boni ya carnet ya timbre Donna asaleli mpo ya kotinda ba invitation ?"
