question	answer	prompt	gpt_3.5-turbo	verbalized
Inkqubo entsha yakhutshelwa ama-60 kwinyanga yokuqala. Inani lokukhutshelwa kwinyanga yesibini beliphindaphindeke kathathu kunokhutshelo kwinyanga yokuqala kodwa lancitshiswa ngama-30% kwinyanga yesithathu. Zingaphi izinto ezikhutshelweyo kwinkqubo kwisithuba seenyanga ezintathu?	366	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nInkqubo entsha yakhutshelwa ama-60 kwinyanga yokuqala. Inani lokukhutshelwa kwinyanga yesibini beliphindaphindeke kathathu kunokhutshelo kwinyanga yokuqala kodwa lancitshiswa ngama-30% kwinyanga yesithathu. Zingaphi izinto ezikhutshelweyo kwinkqubo kwisithuba seenyanga ezintathu?\n'}]	20, 42, 18	18
UTaula waya kwindawo yokubhaka wathenga iintlobo ngeentlobo zamaqebengwana. Wathenga idozini ezi-3 ze-donut ezixabisa i-$68 idozini nganye, ezi-2 idozini zeekeyiki ezincinci ezixabisa i-$80 idozini nganye, kunye needozini ezi-6 zeekeyiki ezincinci ezixabisa i-$55 idozini nganye. Ibiyimalini indleko iyonke?	694	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUTaula waya kwindawo yokubhaka wathenga iintlobo ngeentlobo zamaqebengwana. Wathenga idozini ezi-3 ze-donut ezixabisa i-$68 idozini nganye, ezi-2 idozini zeekeyiki ezincinci ezixabisa i-$80 idozini nganye, kunye needozini ezi-6 zeekeyiki ezincinci ezixabisa i-$55 idozini nganye. Ibiyimalini indleko iyonke?\n'}]	$856	856
UCarlos utyala umthi welamuni. Umthi uza kuxabisa i-$90 ukuwutyala. Kunyaka ngamnye uza kukhula amalamuni asi-7, angawathengisa nge-$1.5 ngalinye. Kuxabisa i-$3 ngonyaka ukunkcenkcetshela nokondla umthi. Kuya kuthatha iminyaka emingaphi ngaphambi kokuba aqalise ukufumana imali kumthi welamuni.	13	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUCarlos utyala umthi welamuni. Umthi uza kuxabisa i-$90 ukuwutyala. Kunyaka ngamnye uza kukhula amalamuni asi-7, angawathengisa nge-$1.5 ngalinye. Kuxabisa i-$3 ngonyaka ukunkcenkcetshela nokondla umthi. Kuya kuthatha iminyaka emingaphi ngaphambi kokuba aqalise ukufumana imali kumthi welamuni.\n'}]	12 years.	12
UMelanie ngumthengisi othengisa indlu ngendlu. Wathengisa enye kwisithathu sezixhobo zakhe zokufunxa ubumdaka kwindawo yokugcina izityalo, ezinye ezimbini kwindlu ebomvu, kunye nesiqingatha soko kwakusele kwindlu e-orenji. Ukuba uMelanie unezixhobo zokufunxa ezi-5 eziseleyo, Uqale ngezingaphi?	18	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUMelanie ngumthengisi othengisa indlu ngendlu. Wathengisa enye kwisithathu sezixhobo zakhe zokufunxa ubumdaka kwindawo yokugcina izityalo, ezinye ezimbini kwindlu ebomvu, kunye nesiqingatha soko kwakusele kwindlu e-orenji. Ukuba uMelanie unezixhobo zokufunxa ezi-5 eziseleyo, Uqale ngezingaphi?\n'}]	1	1
Kwiklasi yomdaniso yabafundi abangama-20, i-20 % ibhalise kumdaniso wangoku, i-25% yabaseleyo yabhalisa kumdaniso we-jazz , kwaye bonke abanye babhalise kumdaniso wehip-hop. Ithini ipesenti yabafundi bonke ababhalise kumdaniso wehip-hop?	60	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nKwiklasi yomdaniso yabafundi abangama-20, i-20 % ibhalise kumdaniso wangoku, i-25% yabaseleyo yabhalisa kumdaniso we-jazz , kwaye bonke abanye babhalise kumdaniso wehip-hop. Ithini ipesenti yabafundi bonke ababhalise kumdaniso wehip-hop?\n'}]	55	55
Umrhwebi ufuna ukwenza ukhetho lokuthenga phakathi phakathi kwezicwangciso zokuthenga ezi-2: ubucwebe obuxabisa i-$5,000 okanye izixhobo zombane ezixabisa i-$8,000. Umcebisi wakhe wezezimali uqikelela ukuba imarike yobucwebe iza kunyuka nge2.5 % ngelixa imarike yezixhobo zombane iza kunyuka nge-1.5% kwinyanga enye. Ukuba umrhwebi ujonge ukunyusa inzuzo xa kuphela le nyanga ngokwenza ukhetho, iza kubayinzuzo engakanani le?	125	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUmrhwebi ufuna ukwenza ukhetho lokuthenga phakathi phakathi kwezicwangciso zokuthenga ezi-2: ubucwebe obuxabisa i-$5,000 okanye izixhobo zombane ezixabisa i-$8,000. Umcebisi wakhe wezezimali uqikelela ukuba imarike yobucwebe iza kunyuka nge2.5 % ngelixa imarike yezixhobo zombane iza kunyuka nge-1.5% kwinyanga enye. Ukuba umrhwebi ujonge ukunyusa inzuzo xa kuphela le nyanga ngokwenza ukhetho, iza kubayinzuzo engakanani le?\n'}]	$200	200
Oololiwe ababini bashiya iSan Rafael ngexesha elinye. Baqala ukuya ngasentshona, bobabini bahamba iimayile ezingama-80. Ngosuku olulandelayo, baya emantla, behamba iimayile ezili-150. Uthini umgama ohanjwe nguloliwe ngamnye kwiintsuku ezimbini?	230	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nOololiwe ababini bashiya iSan Rafael ngexesha elinye. Baqala ukuya ngasentshona, bobabini bahamba iimayile ezingama-80. Ngosuku olulandelayo, baya emantla, behamba iimayile ezili-150. Uthini umgama ohanjwe nguloliwe ngamnye kwiintsuku ezimbini?\n'}]	70	70
UJill uhlawula i-$20 ngeyure ukufundisa kunye ne-$30 ukubangumqeqeshi wecheerleading. Ukuba usebenza iiveki ezingama-50 ngonyaka, iiyure ezingama-50 ngeveki njengotitshala kunye neeyure ezili-15 ngeveki njengomqeqeshi, uthini umvuzo wakhe wonyaka?	57500	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUJill uhlawula i-$20 ngeyure ukufundisa kunye ne-$30 ukubangumqeqeshi wecheerleading. Ukuba usebenza iiveki ezingama-50 ngonyaka, iiyure ezingama-50 ngeveki njengotitshala kunye neeyure ezili-15 ngeveki njengomqeqeshi, uthini umvuzo wakhe wonyaka?\n'}]	-280	280
UClair wenza i-omelet yamaqanda ama-3 qho ekuseni ngesidlo sasekuseni. Zingaphi idozini zamaqanda aza kuzitya kwiveki ezi-4?	7	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUClair wenza i-omelet yamaqanda ama-3 qho ekuseni ngesidlo sasekuseni. Zingaphi idozini zamaqanda aza kuzitya kwiveki ezi-4?\n'}]	1	1
UMarissa unyuka indlela ezimayile ezili-12. Uthathe iyure enye ukuhamba iimayile zokuqala ezi-4, wathatha enye iyure ukuhamba iimayile ezimbini. Ukuba ufuna isantya sakhe esiphakathi sibeziimayile ezi-4 iyure nganye, sisiphi isantya (kwiimayile ngeyure) esifunekayo ukuze ahambe umgama oseleyo?	6	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUMarissa unyuka indlela ezimayile ezili-12. Uthathe iyure enye ukuhamba iimayile zokuqala ezi-4, wathatha enye iyure ukuhamba iimayile ezimbini. Ukuba ufuna isantya sakhe esiphakathi sibeziimayile ezi-4 iyure nganye, sisiphi isantya (kwiimayile ngeyure) esifunekayo ukuze ahambe umgama oseleyo?\n'}]	2	2
Ndineelitha ezili-10 zesiselo se-orenji ezimbini kwisithathu samanzi kwaye ndinqwenela ukuzongeza kwiilitha ezili-15 zesiselo sepayina ezintathu kwisihlanu samanzi. Kodwa xa ndiyithela, ndichithe ilitha enye yesiselo se-orenji. Mangakanani amanzi ashiyeke kwiilitha ezingamashumi ama-24?	15	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nNdineelitha ezili-10 zesiselo se-orenji ezimbini kwisithathu samanzi kwaye ndinqwenela ukuzongeza kwiilitha ezili-15 zesiselo sepayina ezintathu kwisihlanu samanzi. Kodwa xa ndiyithela, ndichithe ilitha enye yesiselo se-orenji. Mangakanani amanzi ashiyeke kwiilitha ezingamashumi ama-24?\n'}]	14	14
URaymond kunye noSamantha ngabazala.  URaymond wazalwa iminyaka eyi-6 ngaphambi kukaSamantha. URaymond wabanonyana eneminyaka engama-23. Ukuba uSamantha uneminyaka engama-31 ngoku, wazalwa kwiminyaka emingaphi edlulileyo unyana kaRaymond?	14	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nURaymond kunye noSamantha ngabazala.  URaymond wazalwa iminyaka eyi-6 ngaphambi kukaSamantha. URaymond wabanonyana eneminyaka engama-23. Ukuba uSamantha uneminyaka engama-31 ngoku, wazalwa kwiminyaka emingaphi edlulileyo unyana kaRaymond?\n'}]	25	25
UBilly uthengisa iiDVD. Unabathengi abasibhozo ngoLwesibini. Abathengi bakhe bokuqala bathenga iDVD ngamnye. Abathengi bajhe ababini abalandelayo bathenga iDVD ngamnye. Abathengi bakhe aba-3 bokugqibela abathengi naziphi na iiDVDs. Zingaphi iiDVD azithengisileyo uBilly ngolwesibini?	7	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUBilly uthengisa iiDVD. Unabathengi abasibhozo ngoLwesibini. Abathengi bakhe bokuqala bathenga iDVD ngamnye. Abathengi bajhe ababini abalandelayo bathenga iDVD ngamnye. Abathengi bakhe aba-3 bokugqibela abathengi naziphi na iiDVDs. Zingaphi iiDVD azithengisileyo uBilly ngolwesibini?\n'}]	2	2
Ikhandlela linyibilika ngeesentimitha ezi-2 kwiyure nganye xa livutha. Zingaphi iisentimitha bufutshane ikhandlela eliya kubazizo emva kokuvutha ukusuka kwi-1 PM ukuya kwi-5pm?	8	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nIkhandlela linyibilika ngeesentimitha ezi-2 kwiyure nganye xa livutha. Zingaphi iisentimitha bufutshane ikhandlela eliya kubazizo emva kokuvutha ukusuka kwi-1 PM ukuya kwi-5pm?\n'}]	4 hours	4
UKyle uthenge eyona ncwadi ithengiswayo kunyaka ophelileyo nge-$19.50. Oku ngama-25% isaphulelo kwixabiso layo. Lalithini ixabiso lokuqala lale ncwadi?	26	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUKyle uthenge eyona ncwadi ithengiswayo kunyaka ophelileyo nge-$19.50. Oku ngama-25% isaphulelo kwixabiso layo. Lalithini ixabiso lokuqala lale ncwadi?\n'}]	$26	26
UMarie waodola isidlo esinye senkukhu esixabisa i-$12,5 iipakethe zobisi ezixabisa i-$3 lilinye, ama-apile ama-4 axabisa i-$1.50 lilinye, kunye neebhokisi zepizza. UMarie wahlawula i-$50 iyonke. Zingaphi iibhokisi zepizza uMarie aziodolileyo ukuba ibhokisi nganye ixabisa i-$8.50?	2	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUMarie waodola isidlo esinye senkukhu esixabisa i-$12,5 iipakethe zobisi ezixabisa i-$3 lilinye, ama-apile ama-4 axabisa i-$1.50 lilinye, kunye neebhokisi zepizza. UMarie wahlawula i-$50 iyonke. Zingaphi iibhokisi zepizza uMarie aziodolileyo ukuba ibhokisi nganye ixabisa i-$8.50?\n'}]	5	5
UMishka uthenge iipere ezi-3 zeebhulukhwe ezimfutshane, iipere ezi-3 zeebhulukhwe, kunye neepere ezi-3 zezihlangu. Ipere enye yeebhulukhwe ezimfutshane ixabisa i-$16.50. Ipere enye yeebhulukhwe ixabisa i-$22.50 kunye nepere enye yezihlangu exabisa i-$42. Zingaphi iidola azichithileyo uMishka kuzo zonke izinto zeempahla?	243	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUMishka uthenge iipere ezi-3 zeebhulukhwe ezimfutshane, iipere ezi-3 zeebhulukhwe, kunye neepere ezi-3 zezihlangu. Ipere enye yeebhulukhwe ezimfutshane ixabisa i-$16.50. Ipere enye yeebhulukhwe ixabisa i-$22.50 kunye nepere enye yezihlangu exabisa i-$42. Zingaphi iidola azichithileyo uMishka kuzo zonke izinto zeempahla?\n'}]	16, 22, 42	42
UCynthia utya i-ice cream enye rhoqo ngobusuku. Uthenga iibhokisi ze-ayisikrimu ezine-15 lomlinganiselo we-ayisikrimu kwibhokisi nganye ngexabiso le-$4 ibhokisi nganye. Emveni kweentsuku ezingama-60, uza kuchitha malini kwi-ayisikrimu?	16	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUCynthia utya i-ice cream enye rhoqo ngobusuku. Uthenga iibhokisi ze-ayisikrimu ezine-15 lomlinganiselo we-ayisikrimu kwibhokisi nganye ngexabiso le-$4 ibhokisi nganye. Emveni kweentsuku ezingama-60, uza kuchitha malini kwi-ayisikrimu?\n'}]	60	60
UHenry umise kabini ngexesha lohambo lwakhe lwebhayisekile oluzimayile ezingama-60. Uqale wema emveni kweemayile ezingama-20. Indawo yakhe yesibini yokumisa yayizimayile ezili-15 ngaphambi kokuphela kohambo. Zingaphi iimayile azihambileyo phakathi kwendawo yakhe yokuqala neyesibini yokumisa?	25	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUHenry umise kabini ngexesha lohambo lwakhe lwebhayisekile oluzimayile ezingama-60. Uqale wema emveni kweemayile ezingama-20. Indawo yakhe yesibini yokumisa yayizimayile ezili-15 ngaphambi kokuphela kohambo. Zingaphi iimayile azihambileyo phakathi kwendawo yakhe yokuqala neyesibini yokumisa?\n'}]	40	40
UGloria uthenga izihlangu xa edibana nepere yeebhutsi ezihambelana nohlahlo lwabiwo-mali lwezihlangu zakhe. Nangona, kunjalo kufuneka akhethe phakathi kweebhutsi kunye neepere ezimbini zezihlangu ezichophileyo ezixabisa xa zizonke iidola ezintlanu ngaphantsi kweebhutsi. Ukuba ipere enye yezihlangu ezichophileyo ixabisa i-$33 kwaye enye ixabisa ngokuphindaphindwe kabini, zizidola ezingaphi iibhutsi?	104	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUGloria uthenga izihlangu xa edibana nepere yeebhutsi ezihambelana nohlahlo lwabiwo-mali lwezihlangu zakhe. Nangona, kunjalo kufuneka akhethe phakathi kweebhutsi kunye neepere ezimbini zezihlangu ezichophileyo ezixabisa xa zizonke iidola ezintlanu ngaphantsi kweebhutsi. Ukuba ipere enye yezihlangu ezichophileyo ixabisa i-$33 kwaye enye ixabisa ngokuphindaphindwe kabini, zizidola ezingaphi iibhutsi?\n'}]	33, 22	22
Iminyaka kaDarrell kunye noAllen ikumlinganiselo we-7:11. Ukuba ubudala babo bubonke ngoku li-162, bala ubudala buka-Allen i-10 leminyaka ukususela ngoku. 	109	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nIminyaka kaDarrell kunye noAllen ikumlinganiselo we-7:11. Ukuba ubudala babo bubonke ngoku li-162, bala ubudala buka-Allen i-10 leminyaka ukususela ngoku. \n'}]	Darrell is 152 years old and Allen is 10 years old.	10
UGunter uzama ukubala iimbotyi zejeli ejagini. Ubuza abahlobo bakhe ukuba bacinga ukuba zingaphi na ejagini. Omnye uthi zingama-80. Omnye uthi ama-20 ngaphezu kwesiqingatha sokuqala. Owesithathu uthi ama-25% ngaphezu kweyokuqala. Luthini uqikelelo lwabo oluphakathi?	80	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUGunter uzama ukubala iimbotyi zejeli ejagini. Ubuza abahlobo bakhe ukuba bacinga ukuba zingaphi na ejagini. Omnye uthi zingama-80. Omnye uthi ama-20 ngaphezu kwesiqingatha sokuqala. Owesithathu uthi ama-25% ngaphezu kweyokuqala. Luthini uqikelelo lwabo oluphakathi?\n'}]	80, 20, 25	25
UJohn ukhathalela izinja ezili-10. Inja nganye ithatha. iiyure ezi-5 ngosuku ukuhamba kwaye inyamekele into zayo. Zingaphi iiyure ngeveki azichithayo ekhathalela izinnja?	35	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUJohn ukhathalela izinja ezili-10. Inja nganye ithatha. iiyure ezi-5 ngosuku ukuhamba kwaye inyamekele into zayo. Zingaphi iiyure ngeveki azichithayo ekhathalela izinnja?\n'}]	5	5
UGretchen unengqekembe ezili-110. Kukho iingqekembbe zegolide ezingama-30 ngaphezulu kunengqekembe zesilivere. Zingaphi iingqekembe zegolide uGretchen anazo? 	70	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUGretchen unengqekembe ezili-110. Kukho iingqekembbe zegolide ezingama-30 ngaphezulu kunengqekembe zesilivere. Zingaphi iingqekembe zegolide uGretchen anazo? \n'}]	80	80
USiobhan unamatye ama-2 ambalwa kuno-Aaron. U-Aaron unamatye ama-5 angaphezulu kwisiqingatha samatye kaRaymond. Ukuba uRaymond unamatye angama-40, uSiobhan unamatye amangaphi?	23	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUSiobhan unamatye ama-2 ambalwa kuno-Aaron. U-Aaron unamatye ama-5 angaphezulu kwisiqingatha samatye kaRaymond. Ukuba uRaymond unamatye angama-40, uSiobhan unamatye amangaphi?\n'}]	33	33
UMike udlala iping pong imizuzu engama-40. Kwimizuzu engama-20 yokuqala, ufaka amanqaku ama-4. Kwimizuzu engama-20 yesibini,  ufaka amanqaku angama-25%. Mangaphi amanqaku awafakileyo ewonke?	9	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUMike udlala iping pong imizuzu engama-40. Kwimizuzu engama-20 yokuqala, ufaka amanqaku ama-4. Kwimizuzu engama-20 yesibini,  ufaka amanqaku angama-25%. Mangaphi amanqaku awafakileyo ewonke?\n'}]	16, 5	5
UTerry utya iiyogathi ezi-2 ngosuku. Ngoku zithengiswa nge-$5.00 iiyogathi ezi-4. Uchitha malini kwiiyogathi ngaphezulu kweentsuku ezingama-30.	75	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUTerry utya iiyogathi ezi-2 ngosuku. Ngoku zithengiswa nge-$5.00 iiyogathi ezi-4. Uchitha malini kwiiyogathi ngaphezulu kweentsuku ezingama-30.\n'}]	28	28
UJohn uceba ukuthengisa zonke izinto zakhe zokudlala aze asebenzise loo mali ukuthenga imidlalo yevidiyo. Uneesethi zelego ezili-13 kwaye uzithengisa nge-$15 nganye. Uphela sele ethenga imidlalo yevidiyo esi-8 nge-$20 nganye kwaye ushiyeke ne$5. Zingaphi iisethi zelego asenazo?	2	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUJohn uceba ukuthengisa zonke izinto zakhe zokudlala aze asebenzise loo mali ukuthenga imidlalo yevidiyo. Uneesethi zelego ezili-13 kwaye uzithengisa nge-$15 nganye. Uphela sele ethenga imidlalo yevidiyo esi-8 nge-$20 nganye kwaye ushiyeke ne$5. Zingaphi iisethi zelego asenazo?\n'}]	5	5
UJohn ubaleka ama-60 eemayile. Ubaleka iintsuku ezi-3 ngeveki. Ubaleka iiyure ezi-3 ngosuku lokuqala kwaye isiqingatha kwezinye iintsuku ezimbini uyabaleka. Ubaleka kangakanani?	10	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUJohn ubaleka ama-60 eemayile. Ubaleka iintsuku ezi-3 ngeveki. Ubaleka iiyure ezi-3 ngosuku lokuqala kwaye isiqingatha kwezinye iintsuku ezimbini uyabaleka. Ubaleka kangakanani?\n'}]	54	54
UDana angabaleka ngesantya esiphindwe kane ngokukhawuleza kunoba akwazi ukuhamba,kodwa unokutsiba-tsiba ngesantya esisiqingatha sesantya anokubaleka ngaso. Ukuba angatsiba-tsiba ngeemayile ezi-3 ngeyure nganye, zingaphi iimayile angazihamba ngeeyure ezintandathu ukuba uchitha ikota enye yexesha lokuhamba kunye nesibini kwisithathu sexesha lokuhamba.	18	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nUDana angabaleka ngesantya esiphindwe kane ngokukhawuleza kunoba akwazi ukuhamba,kodwa unokutsiba-tsiba ngesantya esisiqingatha sesantya anokubaleka ngaso. Ukuba angatsiba-tsiba ngeemayile ezi-3 ngeyure nganye, zingaphi iimayile angazihamba ngeeyure ezintandathu ukuba uchitha ikota enye yexesha lokuhamba kunye nesibini kwisithathu sexesha lokuhamba.\n'}]	3, 6, 9	9
I-iPhone kaBrandon indala ngokuphindaphindwe kabini kune-iPhone kaBen. I-IPhone kaBen indala ngokuphindaphindwe kabini kune-iPhone kaSuzy. Ukuba i-iPhone kaSuzy inonyaka omnye, ineminyaka emingaphi i-iPhone kaBrandon?	8	[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nI-iPhone kaBrandon indala ngokuphindaphindwe kabini kune-iPhone kaBen. I-IPhone kaBen indala ngokuphindaphindwe kabini kune-iPhone kaSuzy. Ukuba i-iPhone kaSuzy inonyaka omnye, ineminyaka emingaphi i-iPhone kaBrandon?\n'}]	2	2
